V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,class
4.233,3.4039,0.0,,,,,,1.0,3.0,,-0.262,2.938,,9.011,1.0,1.022,1.15,,0.0,0.0,1.119,0.0,0.0,0.0,0.0,,,0.0,10.041,,0.0,,0.0,0.0,,,0.0,,,0.0,2
4.334,,0.0,,0.0,,,33.3,1.0,2.0,0.0,-0.241,,,8.944,,1.013,,0.0,,,1.164,,0.0,,0.0,,0.149,,,,0.0,,0.0,,3.39,,0.0,,0.0,0.0,2
4.372,,0.0,0.0,,,,33.3,1.0,2.0,,-0.177,3.139,,,,0.993,1.139,0.0,,,,0.0,,,,2.024,,0.0,,,0.0,,0.0,,,2.517,,7.788,0.0,0.0,2
5.392,4.5881,0.0,0.0,0.0,,,,6.0,3.0,,,3.517,1.907,10.633,,0.989,,,0.0,0.0,1.169,0.0,,0.0,,2.314,,0.0,11.278,,0.0,,0.0,,3.503,,0.0,8.269,,0.0,2
4.446,3.6985,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,-0.796,3.192,,,6.0,,1.146,0.0,0.0,,,,,,0.0,2.061,,0.0,20.804,3.132,,,,0.0,3.431,3.133,,8.008,,0.0,2
,,0.0,0.0,,0.0,0.0,31.8,2.0,4.0,0.0,,,2.948,,8.0,0.995,,,0.0,0.0,1.164,0.0,,,,2.08,,0.0,,6.131,,0.0,,,,2.407,,,,0.0,2
4.527,,,,0.0,0.0,0.0,32.5,,4.0,,,4.14,3.427,10.56,10.0,0.981,1.14,0.0,0.0,,1.184,,,0.0,0.0,2.13,0.0,0.0,23.699,9.594,0.0,,,,3.393,,0.0,,0.0,,2
4.347,3.1269,,0.0,,0.0,0.0,33.3,1.0,,0.0,,3.809,3.309,,3.0,,,,,0.0,1.202,0.0,0.0,0.0,0.0,2.019,0.0,0.0,10.914,8.395,0.0,,0.0,,3.358,,,8.298,0.0,,2
4.562,3.8122,0.0,,0.0,0.0,,33.3,1.0,,0.0,-0.759,,,,4.0,1.025,1.139,0.0,0.0,0.0,,0.0,0.0,,0.0,,-0.258,0.0,,1.521,,0.0,0.0,,3.511,,,,,0.0,2
4.629,,0.0,0.0,0.0,,,33.3,,2.0,0.0,,,1.379,9.312,5.0,1.013,,0.0,,,1.189,0.0,,0.0,,2.053,0.149,0.0,10.19,1.776,0.0,0.0,0.0,0.0,,2.976,0.0,7.747,,0.0,2
4.655,,0.0,0.0,,,0.0,35.0,1.0,3.0,,0.094,3.204,,,6.0,1.02,1.135,,0.0,,1.157,1.0,0.0,0.0,,2.256,0.014,0.0,,,0.0,0.0,0.0,,3.542,,,8.185,0.0,0.0,2
4.644,3.9071,0.0,0.0,0.0,0.0,,31.6,,3.0,,,3.082,1.837,9.467,5.0,1.021,1.142,0.0,0.0,,1.149,0.0,,,0.0,2.084,0.049,,10.469,2.732,0.0,0.0,0.0,,,3.093,0.0,,0.0,0.0,2
4.646,,0.0,0.0,,0.0,0.0,34.3,2.0,5.0,0.0,-0.189,3.707,2.587,10.202,,1.017,1.137,0.0,,0.0,1.184,,0.0,,0.0,,0.0,0.0,,6.086,0.0,,,0.0,3.535,2.775,0.0,8.578,0.0,,2
4.468,,,,0.0,0.0,,33.3,,4.0,0.0,,3.37,2.252,,,,,,,0.0,1.158,,,0.0,,,,0.0,21.27,,0.0,,0.0,0.0,,2.944,0.0,8.196,,0.0,2
4.562,,2.0,,0.0,,0.0,25.0,1.0,,,-1.21,,,9.184,,1.134,,,0.0,,,0.0,0.0,0.0,0.0,2.0,,0.0,,1.521,0.0,,,1.0,,,,8.593,0.0,2.0,2
,3.3847,0.0,0.0,1.0,,0.0,,1.0,2.0,1.0,-0.947,3.713,2.9,10.416,,0.979,1.145,,0.0,,,,0.0,,,,0.0,0.0,10.57,,,,,,3.47,,,,0.0,0.0,2
4.691,,0.0,0.0,0.0,0.0,0.0,25.0,,,,,3.125,,9.666,4.0,,,0.0,0.0,0.0,1.078,,0.0,0.0,,2.117,0.052,0.0,,2.428,,,2.0,4.0,,4.019,1.0,,0.0,0.0,2
4.17,3.6206,0.0,,0.0,,0.0,28.6,0.0,,0.0,,,,,0.0,,,0.0,0.0,0.0,1.095,0.0,,,0.0,,,0.0,17.905,1.542,,,0.0,,3.427,4.733,0.0,7.521,0.0,,2
,,0.0,,,0.0,0.0,33.3,,2.0,1.0,-1.072,,1.459,,2.0,,,0.0,0.0,0.0,1.187,0.0,0.0,0.0,0.0,1.902,-0.277,,,2.052,,,,,3.423,,1.0,,0.0,,2
5.206,3.5794,0.0,,1.0,,0.0,30.6,1.0,3.0,3.0,,,,,2.0,0.985,1.147,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,22.35,8.266,0.0,,,1.0,,2.306,2.0,8.611,0.0,0.0,2
4.17,2.6629,0.0,0.0,0.0,0.0,0.0,26.7,3.0,,0.0,0.0,,0.971,,2.0,,1.152,,0.0,,1.12,0.0,0.0,0.0,0.0,1.848,,0.0,0.0,1.542,0.0,0.0,,1.0,,,0.0,6.683,,0.0,2
,3.9016,0.0,0.0,0.0,1.0,,29.6,3.0,,,-0.239,3.227,1.859,10.165,3.0,1.002,,,,,,0.0,0.0,,,2.175,0.014,0.0,10.355,3.341,,0.0,0.0,0.0,,,,7.979,0.0,,2
4.642,3.0034,0.0,0.0,,0.0,2.0,42.1,1.0,1.0,0.0,0.0,,,9.631,,0.987,1.12,0.0,0.0,,,1.0,,0.0,,,-0.024,0.0,,,0.0,1.0,0.0,,,,,8.009,,0.0,2
,2.9443,0.0,0.0,,,2.0,42.1,1.0,,0.0,0.0,3.093,,,2.0,0.987,1.12,0.0,0.0,,,1.0,0.0,,,2.194,-0.024,0.0,0.0,1.544,0.0,1.0,,,3.635,,,8.009,0.0,0.0,2
4.807,,0.0,,0.0,0.0,,42.1,2.0,1.0,,0.0,3.1,0.881,,,,,0.0,0.0,0.0,,,0.0,,0.0,,-0.024,,0.0,,,,,1.0,,,0.0,,,,2
4.828,3.3386,0.0,,,0.0,,40.0,,,0.0,0.0,3.203,1.261,,,1.004,,0.0,,0.0,,,,0.0,0.0,2.247,,0.0,0.0,1.436,,2.0,,,3.677,,,8.114,0.0,,2
,,0.0,0.0,0.0,0.0,,,1.0,2.0,,-0.242,,,9.722,,1.003,1.119,0.0,,0.0,1.241,1.0,,0.0,,2.166,,,,,0.0,,0.0,0.0,3.573,,,8.245,0.0,,2
4.521,2.7124,,0.0,0.0,,1.0,45.0,,1.0,,,,1.661,9.466,1.0,0.987,1.114,,,0.0,1.268,,0.0,,,2.154,0.014,0.0,,,0.0,,,1.0,3.587,2.317,,,,0.0,2
4.607,3.1116,,0.0,0.0,,2.0,46.7,0.0,2.0,0.0,,,1.187,9.631,4.0,1.02,,0.0,0.0,,1.253,1.0,0.0,0.0,,,-0.026,,10.036,1.544,0.0,1.0,0.0,1.0,,2.926,0.0,8.143,0.0,,2
,3.3599,0.0,,0.0,0.0,,42.1,0.0,3.0,0.0,0.0,3.335,1.273,,6.0,,1.12,0.0,0.0,0.0,,,0.0,,0.0,,,,10.249,,0.0,,0.0,1.0,3.743,,0.0,,0.0,0.0,2
,3.2457,,,,0.0,,,1.0,2.0,0.0,-0.863,3.239,,9.911,4.0,,1.116,,,0.0,1.248,,,,0.0,2.267,0.014,,10.422,,0.0,,0.0,,3.73,,,8.28,0.0,0.0,2
,,,0.0,0.0,0.0,2.0,41.7,,4.0,,,,1.59,10.257,10.0,1.03,1.121,,0.0,0.0,1.202,1.0,0.0,0.0,,,,,22.449,,0.0,0.0,0.0,0.0,3.793,,0.0,,2.0,0.0,2
,,,,0.0,0.0,,38.1,4.0,4.0,,-0.98,3.869,2.066,10.59,14.0,1.001,1.129,0.0,0.0,,1.215,1.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,3.795,,0.0,8.789,,0.0,2
4.914,,0.0,,,0.0,2.0,,0.0,4.0,0.0,,3.571,1.59,10.236,10.0,1.03,1.121,0.0,0.0,0.0,1.202,1.0,0.0,,0.0,2.307,,0.0,22.204,,0.0,0.0,0.0,0.0,3.764,2.833,0.0,,2.0,0.0,2
5.047,2.7377,0.0,,0.0,,3.0,,0.0,,0.0,-2.685,3.634,1.06,10.531,,1.078,1.104,0.0,0.0,,1.211,,0.0,,,,-0.001,0.0,32.533,,0.0,,,,3.906,,0.0,8.796,2.0,0.0,2
,2.1244,0.0,,0.0,0.0,,50.0,0.0,,,-0.288,,,,7.0,0.998,1.104,,,0.0,1.28,2.0,,0.0,0.0,,,,11.596,3.928,,0.0,0.0,0.0,,2.313,0.0,,,0.0,2
,,,0.0,0.0,,,43.8,,3.0,0.0,-0.986,3.261,1.185,9.882,6.0,1.04,1.117,0.0,0.0,0.0,1.207,,,0.0,,2.236,,0.0,10.231,,0.0,1.0,,2.0,,3.2,,8.3,0.0,,2
,3.4571,,0.0,0.0,,,,0.0,,0.0,0.0,3.509,1.16,10.388,8.0,,1.118,,0.0,0.0,1.219,1.0,0.0,0.0,0.0,,-0.008,0.0,20.836,,0.0,2.0,0.0,2.0,,,0.0,,0.0,0.0,2
,,0.0,0.0,0.0,0.0,,,3.0,,,3.12,3.131,1.185,,0.0,,1.128,,,0.0,1.274,1.0,0.0,,,2.236,,0.0,,,,,0.0,0.0,3.521,1.767,,,0.0,0.0,2
,2.18,,,,,,,,,0.0,,,,9.183,,,1.142,0.0,0.0,,,1.0,0.0,0.0,,2.101,-0.066,0.0,0.0,0.975,0.0,,0.0,1.0,,,0.0,7.119,,,2
4.821,,,0.0,,,,33.3,,,0.0,-0.135,,1.455,9.928,,0.99,1.139,0.0,,,1.189,1.0,0.0,,0.0,2.249,,0.0,,,1.0,,0.0,,3.434,,0.0,,0.0,0.0,2
5.331,2.1747,,,0.0,0.0,3.0,,0.0,4.0,0.0,0.0,4.133,0.393,,,1.009,1.102,,,,1.3,,,,,2.37,0.0,0.0,13.055,,,,0.0,0.0,4.44,2.318,0.0,9.576,0.0,0.0,2
,3.0422,0.0,0.0,0.0,0.0,2.0,,1.0,1.0,0.0,,,1.187,,2.0,,1.11,,0.0,0.0,,,0.0,,0.0,,-0.025,0.0,,,0.0,0.0,0.0,,3.651,2.481,0.0,,,,2
5.814,2.4937,0.0,0.0,,2.0,,37.0,3.0,,,,3.256,0.845,10.926,4.0,,1.131,,,0.0,1.254,,0.0,0.0,0.0,2.62,0.003,0.0,11.573,0.811,1.0,,,0.0,,,,8.196,,0.0,2
,2.2966,0.0,0.0,,1.0,,38.5,,0.0,0.0,,3.144,,10.63,0.0,0.964,1.128,,0.0,,,,0.0,0.0,0.0,2.554,,0.0,0.0,0.986,2.0,0.0,0.0,0.0,3.676,,0.0,8.065,0.0,0.0,2
,,0.0,0.0,0.0,2.0,,,3.0,1.0,,,,0.845,10.926,4.0,0.975,1.136,0.0,0.0,,,3.0,0.0,0.0,,2.62,0.003,0.0,,,1.0,,,,3.693,1.97,,,0.0,0.0,2
,2.9426,,,,,,,,2.0,,,,,,1.0,,1.125,,0.0,,,1.0,0.0,,0.0,2.236,0.145,,,,0.0,0.0,,0.0,3.603,3.056,,,,0.0,2
4.923,2.7291,0.0,,0.0,,,50.0,0.0,2.0,,,3.266,0.664,10.037,,1.019,1.104,0.0,0.0,0.0,,3.0,0.0,,0.0,2.376,,0.0,10.843,,,0.0,0.0,,3.783,,,,1.0,0.0,2
4.414,,0.0,,0.0,,,45.5,0.0,2.0,,0.0,,,9.209,,,1.114,0.0,,0.0,,,0.0,0.0,0.0,2.152,,0.0,,1.496,0.0,0.0,,0.0,3.67,,0.0,8.002,0.0,0.0,2
4.414,,0.0,0.0,,0.0,,,,,0.0,,2.789,,,1.0,,1.147,0.0,0.0,,1.141,1.0,0.0,0.0,,,,,0.0,1.496,0.0,0.0,0.0,1.0,3.238,,,,0.0,0.0,2
4.982,2.8025,,0.0,,0.0,,50.0,,2.0,2.0,,3.38,,,6.0,1.033,1.109,0.0,0.0,,1.261,3.0,,,,2.424,0.004,0.0,21.888,1.027,,,,,,2.833,1.0,,0.0,0.0,2
4.651,,,0.0,,,,,,1.0,0.0,0.292,,0.917,,,0.998,1.148,,0.0,0.0,,1.0,0.0,0.0,0.0,,-0.074,0.0,10.5,0.918,0.0,0.0,,0.0,,,1.0,,,,2
,3.0226,0.0,0.0,1.0,,,50.0,0.0,,,,,0.0,9.805,,,1.109,0.0,0.0,0.0,1.359,3.0,,0.0,,2.323,,0.0,0.0,0.95,0.0,0.0,3.0,,,1.981,,,0.0,0.0,2
,3.2947,1.0,,,0.0,,23.1,0.0,,0.0,0.0,3.108,0.917,,,1.055,,,0.0,,1.188,1.0,0.0,,0.0,2.256,-0.081,,20.417,0.939,,,,,4.681,3.274,0.0,9.289,0.0,0.0,2
,,,0.0,,0.0,,,3.0,,,0.0,3.525,,,,1.007,1.163,,0.0,0.0,1.12,1.0,,0.0,,2.303,,,0.0,1.916,0.0,0.0,,3.0,,2.5,3.0,,,,2
,2.9046,,,1.0,0.0,2.0,,2.0,3.0,2.0,,3.786,1.875,,6.0,1.025,1.127,0.0,,0.0,,1.0,0.0,0.0,,2.284,,0.0,22.271,3.31,0.0,1.0,3.0,,,2.736,,,1.0,1.0,2
,,,0.0,2.0,,0.0,23.5,,11.0,,-0.945,4.381,1.871,11.509,,,,0.0,,0.0,1.154,2.0,0.0,0.0,,,0.0,0.0,35.388,,,,4.0,5.0,4.61,3.182,,9.993,,,2
,2.6454,0.0,0.0,2.0,0.0,,39.1,,,,-0.959,3.394,,9.972,,1.008,1.13,,0.0,0.0,1.218,1.0,,0.0,0.0,2.212,0.004,0.0,10.379,,0.0,,2.0,3.0,,2.764,,8.319,,0.0,2
4.659,3.7176,2.0,0.0,,,0.0,23.1,0.0,4.0,0.0,-2.138,3.714,2.128,10.094,,1.042,,0.0,,0.0,,0.0,0.0,0.0,0.0,,-0.002,0.0,,4.56,,,4.0,,,3.333,2.0,,0.0,0.0,2
,2.8897,,0.0,,0.0,0.0,32.3,2.0,,0.0,,,3.322,9.707,,0.961,1.141,,0.0,0.0,1.209,0.0,,0.0,0.0,,,0.0,,8.122,0.0,0.0,0.0,0.0,2.994,1.55,,7.896,0.0,0.0,2
4.17,2.607,0.0,,0.0,0.0,0.0,25.0,3.0,0.0,,0.0,2.373,0.971,,0.0,,1.161,,,,,0.0,0.0,0.0,0.0,1.848,0.322,0.0,,1.542,0.0,,1.0,2.0,2.983,2.167,,6.635,0.0,,2
3.0,1.8227,,,,0.0,0.0,,0.0,0.0,,0.0,1.883,0.918,6.594,0.0,0.975,,0.0,0.0,,,0.0,,0.0,0.0,,0.764,0.0,,,0.0,,,,,,1.0,5.834,0.0,0.0,2
3.618,2.3911,0.0,,0.0,,0.0,,2.0,0.0,0.0,,,1.522,,,,1.161,,,0.0,,,0.0,0.0,,1.732,,,,2.094,0.0,,2.0,,,,1.0,,0.0,0.0,2
3.0,1.8205,,,,,0.0,,2.0,,0.0,0.0,,0.918,,0.0,,1.162,,0.0,0.0,1.06,0.0,0.0,,0.0,,0.826,0.0,0.0,1.333,0.0,0.0,,1.0,2.651,3.167,0.0,5.86,,0.0,2
,2.5101,0.0,0.0,0.0,,,25.0,,1.0,,0.0,2.199,,,,0.988,,,0.0,0.0,,,,,0.0,1.732,,0.0,0.0,1.0,0.0,,,1.0,2.97,2.833,,,0.0,0.0,2
,3.1402,0.0,0.0,0.0,,,29.6,3.0,,0.0,,,,9.202,,0.973,1.146,,,0.0,1.16,0.0,0.0,0.0,0.0,2.042,,0.0,0.0,,0.0,,,1.0,,2.093,,7.197,,,2
3.879,2.6274,0.0,,0.0,0.0,,,2.0,,0.0,,,,,1.0,0.973,,0.0,0.0,0.0,1.161,0.0,,0.0,0.0,1.902,,,,3.685,0.0,,0.0,1.0,,2.056,,,,0.0,2
,2.7989,,0.0,,,,31.0,2.0,,0.0,0.0,3.364,2.807,9.296,1.0,0.969,,,,,1.18,,0.0,0.0,0.0,1.956,,,,5.698,,,0.0,,,,0.0,7.552,,,2
,,1.0,0.0,0.0,,,26.7,8.0,,,,3.838,,10.648,,0.979,,,0.0,,1.532,0.0,0.0,0.0,,2.358,0.0,,0.0,1.69,,0.0,,0.0,5.127,,,9.921,0.0,0.0,2
3.732,2.477,,,0.0,,0.0,,2.0,,0.0,0.0,2.597,,8.16,2.0,1.005,1.156,0.0,0.0,0.0,,,0.0,,,1.802,-0.229,0.0,,2.488,0.0,0.0,0.0,2.0,2.897,,0.0,6.732,,,2
3.973,3.0163,0.0,0.0,,,,,,,,,3.68,3.301,,1.0,0.968,1.14,,,,1.202,0.0,,0.0,0.0,,,0.0,,7.718,,0.0,,1.0,3.129,1.816,0.0,7.984,,0.0,2
,2.4719,,,,,0.0,,,,0.0,0.0,,,,1.0,0.998,,0.0,0.0,0.0,1.141,0.0,0.0,0.0,0.0,,,0.0,0.0,1.707,0.0,0.0,0.0,1.0,2.974,,0.0,6.631,,0.0,2
3.414,2.1848,0.0,0.0,,,,18.2,2.0,1.0,0.0,0.0,,,,0.0,,1.178,0.0,0.0,,0.999,0.0,,0.0,0.0,1.618,,0.0,0.0,1.707,0.0,0.0,1.0,3.0,2.79,3.25,1.0,,0.0,0.0,2
4.334,3.1387,0.0,0.0,0.0,0.0,,,2.0,2.0,0.0,0.0,2.746,1.557,8.944,,,1.153,,0.0,0.0,,0.0,0.0,0.0,0.0,1.97,0.135,,,,,,0.0,,,2.548,,,,,2
3.0,2.311,,0.0,0.0,0.0,0.0,28.6,1.0,1.0,,0.0,,0.918,,0.0,,1.149,0.0,0.0,0.0,,0.0,,0.0,0.0,1.414,0.903,0.0,,1.333,0.0,0.0,0.0,0.0,2.991,3.667,0.0,,0.0,0.0,2
,2.8963,0.0,0.0,,0.0,0.0,30.8,2.0,1.0,0.0,0.0,,0.971,,,0.989,,0.0,0.0,,1.196,0.0,,0.0,,1.848,0.363,0.0,,1.542,0.0,0.0,0.0,,3.18,2.867,0.0,7.056,0.0,0.0,2
,3.1682,0.0,0.0,0.0,,0.0,31.6,3.0,,0.0,0.287,,,,1.0,0.98,,,0.0,0.0,,0.0,,0.0,0.0,2.0,0.126,0.0,10.254,2.133,0.0,,,0.0,3.325,2.5,0.0,7.473,,,2
,3.4137,0.0,,0.0,0.0,0.0,33.3,,2.0,0.0,-0.125,,1.379,,2.0,1.013,1.139,0.0,0.0,0.0,1.209,,0.0,0.0,0.0,2.0,,0.0,,2.133,0.0,0.0,0.0,0.0,3.426,,,7.758,,0.0,2
