V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,class
,2.6272,,,0.0,0.0,0.0,,3.0,0.0,,0.0,2.523,1.459,8.755,,,,,0.0,,,,,,0.0,,-0.181,,0.0,,0.0,,0.0,,,1.722,,,0.0,,2
3.732,,,,0.0,,0.0,,,,,0.0,2.511,,,,0.959,1.145,,0.0,,,,0.0,0.0,,,-0.181,,,,,,,,,,0.0,6.557,,,2
3.879,,0.0,,0.0,,,31.0,2.0,,,0.0,2.908,2.281,,,0.96,,,,0.0,,,,,0.0,,0.036,0.0,,,,,0.0,,,,0.0,,,,2
3.942,,,0.0,,0.0,,31.6,,,,,3.44,,,0.0,,,,0.0,,1.22,0.0,,,,,0.003,0.0,,,,0.0,,,3.542,1.739,0.0,,0.0,1.0,2
3.966,2.852,,,,,,32.0,2.0,0.0,0.0,0.0,4.075,,,0.0,,,0.0,0.0,,,,,0.0,,,0.0,,,,0.0,,0.0,,,,,11.578,0.0,1.0,2
3.732,,,,1.0,,0.0,26.3,2.0,,,,2.532,,8.16,,,1.157,,,,1.152,,,0.0,,,-0.195,,,,,,1.0,,,,,,,,2
4.0,,,,0.0,,,,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,,0.0,,-0.522,0.0,,,,,,,,2.0,1.0,,,0.0,2
,,,,,,0.0,16.7,,1.0,0.0,,1.549,0.0,4.174,,,,,,0.0,,0.0,0.0,0.0,,1.0,,0.0,,,,0.0,,,,4.0,0.0,,,,2
,2.4062,0.0,,0.0,0.0,,27.8,,,0.0,0.0,,1.585,,,0.979,1.15,0.0,,,1.134,,,,,,,,,,0.0,,,,,2.333,,,,,2
,,,,,,0.0,30.0,1.0,,0.0,,2.273,1.0,,0.0,0.998,,0.0,0.0,,,,0.0,,,2.17,,0.0,,,0.0,,,,,,,7.174,,0.0,2
,2.2525,,,,0.0,,20.0,,,0.0,,,1.0,7.408,,,,,0.0,,0.98,,,0.0,,1.618,,0.0,,,0.0,0.0,,,,,,,0.0,0.0,2
,2.8042,0.0,,,,0.0,,2.0,2.0,,0.0,2.449,0.971,8.597,,,1.16,,,,,,,,,,,,,,,,,,,,,,,0.0,2
4.303,,0.0,,0.0,,,,,,,,,,,2.0,,,,,,1.056,0.0,,,,,-0.229,,,1.745,,0.0,,2.0,,,,,,0.0,2
,2.6294,,,,,0.0,37.5,,,,,2.333,,7.408,1.0,1.012,1.13,,0.0,,1.215,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,1.0,3.188,,,,,0.0,2
,3.0057,,,,0.0,0.0,25.0,,,,,,,,1.0,1.005,,0.0,0.0,0.0,1.104,0.0,,,,1.902,,0.0,0.0,,,0.0,0.0,1.0,,,,,,,2
3.848,2.8521,0.0,0.0,0.0,,,27.3,,2.0,,0.0,2.858,,8.584,,0.993,1.151,,0.0,,1.117,,,0.0,0.0,1.879,,,,,0.0,,0.0,,2.997,,,,0.0,,2
,2.3729,,,0.0,0.0,,30.0,,1.0,,,,,,1.0,,1.146,0.0,,,1.142,0.0,,0.0,,,-0.589,0.0,9.174,,,,,0.0,,,0.0,6.735,,,2
,3.6458,0.0,,0.0,,,37.0,,1.0,,2.487,,,,1.0,0.978,,0.0,0.0,,,,,,,,,0.0,,,,,0.0,,,,0.0,,0.0,,2
4.562,,0.0,0.0,,0.0,,,,,0.0,0.259,,,,2.0,,,,,,1.206,0.0,0.0,,,2.0,,0.0,10.144,1.521,,0.0,,,3.375,,,7.403,,,2
,,,0.0,,0.0,,,2.0,,,0.167,2.279,,8.318,,,1.146,0.0,0.0,,,,,,,1.732,,,9.444,,,0.0,,,,,0.0,,,,2
,,0.0,,,,0.0,,2.0,,0.0,-0.671,,,9.425,,0.998,,0.0,,,,0.0,0.0,0.0,0.0,2.101,-0.077,,10.162,1.631,0.0,0.0,0.0,,,2.875,,,,0.0,2
,2.9879,,,,0.0,,33.3,0.0,,,,,3.574,,2.0,0.972,,,,0.0,1.205,,,,,1.996,,0.0,,10.108,0.0,0.0,,,,,,8.414,,,2
4.17,3.4453,,,0.0,,0.0,,,2.0,,,2.512,,,1.0,1.028,,,,0.0,,0.0,,,0.0,1.848,0.425,,,,,,,,3.337,,,7.294,,0.0,2
4.214,,,,0.0,,0.0,28.6,,,0.0,-0.211,,,,1.0,,1.149,0.0,,,,0.0,0.0,0.0,,,,0.0,9.822,2.052,,0.0,0.0,,3.344,,0.0,7.382,,,2
,,,,,,0.0,,,,0.0,,2.713,,8.755,1.0,,,0.0,,,,,,,0.0,,,0.0,9.75,2.052,,,0.0,0.0,3.38,3.194,0.0,7.543,,,2
,,0.0,,,,,27.8,1.0,3.0,,,,,,,1.022,1.15,,0.0,0.0,,0.0,,,,1.95,-0.087,0.0,,,0.0,,0.0,0.0,,2.833,,,,,2
,,0.0,,0.0,,0.0,,,,,,2.838,,,3.0,,,0.0,0.0,0.0,,0.0,,,,1.97,,0.0,10.118,,,0.0,0.0,0.0,,,,,,0.0,2
4.372,3.3652,,0.0,0.0,,0.0,33.3,,,,,,,9.253,3.0,,,0.0,0.0,,1.186,,,0.0,,,,0.0,10.624,3.412,,,0.0,0.0,,,,7.788,,,2
,,0.0,,,,,30.8,6.0,3.0,,-0.209,,1.907,,,0.989,1.144,,,,1.169,,0.0,0.0,0.0,,,,,3.598,,,0.0,1.0,3.503,2.461,,8.269,,,2
4.446,3.6985,0.0,,0.0,,,30.0,0.0,,,-0.796,,1.922,,,1.036,1.146,,0.0,,1.116,,,0.0,0.0,2.061,,0.0,,3.132,,0.0,,,,3.133,,8.008,,0.0,2
,,0.0,,,,0.0,31.8,,,,,3.699,,,,,1.142,0.0,0.0,,1.164,,0.0,0.0,0.0,2.08,0.0,0.0,,,,0.0,0.0,,3.393,,0.0,8.325,0.0,0.0,2
,3.7942,,0.0,,0.0,,,,,,,4.14,3.427,,,,,0.0,,,1.184,,0.0,,,,,0.0,23.699,,0.0,,0.0,,,2.086,,8.693,,0.0,2
4.347,,,0.0,,,0.0,,1.0,,0.0,-0.076,3.809,3.309,,3.0,,1.138,0.0,0.0,0.0,1.202,,0.0,0.0,,,,,,,0.0,,0.0,,,,,,,,2
4.562,3.8122,,0.0,,0.0,0.0,33.3,1.0,,0.0,,,,9.184,4.0,,,,0.0,0.0,1.179,0.0,0.0,,0.0,,-0.258,0.0,,1.521,0.0,0.0,,1.0,,3.556,0.0,7.676,0.0,,2
,,,,,0.0,0.0,33.3,,,,0.086,2.847,,,,,,,0.0,,1.189,,,,,,0.149,0.0,,1.776,0.0,,,0.0,,,,,,,2
,,0.0,,,,0.0,35.0,1.0,,,,,,9.765,6.0,1.02,1.135,,,,,,0.0,,0.0,,,,,,0.0,0.0,,0.0,,,0.0,,0.0,,2
,,,,,0.0,0.0,,,,0.0,,,,9.467,,,1.142,0.0,0.0,,1.149,,,,,,,,10.469,,,,,,3.525,,,,0.0,,2
,,,0.0,0.0,,,34.3,,5.0,,,,,,10.0,,,0.0,,0.0,,0.0,0.0,,,2.107,,,21.879,,,,0.0,,3.535,,,,,,2
4.468,,,,0.0,0.0,,33.3,2.0,,0.0,-1.073,3.37,,9.651,,,1.139,,0.0,0.0,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,3.534,,,,,0.0,2
4.562,,,0.0,0.0,0.0,,25.0,,2.0,,-1.21,,0.918,,,,,0.0,0.0,,,0.0,,,0.0,,,0.0,9.435,,,,,1.0,,,,,0.0,,2
,,0.0,0.0,,,,30.8,,2.0,,,,,,0.0,,,,,,,0.0,0.0,,0.0,,0.0,,10.57,6.77,0.0,0.0,2.0,0.0,,,,8.295,,,2
4.691,3.8787,,,,0.0,,,,4.0,1.0,-2.498,,,,,,,,0.0,0.0,,0.0,,,,2.117,,0.0,19.617,2.428,,,2.0,,,4.019,1.0,,0.0,0.0,2
,3.6206,,,0.0,,,28.6,0.0,,0.0,,,0.971,,,,,0.0,0.0,0.0,,,0.0,,,1.848,0.481,0.0,,,,,0.0,,,,0.0,7.521,0.0,0.0,2
4.214,3.3376,0.0,,,0.0,0.0,33.3,0.0,,1.0,,2.774,,,,1.071,,0.0,,,,,0.0,,,1.902,-0.277,0.0,,2.052,0.0,,1.0,1.0,3.423,,1.0,,0.0,,2
,3.5794,,,,0.0,,,,,3.0,,,,10.627,,0.985,,,0.0,,1.18,,,,0.0,2.22,,,22.35,8.266,0.0,0.0,4.0,,,2.306,,,,0.0,2
4.17,,0.0,0.0,,,,26.7,,,,,,0.971,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,1.542,0.0,0.0,,,3.0,2.567,,,,0.0,2
5.175,3.9016,0.0,,,1.0,,29.6,3.0,,0.0,,3.227,,,,1.002,,,,0.0,1.146,,,0.0,,,,0.0,,3.341,,0.0,,,3.389,,,7.979,,,2
,,,,,,,42.1,1.0,,0.0,,,,,,,,0.0,0.0,,,,,0.0,,2.2,,0.0,,1.487,,1.0,,,,2.315,,,,,2
,,,,,,,,,1.0,0.0,0.0,,,,,,,0.0,0.0,,,,,0.0,,,-0.024,,0.0,1.544,,,,,,2.315,,,,0.0,2
,,,,,,3.0,,2.0,,,,,,,,,,,0.0,0.0,,,0.0,,,,-0.024,,,,,,,1.0,3.71,2.333,,8.114,,,2
,3.3386,,0.0,,0.0,,40.0,,,0.0,,,,,,,,,,,,1.0,,,,,,,,,0.0,,0.0,0.0,,2.233,0.0,,0.0,0.0,2
,,,0.0,0.0,,,,1.0,,,-0.242,,,,3.0,,,,0.0,,1.241,1.0,0.0,,0.0,,,0.0,10.395,2.905,0.0,,0.0,,3.573,,,,0.0,0.0,2
,,0.0,,,,1.0,45.0,,1.0,,0.0,,,,1.0,0.987,,,,,,1.0,,0.0,0.0,2.154,,,0.0,2.593,0.0,0.0,0.0,,,,0.0,,,,2
,,,,,0.0,2.0,46.7,0.0,2.0,,,,,9.631,4.0,,,0.0,,,,1.0,0.0,,0.0,,-0.026,0.0,,,,,,,3.662,,,,,0.0,2
,3.3599,0.0,,0.0,0.0,3.0,,0.0,3.0,,,,1.273,9.967,6.0,1.027,,,,,,1.0,0.0,,,,,,,,0.0,2.0,,,3.743,,0.0,,,,2
,,,,,0.0,,44.4,,2.0,,,3.239,1.185,,4.0,1.011,,0.0,0.0,,,,,,,,0.014,0.0,,,,0.0,0.0,1.0,,,,,,,2
,3.3983,,0.0,,0.0,,,0.0,,,,3.571,,10.257,10.0,,,,,,,1.0,0.0,,,2.343,,,22.449,,,0.0,0.0,,,,,8.593,,0.0,2
,,0.0,,,0.0,2.0,38.1,,,,,3.869,2.066,10.59,14.0,,1.129,0.0,,0.0,,,0.0,0.0,0.0,,0.0,,23.965,,0.0,,0.0,0.0,,,0.0,,,,2
,3.2253,,0.0,0.0,,2.0,41.7,,,0.0,,3.571,1.59,10.236,10.0,,,,,,,,0.0,,,2.307,,0.0,,,0.0,,0.0,,3.764,2.833,0.0,,,0.0,2
,2.7377,,,,0.0,,50.0,,5.0,,,,1.06,,,1.078,,0.0,0.0,,1.211,,0.0,0.0,0.0,2.454,,,32.533,1.75,,0.0,0.0,1.0,3.906,3.321,,,2.0,0.0,2
4.793,,0.0,0.0,,0.0,,,0.0,,,,,,,7.0,0.998,,0.0,,,1.28,,,,0.0,2.247,,,11.596,3.928,0.0,,,,,,,8.7,,0.0,2
4.77,3.1445,0.0,,,0.0,2.0,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,0.0,,,,,,,,,,2
,,,,,,,,0.0,,,0.0,,1.16,,8.0,1.061,,,,0.0,,,,0.0,,2.311,,,20.836,,0.0,,,,,3.477,0.0,9.513,,0.0,2
,,0.0,,0.0,,0.0,,3.0,,,,,,9.882,0.0,,1.128,,,,,1.0,,0.0,,,,,0.0,1.74,,,0.0,0.0,,,0.0,7.934,,,2
4.414,2.18,,0.0,,0.0,,,0.0,1.0,0.0,0.0,2.755,,,2.0,0.98,,0.0,,,1.149,1.0,,0.0,0.0,,-0.066,0.0,0.0,0.975,0.0,,,,,2.119,,,,,2
,,,,,0.0,,,2.0,2.0,0.0,,3.232,,,,,,,,,1.189,,,,,,-0.007,,10.635,,1.0,0.0,0.0,0.0,,,0.0,7.93,,,2
5.331,,,,,0.0,,,0.0,4.0,,,4.133,,,,1.009,1.102,,,0.0,1.3,3.0,0.0,0.0,0.0,,0.0,,,2.694,0.0,3.0,0.0,,,2.318,0.0,,,,2
4.607,,0.0,0.0,,,,47.1,,,,,,,9.631,,,,0.0,,0.0,1.299,,,,,2.194,,,10.118,,,0.0,0.0,,,,,,0.0,,2
5.814,2.4937,,,0.0,,,,,1.0,,0.513,3.256,0.845,,4.0,0.978,1.131,,,,,,0.0,,0.0,,,0.0,,0.811,,,,,,,,,0.0,,2
,2.2966,,,,,0.0,,,,,,,,,,0.964,1.128,0.0,,0.0,1.267,,,0.0,0.0,2.554,,0.0,,0.986,,0.0,,,3.676,,,8.065,0.0,,2
5.814,2.4328,0.0,,,2.0,,34.5,,,,0.0,,,,,,1.136,0.0,,0.0,1.223,,,0.0,0.0,2.62,,0.0,,,,0.0,,,3.693,1.97,,8.05,,0.0,2
,,0.0,0.0,0.0,,,40.0,0.0,2.0,0.0,,,0.959,,,1.042,1.125,0.0,0.0,,1.208,,,0.0,,,,,,,,0.0,0.0,,3.603,,,,0.0,0.0,2
,,,,,0.0,,50.0,,2.0,,-0.199,3.266,,,5.0,,,,,,,,0.0,0.0,,,-0.008,,,,,0.0,,0.0,,2.5,,8.33,1.0,,2
4.414,,0.0,0.0,,0.0,,,,2.0,0.0,,2.935,,9.209,,1.038,1.114,,0.0,0.0,,,,0.0,0.0,,,,,,,,0.0,0.0,,2.881,0.0,8.002,0.0,,2
4.414,,0.0,0.0,0.0,,,,1.0,,,,,,9.209,1.0,,,,,,1.141,,,,,,-0.074,0.0,,1.496,,0.0,0.0,1.0,,2.405,,7.243,0.0,,2
,2.8025,,,,,,50.0,0.0,2.0,,,3.38,,10.226,,1.033,,0.0,,0.0,,,,0.0,,,,,,,,,,,3.853,,,8.508,,0.0,2
4.651,2.7156,0.0,,,0.0,,,,1.0,0.0,0.292,2.826,,9.502,,,,0.0,0.0,,1.19,1.0,,,,,,,10.5,0.918,,0.0,,0.0,3.482,,,7.624,,,2
,3.0226,,0.0,,0.0,2.0,,0.0,,2.0,,3.174,,9.805,,,,,,,1.359,,,,,2.323,0.013,,,,,0.0,,,,1.981,1.0,8.357,,0.0,2
,,,0.0,0.0,,,23.1,,3.0,,0.0,3.108,,,,,1.138,,,0.0,1.188,1.0,,0.0,0.0,,-0.081,,20.417,0.939,,,,,,,,,,,2
4.826,,0.0,,,0.0,0.0,25.0,3.0,,,0.0,,1.654,,,,1.163,0.0,,0.0,1.12,1.0,,,,2.303,-0.001,0.0,,,0.0,,,,,2.5,,,,,2
4.829,,1.0,,,0.0,2.0,39.3,2.0,,2.0,,,1.875,,6.0,,,0.0,,0.0,1.227,,,,0.0,,,,,,0.0,,,1.0,3.74,,1.0,,,1.0,2
5.439,2.3629,,,,0.0,,23.5,0.0,11.0,,,,,,,,1.155,,0.0,,1.154,2.0,,,0.0,,,,,5.533,,,,,4.61,3.182,4.0,,,0.0,2
,2.6454,,0.0,,0.0,,39.1,,2.0,1.0,,,,9.972,,,1.13,,,,,,,,,,,,,,0.0,,2.0,3.0,3.585,,,,0.0,,2
4.659,3.7176,,0.0,0.0,,,23.1,,,,,3.714,2.128,,,,,0.0,0.0,0.0,,0.0,,,,2.125,-0.002,,20.538,4.56,,,4.0,6.0,,3.333,,,,0.0,2
,2.8897,,0.0,,,,,2.0,0.0,0.0,,,3.322,,,,,0.0,0.0,,,0.0,,0.0,0.0,1.978,,,0.0,8.122,,0.0,,,,,,,0.0,0.0,2
,,,,0.0,0.0,0.0,,,,2.0,0.0,2.373,,,,,,0.0,,0.0,1.133,0.0,0.0,,0.0,,0.322,,,,0.0,0.0,,,2.983,2.167,,6.635,,0.0,2
3.0,,0.0,,0.0,,0.0,20.0,0.0,,0.0,0.0,,,6.594,,0.975,,,0.0,0.0,1.126,,0.0,,,,,0.0,,,0.0,,0.0,1.0,2.642,2.167,1.0,,,0.0,2
3.618,,0.0,,0.0,,0.0,,2.0,,0.0,,,,,,,,0.0,,,1.129,0.0,,0.0,,1.732,0.33,0.0,0.0,2.094,0.0,,2.0,1.0,,,1.0,,,,2
3.0,,0.0,,0.0,0.0,0.0,22.2,2.0,,0.0,,,0.918,,0.0,0.998,1.162,,,0.0,1.06,,,0.0,,,,0.0,,1.333,0.0,,,,,,,5.86,,0.0,2
,,,,,0.0,0.0,,2.0,1.0,,,,,8.318,,0.988,1.156,,,,,,,0.0,,,-0.552,,,1.0,0.0,,,,,2.833,,6.539,0.0,,2
4.444,3.1402,,0.0,,,0.0,,,,,,,1.891,9.202,,0.973,,,0.0,0.0,,,0.0,0.0,,,0.038,,,,0.0,0.0,,1.0,,,,7.197,0.0,,2
,,,,0.0,0.0,0.0,29.6,,1.0,0.0,,,,,,,1.146,,0.0,,,,0.0,0.0,0.0,1.902,,0.0,,3.685,,0.0,,,2.936,2.056,,,0.0,,2
3.95,,,,,0.0,0.0,,,,,,,,9.296,,,1.143,,,0.0,,0.0,0.0,0.0,,1.956,,0.0,,,,,0.0,1.0,2.976,,,,,,2
,,1.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,1.532,,0.0,,0.0,,,0.0,,,,,0.0,,5.127,2.108,,,0.0,0.0,2
,2.477,0.0,0.0,,,0.0,25.0,,,,0.0,,,8.16,2.0,1.005,,,0.0,,,,,,,,-0.229,,,,0.0,0.0,0.0,,,,0.0,6.732,,,2
,,0.0,0.0,,,0.0,,2.0,1.0,,,,3.301,9.649,,,,,,0.0,,,,,0.0,,,0.0,,,,,0.0,,,,,,0.0,,2
,2.4719,0.0,,,0.0,,,1.0,,0.0,,,1.0,7.408,,,,0.0,,0.0,,,,0.0,,,,,,1.707,,,,1.0,2.974,3.125,0.0,,,,2
,,0.0,,0.0,0.0,,,2.0,,,0.0,,,,0.0,1.007,,,0.0,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,1.0,,0.0,,2
,,,,0.0,,0.0,,,,0.0,,,,,2.0,,,,,0.0,,0.0,,,0.0,,,,,,0.0,0.0,,1.0,,2.548,0.0,7.098,0.0,0.0,2
,,0.0,,,0.0,,,1.0,,0.0,0.0,2.03,0.918,,0.0,,1.149,0.0,0.0,0.0,1.177,,,0.0,0.0,,0.903,0.0,8.806,,,,0.0,0.0,2.991,3.667,0.0,6.578,,,2
,2.8963,,,0.0,0.0,,,2.0,1.0,0.0,0.0,,,8.597,,,,,0.0,,1.196,,,0.0,0.0,1.848,0.363,,9.505,1.542,,0.0,0.0,0.0,,2.867,0.0,,,0.0,2
,,0.0,,0.0,,0.0,,,,0.0,,2.768,,,1.0,0.98,1.142,,,0.0,1.224,,0.0,,0.0,2.0,,,,2.133,0.0,0.0,0.0,,,2.5,0.0,7.473,0.0,,2
4.414,3.4137,0.0,,,0.0,,,2.0,,0.0,-0.125,,1.379,9.222,,1.013,,,0.0,,1.209,,0.0,,,2.0,0.144,0.0,20.067,2.133,0.0,,,0.0,3.426,3.262,,7.758,0.0,,2
4.236,3.1869,0.0,0.0,,,0.0,,,,,-0.671,,,,2.0,,,0.0,0.0,0.0,1.212,0.0,,0.0,,,,0.0,10.319,,0.0,,0.0,,3.33,,,,,,2
4.523,4.0241,0.0,,0.0,,,,2.0,,,-0.913,,,,,1.021,,0.0,,0.0,,0.0,,,,2.074,0.048,,,,0.0,,,,,,0.0,,0.0,,2
,3.5408,,0.0,,0.0,,32.4,,,0.0,,,,10.32,,,1.14,0.0,,0.0,,,,,,2.105,,,23.157,9.847,,,,,,2.083,,8.622,,,2
4.836,5.6969,0.0,,0.0,,,,,,0.0,-0.851,,2.929,,17.0,,,0.0,,,1.178,,0.0,0.0,,2.262,,0.0,37.824,,,,,,,2.268,,8.951,0.0,,2
,,,0.0,0.0,,0.0,30.0,,,,-0.195,,,,2.0,0.998,1.146,,,,1.153,,,,0.0,2.042,-0.079,,,,0.0,0.0,0.0,,3.389,,0.0,,,0.0,2
,3.3919,,0.0,,,,,,3.0,,-0.255,3.039,1.975,,1.0,,,0.0,0.0,,,,,0.0,,,,0.0,10.129,,0.0,,,0.0,,,,7.677,,,2
,,0.0,,,,,,1.0,,,,3.345,,,,1.019,,0.0,0.0,,,,,0.0,,2.044,,,,4.178,0.0,0.0,,,3.379,,,,,0.0,2
,,,0.0,0.0,,,,2.0,,,,,4.437,10.757,,0.974,,0.0,,0.0,,,,,,,,,23.892,,,,,,3.395,,,,0.0,,2
4.243,,0.0,,,,,,,4.0,,,3.477,,,,,,,,,,,0.0,,,2.0,,0.0,20.288,,0.0,,0.0,,3.337,,,8.169,,,2
4.237,3.0152,0.0,,,,,,,4.0,,,3.699,,,4.0,0.995,,,,,1.158,0.0,0.0,,0.0,,,0.0,20.53,7.174,,0.0,0.0,,3.335,2.63,0.0,,0.0,,2
,,0.0,0.0,0.0,,,,2.0,8.0,,,,3.774,,,1.002,1.144,0.0,,0.0,,0.0,,,0.0,,,,23.21,10.723,,0.0,0.0,,,,0.0,,,,2
,,,,,,,,,,,,,,,,1.027,,0.0,,,,,0.0,0.0,,2.101,,0.0,,3.207,,,,0.0,3.486,2.985,,,0.0,0.0,2
,,,,,,,32.3,,,,,,,,,0.979,,,0.0,0.0,,0.0,0.0,0.0,,2.08,,0.0,23.602,,,,,,3.645,,0.0,9.017,0.0,,2
,,0.0,,,,,30.0,,4.0,0.0,,,1.922,,2.0,,,,0.0,0.0,1.13,,,,,,-0.028,0.0,,,,,,,3.586,3.133,,,,0.0,2
,4.0218,,0.0,,,0.0,,,2.0,0.0,,3.447,2.21,,,,,,0.0,0.0,,,0.0,,,,-0.002,,11.115,,,,,,3.53,2.262,0.0,,,0.0,2
,3.7043,,,,,,33.3,,,0.0,0.185,3.146,,9.536,,0.993,1.139,0.0,,,1.197,0.0,,0.0,,,,,,3.237,,,,0.0,,2.533,0.0,,0.0,0.0,2
,,,,,,,,,,0.0,,,,10.195,,,1.138,,,0.0,1.21,0.0,,,,2.094,,0.0,,,0.0,0.0,0.0,,3.525,,,,0.0,0.0,2
,,,,,0.0,,,,4.0,0.0,-2.514,,,,4.0,,,,,,1.108,,,0.0,,,-0.097,,19.107,,0.0,,,2.0,,,0.0,,,,2
,,0.0,,,0.0,0.0,,1.0,,0.0,-1.19,2.555,0.971,,0.0,,1.162,,0.0,,,,,,0.0,,,,,,0.0,,,2.0,,,,,0.0,,2
4.588,4.0275,0.0,0.0,,,0.0,32.0,,3.0,,-0.579,3.256,,,5.0,,,,,,1.174,,0.0,,,,0.014,,,3.114,,0.0,,,,2.833,,,0.0,,2
4.17,,0.0,,,,0.0,,,,2.0,,2.559,,,0.0,,1.133,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.401,0.0,,,0.0,,,,,3.033,1.0,7.564,,,2
5.098,,,0.0,,0.0,,,0.0,3.0,,,,,,3.0,,,,,0.0,1.131,,,,0.0,,-0.085,,,2.472,,,,,4.692,3.552,,,,0.0,2
,,1.0,,,,0.0,,,,0.0,-0.738,,1.459,8.755,1.0,1.057,1.146,,,0.0,,,0.0,,,,,0.0,9.587,2.052,,,0.0,0.0,,3.296,,,,,2
5.098,,1.0,,,,,,,4.0,0.0,0.0,3.72,,,4.0,,,0.0,,,,,,,0.0,2.121,0.0,,10.364,,,0.0,0.0,,,,,,0.0,,2
,,0.0,0.0,0.0,,,,2.0,,,,,1.922,,0.0,,,,,,1.288,,,0.0,0.0,,-0.023,,,,,,,,,2.033,,7.909,,,2
,2.2197,,0.0,,0.0,0.0,,,,0.0,,,1.393,,1.0,,,,,,1.018,,0.0,0.0,,,,,,,,,,,3.325,,,7.303,,,2
,2.8425,,,,,0.0,,,,,,,,,1.0,0.98,,0.0,,,,,,,,1.848,,,0.0,2.885,,0.0,0.0,1.0,3.104,,,,0.0,0.0,2
,3.0785,,,,0.0,,,,,,0.0,2.975,1.975,,2.0,,1.15,,,,,,0.0,0.0,,1.962,,,0.0,,0.0,,,,,,,,,0.0,2
,3.995,0.0,0.0,,,,,4.0,6.0,,-0.307,,,,10.0,,,,0.0,,,,,0.0,,,,,,,0.0,0.0,,0.0,,2.375,0.0,,0.0,0.0,2
,,,,,,,,,,0.0,-1.035,3.305,1.79,9.768,,1.035,,,0.0,,1.163,,0.0,,0.0,2.136,0.016,0.0,20.666,2.612,,,,,,,,8.202,0.0,,2
4.562,,1.0,,0.0,0.0,,,,,,-0.713,2.978,,9.184,0.0,,1.175,,0.0,,1.152,,0.0,,,2.0,,0.0,,,,,0.0,,4.307,4.148,,,,,2
4.77,2.8938,,0.0,,0.0,2.0,,,,0.0,0.0,3.164,,9.882,0.0,,,,,,,,,,,2.236,,,,,0.0,0.0,0.0,,3.646,,0.0,8.083,0.0,,2
4.517,,,0.0,2.0,,,40.0,,,,0.0,,1.409,,0.0,,1.129,0.0,0.0,,1.266,1.0,,,,,-0.024,0.0,0.0,,,,,2.0,,,,7.884,0.0,,2
