x-box,y-box,width,high,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx,class
,5.0,,,,7.0,6.0,,,,,,,,,,O
,7.0,6.0,,,,,,,,,,5.0,,,,P
,,,,1.0,,9.0,5.0,,,,,,,2.0,,C
,7.0,,5.0,,,,,,,,,,,,,G
4.0,,,,,,7.0,,,7.0,,,,,8.0,,B
3.0,4.0,,,,5.0,,,,,,,,,,,K
,8.0,,,,,,,,,,,,,,6.0,W
,,,,,,11.0,,4.0,,,8.0,,,,,V
,,,,,,,,2.0,,,,6.0,,,,W
5.0,,7.0,,,,,,,,,,,6.0,7.0,,H
,,,,,,8.0,,,,,8.0,,8.0,,7.0,Z
,,,,,,,,,,4.0,,,,,,J
2.0,,,3.0,,,,,,13.0,,4.0,,9.0,1.0,,F
,,,,6.0,,,,,,,,,,,,D
,,,,,,,3.0,,11.0,,,,,,,S
,,,,,,8.0,,,,,6.0,,9.0,,,T
4.0,,,,,,,,,,8.0,,,,,,O
,6.0,,,3.0,,7.0,,9.0,,7.0,7.0,,8.0,,8.0,Z
,,,,,6.0,,,,7.0,,,,,,10.0,B
,,,,,6.0,10.0,,,,9.0,5.0,,,,,F
6.0,,,,11.0,,,,,,,,,,,7.0,M
,,,,,,15.0,1.0,5.0,,,,,,,8.0,T
,,,,,6.0,,,,,,,,,,,O
,,,3.0,,,7.0,,,,,,,8.0,,,K
,,,,,,,,,,6.0,,,,,,Z
,,,,,,,,6.0,12.0,,,,,,,T
,,,8.0,,,,,,,,,,,1.0,,W
,,,3.0,,,,,,5.0,,,,6.0,,,A
2.0,,,,2.0,,,,,,,9.0,2.0,,,,Q
,,,,6.0,8.0,7.0,4.0,,,,,3.0,,,,Z
,,,7.0,,,,,,,,7.0,,,,,H
,,,,,,,,,7.0,,,,10.0,,6.0,R
,,,4.0,,,,,,,,,,8.0,0.0,,I
,4.0,,,,,,4.0,4.0,,,,,,,,R
,,7.0,,,,,,,,,,,,1.0,,U
,,,,,,,,,7.0,,,,,,,U
,,,,2.0,,,,,,7.0,,,8.0,5.0,,C
,,,,,,,,,7.0,6.0,,,,,,O
,,,,,,,,,,,,,,8.0,,E
5.0,,7.0,,,,,4.0,7.0,11.0,,6.0,,,,,D
5.0,,6.0,,,,8.0,5.0,,,,,,,2.0,,U
,4.0,,3.0,,,,3.0,,11.0,3.0,,,,,,R
2.0,,,3.0,,,,5.0,7.0,,,,2.0,,,,E
,,,,,,,6.0,,10.0,,,,,,9.0,G
,,,6.0,6.0,,,,6.0,11.0,,,,,,,B
,,,,,,,,,,,,,,2.0,8.0,A
,,,,,,,,6.0,,,,,,,,Y
,,,6.0,,,,,,5.0,,,,11.0,,,Y
,,,,5.0,,6.0,,,,5.0,,,,3.0,,O
,,,,,,,,8.0,,6.0,11.0,,,,9.0,G
,9.0,,7.0,,,,,2.0,6.0,,,,5.0,,,A
,,4.0,,,,,,,,,10.0,,10.0,,,C
4.0,,,,,7.0,8.0,,,,,,4.0,,,,H
4.0,,,,8.0,7.0,7.0,,,,,,,,,,R
,,,,,,6.0,5.0,5.0,,,7.0,,,,6.0,J
,,,,3.0,,,12.0,1.0,,,,,6.0,,,M
,,,,,,,,,,,,,,,,V
,,,,,,,3.0,5.0,,4.0,,2.0,,3.0,,R
,,,,3.0,7.0,,4.0,6.0,,,,,,,,T
,,7.0,,,8.0,,,,,,8.0,,,10.0,,J
,5.0,,,,,,,,,,,,9.0,,,S
,,8.0,9.0,,,7.0,,,,,10.0,,8.0,,10.0,G
,,,,,,,,6.0,,,,,,,,D
2.0,,,1.0,,,,,,,,9.0,,,,,G
,,,,7.0,10.0,,,,,3.0,6.0,,,8.0,8.0,Z
,,,,,,7.0,,,,,,,,,,D
1.0,3.0,,2.0,,,,,,,,,,,,7.0,A
,,,0.0,,,,1.0,,,,8.0,0.0,,,,T
,,,,,,,,,,,,,,,10.0,G
1.0,3.0,2.0,1.0,,,4.0,,,,2.0,,,,,,L
,,,7.0,,,,,3.0,7.0,6.0,,,,,3.0,W
,,,,,,,1.0,,7.0,6.0,8.0,,,,,I
,,,,,6.0,,,,,,8.0,,,,,M
,,,,2.0,,,4.0,,,,,,,,,Q
,,,4.0,,,,,,,,8.0,,8.0,,,S
,,,,,,,,,,,,,,,9.0,Q
,,,,1.0,,,4.0,,,14.0,,,,,,V
,,,,6.0,6.0,,,5.0,,5.0,,,,5.0,11.0,R
,,,,,,,,3.0,,,,,,,,Z
,,,,,,,,,,,,,,,,P
,,,,6.0,,,,,,,,,,,,W
,10.0,,7.0,,,,,,,,,,,,,I
,,,,,,,,5.0,,,,,,1.0,6.0,F
,8.0,6.0,,,7.0,9.0,,,7.0,6.0,7.0,,,,,F
4.0,,,,,10.0,,,,,3.0,,,,,,J
,,,,,,,,,,,,3.0,,,,V
,,,,9.0,,,6.0,5.0,7.0,,,,9.0,8.0,,M
9.0,13.0,,8.0,,,,,,4.0,,,,,,6.0,M
,8.0,,,,,,,,,6.0,8.0,,,,6.0,O
,3.0,,,1.0,,,,,14.0,,,1.0,,,,J
,,,,2.0,,,,,,,14.0,,,,,E
6.0,,,5.0,,,3.0,,2.0,,3.0,,8.0,,,,M
,,,,6.0,,,,,,,,5.0,,,,K
,9.0,7.0,,,5.0,,5.0,5.0,,,3.0,,,,,P
,,,,,,,,,,,,,,,,A
2.0,,3.0,,2.0,,,,,9.0,,,,,4.0,,G
,,5.0,,,,,4.0,,,,,4.0,,,,V
,,,3.0,,,,,,,,,,,5.0,,X
,,,,0.0,,,2.0,,7.0,2.0,8.0,,,,,A
,,,,,8.0,,3.0,9.0,,,9.0,3.0,,,,Z
,9.0,5.0,,,,,,,,,,2.0,,9.0,,S
,,,,,,,2.0,,,,,10.0,,,,M
,,,,,7.0,,,,,,8.0,0.0,,,,Z
4.0,,5.0,,3.0,7.0,,12.0,,,,,8.0,6.0,0.0,,M
12.0,13.0,,,,,11.0,,3.0,,,,,12.0,1.0,,W
,,,,5.0,,,,,,,,,9.0,,,T
2.0,,3.0,,,,,,,7.0,,14.0,,8.0,,,E
,,,,,,,,,,6.0,,,,,,I
,,,4.0,3.0,,9.0,,,9.0,8.0,,,,,,H
,9.0,,,3.0,,,,,,,,,,,,U
,7.0,,,1.0,,,,,,,,3.0,,,8.0,X
,3.0,,,1.0,,,,2.0,,,,,,,,V
,9.0,,,4.0,,,,,7.0,,,,,2.0,,W
,,,,,,6.0,,7.0,10.0,,,2.0,8.0,,,D
,2.0,,,,7.0,,4.0,,,5.0,7.0,,7.0,,,R
,,,,,,,,,10.0,,,,,,,S
,,,,3.0,,,,,,,,,,,,F
,,,,6.0,,,,,,,,,9.0,,3.0,N
3.0,5.0,5.0,8.0,,11.0,,3.0,,,2.0,7.0,,,,,Z
,,,,2.0,,7.0,,14.0,10.0,,8.0,0.0,,,,Z
,,0.0,,0.0,,7.0,,,,,,,8.0,,,I
,,,,,,,3.0,,,5.0,,,9.0,,,J
,,,,3.0,,8.0,,2.0,,,,,,,,Q
,,,8.0,,,,,4.0,,,,2.0,,,,F
,,,,,13.0,,,,,2.0,,,,,,J
,,,,,,,,,7.0,,,,,,8.0,R
,,,,,,,,,,,,,8.0,,6.0,S
,,4.0,,3.0,,7.0,,,,,,,,,,H
,,,5.0,,9.0,,4.0,,,,,,,,,B
,,,4.0,3.0,10.0,,,,,,,,,,,Q
,,2.0,,,9.0,2.0,2.0,1.0,,,,1.0,6.0,,,A
,,,,,,,2.0,,,12.0,,1.0,11.0,,,Y
,,,,,,,,,,,5.0,2.0,,,,P
2.0,,,,2.0,8.0,,,8.0,,,,1.0,,,,T
,6.0,,,,,7.0,,,,8.0,,,11.0,,,C
5.0,,,6.0,,,,15.0,,,,,,,0.0,,H
,5.0,3.0,,,,,,,,,11.0,,,,,G
,,,,,,9.0,,,,,,6.0,9.0,,,N
,,,,,,8.0,,,7.0,,,,,,8.0,Z
5.0,,,,,9.0,9.0,,3.0,,,6.0,,,,,P
,3.0,4.0,2.0,,7.0,,,,,6.0,,,,,,Z
2.0,,,1.0,,,,5.0,8.0,,,,,,,,E
2.0,,,,2.0,,,,5.0,,,,,,,,R
,5.0,,,,,,,8.0,11.0,,,,,,,E
,5.0,5.0,,,,,,7.0,,,,2.0,,,,E
,,7.0,,,,10.0,,,,,,,,,,Q
,,,,,,,,8.0,,,6.0,,,,,T
,,,,,,,,,,,,,,,,F
,,,,,,,,,,5.0,5.0,,,,,D
0.0,,,,,12.0,,,,,,,,7.0,,,J
,,,,,9.0,,,,,,,,,,,Y
,,,,,,,,,,,,,,,,S
,,,,,,,,,,,7.0,,,,,O
5.0,,7.0,,,8.0,,,3.0,,,,,,,,O
2.0,,,,,,,,,,,,,,,8.0,Z
,,,,,,,,,,,,,,8.0,5.0,D
,4.0,,,,,,0.0,,,6.0,,0.0,8.0,,,I
,,,,,10.0,,3.0,,,,,5.0,,,,N
,6.0,,,,,,,,,,,3.0,8.0,,,H
,,8.0,7.0,,,,,,,11.0,,,,,,U
,,,4.0,4.0,,,,2.0,,,10.0,,,,,C
8.0,,,,,,,,,,,,,8.0,,,U
,,,,,,8.0,,,,,,,,5.0,,O
,,,5.0,,,,,,,,12.0,,,8.0,,E
,,,,,,,,,,,,,,,,M
,,,,,,10.0,,,,,,,,,,Y
,,4.0,,3.0,6.0,,,,,,12.0,,,,10.0,C
5.0,,,,3.0,,,,,,,5.0,,,,,Y
,,,,2.0,,8.0,,,,,6.0,,,,,Z
,,2.0,,,,,,,,,,,,,,J
2.0,,,,,8.0,8.0,,,10.0,6.0,,2.0,,,,B
2.0,,,,,6.0,,7.0,,,,,,,,,C
,10.0,,8.0,,8.0,,,9.0,,,,0.0,,,8.0,S
,,,,,,,5.0,,,,,,,,,F
,,,,,6.0,,,5.0,,,9.0,,,,8.0,O
,,,,,6.0,,,6.0,,7.0,,,,5.0,4.0,T
,,,,,,6.0,,,7.0,,,,,,,K
,,4.0,,,,,,5.0,,,11.0,,11.0,,8.0,E
8.0,,,,,,,,,,4.0,,,8.0,7.0,,F
,,,,,,,,,8.0,,7.0,,,,,V
5.0,,,4.0,,,,,,,,8.0,3.0,,,,Q
7.0,,7.0,,,3.0,,2.0,7.0,,,6.0,,,3.0,,Y
,,,,,,,2.0,,,,5.0,,,,4.0,Y
,,,,,,,,,,,8.0,,,,,O
,,,,,7.0,,,,7.0,,,,,,,N
4.0,,,,,,,,,,3.0,,,,,,A
,5.0,4.0,,,,,2.0,,,,6.0,,,,7.0,F
4.0,,,,,,,,,,,,,6.0,,,R
,,,,,,,0.0,,,,,,,,,T
,,,,,,6.0,,,,,8.0,,,2.0,,M
,,,,,7.0,7.0,,,,,,,,,,D
,8.0,,,,6.0,,,,,,2.0,,,,9.0,P
,5.0,,,3.0,,,,15.0,9.0,,,,8.0,,,Z
,,,5.0,,,,,,,,,,,,,Y
,5.0,,,3.0,,,,,11.0,,,,10.0,,,T
9.0,,,,,,7.0,4.0,,10.0,,,,4.0,,,B
,,,,,,,,1.0,7.0,,,,,,7.0,A
,,,,,,,8.0,,,,,,,,,A
,,,,,,,,,10.0,10.0,,,,,6.0,W
3.0,,,8.0,,,9.0,,,,7.0,,,10.0,,,P
,,,3.0,,,5.0,,4.0,,,,7.0,,,,M
,,,6.0,,,,,,,,,,,,4.0,U
,1.0,,,,,7.0,,,,,8.0,,,6.0,,E
4.0,,,4.0,,,,14.0,,,6.0,,,,0.0,8.0,N
4.0,,,,,5.0,,,4.0,8.0,12.0,,,,,8.0,V
,,,,,,10.0,,,,,,,,,,P
,,,,,,,,,,4.0,,,,,6.0,P
7.0,,6.0,7.0,,,11.0,,,,,,,,,,V
,,5.0,,,,,,6.0,,,,,10.0,4.0,,G
,,,,,12.0,,,,,,,,,0.0,8.0,J
,,4.0,,,,,,,8.0,,,,,2.0,,A
6.0,,,,7.0,,,,1.0,,,,9.0,4.0,,8.0,M
,,,,,5.0,,,6.0,,,,1.0,10.0,,,T
,,4.0,,,,,,,,,,,9.0,,,Q
,,,6.0,,,,,,,,,,,3.0,8.0,F
,,,8.0,,8.0,,0.0,,,6.0,8.0,,,,7.0,I
,10.0,8.0,8.0,,,9.0,,,,,10.0,,,,,U
2.0,,,8.0,,12.0,,,,,,,,6.0,,,J
,,,3.0,,,,,,,,7.0,,,4.0,,S
,,,,,6.0,,,,,,,,,,,L
,,2.0,,,9.0,,3.0,,,,,,,,,J
,,,,8.0,,8.0,,3.0,,,,,,12.0,,S
,,,,,,,,,,,9.0,,,,,V
,10.0,,8.0,,,,,,,,,,7.0,,9.0,C
4.0,8.0,,,,,,,,,,,,,,,O
,,6.0,,,,,,,,,,3.0,,,10.0,Q
8.0,,9.0,,,,,,,,,8.0,,,,,Z
,,,,,,,,,,,14.0,0.0,,,,E
,,,,2.0,,,,8.0,9.0,,,,,,9.0,C
6.0,,,,,,,,,,,8.0,,,,,A
,,5.0,,,,,,6.0,,,,3.0,,,8.0,U
,,,,,12.0,,3.0,,10.0,,,,,,,N
,9.0,9.0,,,,5.0,,5.0,,,,,,,,M
,,,,,,,,,,,,,,,,S
,,,,3.0,,,5.0,,,,,,,,,N
2.0,1.0,,,2.0,,,5.0,,7.0,,,,,5.0,,E
,,,,,,,5.0,,11.0,,,,,4.0,,P
,0.0,2.0,,,,9.0,1.0,,,,8.0,,10.0,,8.0,Y
,,,,,,6.0,,,,,,,,,11.0,G
6.0,,,,,,,,,,,,,,8.0,,Z
2.0,,,,,,,,,,6.0,,,,2.0,,I
,,,,,,,,,,,7.0,,,5.0,,R
,,,,,,,,,,,,,,8.0,,Z
3.0,,,,,,,,6.0,,,,,,,,T
,,,,,,,,9.0,,,,2.0,,7.0,,Z
,,,6.0,,,,,9.0,,,,,,,,G
,,,,,,,,,,,,5.0,,,,F
,,4.0,,,,,,,,8.0,11.0,,,,,K
,4.0,,,,,,,,,,,,8.0,,,G
,,,,,,,,,,,,,,6.0,,G
,,,6.0,,,,3.0,,,,,7.0,,,,W
1.0,3.0,,,,,,,8.0,6.0,,8.0,,,,,Z
7.0,,,,,,,,,9.0,8.0,,3.0,,,,K
,,,,,8.0,,,,,,,,,,,A
,,,,6.0,,,,,,,,,9.0,9.0,,S
,10.0,,,,4.0,,2.0,,,,7.0,,,,,W
,,,,,,,,,,,,,8.0,,8.0,L
3.0,,,,,,,4.0,,9.0,,,,,,,B
,,,,,6.0,,,,7.0,,,3.0,,,,H
,,,,,7.0,8.0,3.0,,,,8.0,,,,,H
,,,6.0,,,,0.0,7.0,13.0,,8.0,,,,,I
,,,,,,6.0,,5.0,,,,,11.0,,,H
,,,8.0,,,,,,,8.0,,,,4.0,,C
,3.0,,,,,,,,,,,,,4.0,,C
,,6.0,,,,9.0,,,,,,,,,,T
,,,,,,6.0,,,,7.0,,,5.0,,7.0,M
,1.0,3.0,,,7.0,7.0,,,,,,,,,8.0,R
7.0,,,,,,8.0,,,,6.0,,,8.0,3.0,,K
3.0,,,,,,,,,,,,,11.0,,,W
,,4.0,,,6.0,,2.0,7.0,11.0,,,,,,,T
,,,,4.0,,,,,,,,,12.0,,,T
,,,,2.0,,,,,,,,,,1.0,,I
,,,,,,,,,,,,,,,8.0,L
,,,7.0,,,6.0,,,,,,,,,10.0,B
6.0,,,,5.0,,,1.0,,7.0,6.0,,,,4.0,8.0,I
5.0,,,,,,,,,,,9.0,,,,,K
4.0,3.0,,2.0,2.0,,,,7.0,,,,3.0,,,6.0,U
,,,,,,,,,11.0,,,2.0,,,,V
,,,,,,7.0,,,6.0,,,2.0,,,,Q
,4.0,,,,7.0,,,8.0,,,,,,,,G
4.0,4.0,,,,,7.0,,,7.0,,,,,4.0,,O
,,3.0,,,7.0,8.0,2.0,,11.0,,,1.0,,,,Z
,,,,,,5.0,,,,5.0,,,,6.0,11.0,G
,,,,,7.0,,,,6.0,12.0,9.0,2.0,,2.0,,Y
,,,,,8.0,,,,8.0,,,3.0,,8.0,3.0,A
2.0,,,,2.0,,,,,,,7.0,,,1.0,,M
,,,,,8.0,,,5.0,10.0,3.0,8.0,,,6.0,,R
,8.0,,,,,,6.0,,,6.0,,2.0,,,,B
,,,,,,10.0,,,7.0,,,,,,,W
,,,,,,,,,,,,,,,,E
,,,,,,,,,,12.0,7.0,,,,,V
,,,0.0,0.0,,,4.0,2.0,,,,,,,,F
,,4.0,4.0,2.0,,,,,,,8.0,,,,,O
,,5.0,,,,,4.0,,9.0,,,,6.0,6.0,,O
5.0,,,,13.0,8.0,,,3.0,,,,,,,9.0,W
3.0,,,,,,,,,10.0,,,3.0,,,,H
,,,,1.0,,,,,,,,,,4.0,,G
,10.0,,,1.0,,,,,,,,,,,8.0,L
,,,,6.0,,,,,,,,,,,,P
,,3.0,,,,,,,,,,2.0,8.0,,,S
3.0,7.0,,,,,,7.0,,,,,,,,,A
5.0,,,6.0,5.0,5.0,,9.0,7.0,,,,2.0,,,,D
,,,,,,,,,,,,3.0,,,8.0,D
,,,4.0,,,,,,,5.0,,0.0,7.0,,7.0,J
,,,,,,7.0,,6.0,7.0,,,,,,,L
,,,8.0,7.0,,,6.0,,,,,9.0,,2.0,8.0,M
,,,,8.0,8.0,,,,,,,,,,,W
,,7.0,,,,,,,,,8.0,8.0,,,,W
,,,,,7.0,,,,,,,,,8.0,,T
,,8.0,,,,10.0,1.0,,,,,,,2.0,,Y
1.0,,,,,,,,,7.0,,,,,0.0,,W
,,6.0,,,,7.0,5.0,,,,5.0,,,,,D
5.0,,,,,,6.0,,,11.0,4.0,9.0,,,,,E
2.0,,,,,,,,,7.0,6.0,,,,4.0,,K
,,5.0,,,,7.0,8.0,5.0,,,,3.0,,3.0,,O
,,7.0,,,,,,4.0,,,9.0,,,,7.0,K
,,,,,,,5.0,,,4.0,,,,,,Q
,,2.0,,1.0,,,,,,,9.0,,,,,G
,,,,,9.0,,,,,,,,,9.0,,Q
,,,,,4.0,,,,10.0,10.0,,,,3.0,4.0,Y
,1.0,,,,7.0,,,,,,,,,,,C
,10.0,,,,,,,7.0,,,,,,,,E
,,,,,,,,,,,,,,,,J
,,,,,,,,8.0,11.0,,,,,,,K
,,,,,7.0,,4.0,,,,,,,,,U
,2.0,,,,,,,,,,,,8.0,,,B
,,,,,6.0,,,,,,,,,,,K
,,,,,6.0,,,,8.0,,,1.0,,,,C
,,,8.0,7.0,,,,,,,,,,,,N
,7.0,,,,6.0,,5.0,,,,,3.0,,,,T
,6.0,,,,,7.0,,,,6.0,8.0,,,,,N
,,,,4.0,5.0,,,,,,,6.0,12.0,,,W
,,,,3.0,,,4.0,5.0,11.0,,,3.0,,,13.0,Q
,14.0,,,,,,,,,,8.0,,6.0,,,B
,1.0,,,,,11.0,3.0,,,,7.0,,,,,T
,,,,,,,,5.0,,,,,,,,F
,,,,,,,,,11.0,,,2.0,,5.0,,T
,,,,,,,,,7.0,2.0,8.0,5.0,,,,A
,,,,,,,6.0,6.0,,,,,,,,N
,,,,4.0,,,,,,,,,,,,S
,,,,,,,,,,,,,,,8.0,L
,,6.0,,,,,,,,,,,7.0,,,B
,,,8.0,,,,,,,,,2.0,,,,T
,,,,,,7.0,,,,4.0,,,,,8.0,D
,,4.0,,,8.0,,,,,,,3.0,,,,Q
,,,,,,,,6.0,,,3.0,,,,,P
,4.0,,,3.0,5.0,,,,,8.0,,,,,,H
,,,,8.0,,,3.0,,9.0,,,,,,,B
,,4.0,3.0,,7.0,,6.0,,,,,,,,,U
,,6.0,4.0,,,,,,,,9.0,,,,7.0,A
,10.0,,7.0,2.0,,,,,7.0,,,,,3.0,,K
,,,4.0,4.0,,,,5.0,7.0,,,,,,,X
,,,,,,,6.0,,,6.0,,,7.0,3.0,8.0,N
,,,,,10.0,,,,,,,,11.0,10.0,,Y
,,,5.0,,,10.0,,,5.0,13.0,,,,,,Y
,11.0,,,,,,2.0,,,,,,,,5.0,Y
,,,6.0,,,,,,,2.0,,,,,,A
,,,,,,8.0,,,,,8.0,,,,,H
,,8.0,,,,10.0,,,,,10.0,,,,,N
,,5.0,,,,,,,,,,,,,,H
,,,,,,7.0,4.0,,,6.0,,,,,,I
,9.0,,,,,,5.0,,,,,,,,10.0,D
,,,,,8.0,,,,,,8.0,,8.0,,,X
,,,,7.0,,11.0,,,,9.0,9.0,,,,,W
,,,,,,,4.0,,,,8.0,3.0,10.0,,,V
,,,,,,,,,10.0,7.0,7.0,,,,,O
,,,,,,,,5.0,7.0,,7.0,2.0,,,,S
2.0,,,,,9.0,,1.0,,,,,,,,,T
,3.0,,,,,7.0,4.0,,,,,,,,10.0,K
,,,8.0,,,,15.0,,,6.0,8.0,,,,,N
5.0,,5.0,,,,,2.0,8.0,11.0,,9.0,,,,,Z
,,,5.0,,,,,,14.0,,,2.0,,,8.0,F
,6.0,,,,,,,,,,8.0,,,,,F
,8.0,,,,,,2.0,,,,7.0,,13.0,1.0,,W
3.0,,,,3.0,,,,,,6.0,,,,,,S
,,,6.0,,6.0,,,5.0,,,,,,,11.0,R
,5.0,,,2.0,,,,,9.0,,,,,,,V
4.0,,,,2.0,,,8.0,,,,,,,,11.0,K
3.0,,4.0,,,,,,8.0,,1.0,,,,,7.0,L
,,3.0,,,,,,,,,7.0,,,,,V
,,7.0,,,,,,5.0,,,7.0,,,,8.0,J
,,,,,,6.0,,4.0,,,,,,,,F
,,,2.0,,,,1.0,,,,7.0,,,1.0,,I
3.0,,,3.0,,,,5.0,,,,,,,6.0,10.0,E
,,,,,,12.0,8.0,,,,4.0,,,,,P
,,4.0,,,,10.0,7.0,,,,,,,,,R
,,,7.0,,,,,,,,,,,,8.0,V
2.0,,3.0,,,,6.0,,,,,,,,0.0,,H
,,,,3.0,,,6.0,,7.0,6.0,,,,,,E
,8.0,,,,,,,,,,,,,3.0,,X
,,,7.0,,,8.0,,,,7.0,,3.0,,,7.0,O
,,,,,7.0,,,,,,,,,1.0,7.0,N
5.0,,,,3.0,,,,6.0,,,,,,,,C
,,,,,,,,,7.0,,,,8.0,,8.0,X
,,,,,,,6.0,,,,6.0,,,,7.0,D
,,,8.0,,,,,7.0,,,,,,,,T
,13.0,,,,,,7.0,,,,,,,,,O
,,,,,,,6.0,,,10.0,,2.0,10.0,,5.0,F
,9.0,,,,5.0,7.0,,,,,,,,,9.0,I
,,,,2.0,,,2.0,,,,,1.0,8.0,,,Z
,,,4.0,,8.0,,,,,,,,,,,B
,,,4.0,2.0,,,4.0,,,,,2.0,6.0,5.0,,S
5.0,,,,,,,2.0,,9.0,,,,6.0,2.0,,M
,15.0,7.0,,,6.0,,,7.0,,,7.0,,,7.0,,D
,,,,,,,,,,,5.0,,,,,L
,,,3.0,3.0,,,,,9.0,,,,,,,M
,,,,,,,6.0,,5.0,,,1.0,7.0,,9.0,C
,,,,5.0,9.0,,,,,,,,,,,P
,8.0,,,4.0,,,,,,,,,,,,E
,,,,,,,,,,,,,,5.0,,Q
,,,2.0,,7.0,7.0,,,9.0,,,2.0,,,,G
,,,,,,,6.0,1.0,,,10.0,,,,10.0,Q
,,,,,,7.0,,,,,,,,,,E
,,,,,,,5.0,,9.0,,10.0,6.0,8.0,4.0,,U
,,3.0,,1.0,,,,,6.0,2.0,,,7.0,,,A
,,,,,,,,,,,,2.0,,,,G
,,5.0,,,,7.0,8.0,,,,,,,3.0,,N
,,,2.0,1.0,10.0,,,,,4.0,,1.0,,1.0,,J
,,,6.0,,,,,2.0,,12.0,,2.0,,,,V
,,4.0,,,,7.0,,2.0,5.0,6.0,,6.0,,0.0,,N
,9.0,,,,,,,3.0,8.0,,,,,,,K
,,,,,8.0,,,6.0,7.0,,,,,,,S
,,,,,,,,,,5.0,,,,,,F
,,,,,,,,4.0,,7.0,4.0,,,,,P
,,,,,10.0,,,,,,,,,,,A
,,5.0,,,,,,,,7.0,,,,2.0,,F
,,,10.0,6.0,,,,6.0,,,,,,,,J
4.0,7.0,,,,,,,,,,,,,,,J
,12.0,7.0,,,,9.0,,,,,9.0,,,,,W
5.0,,,,,,,4.0,6.0,9.0,6.0,,,,,,D
,,,4.0,,,,,4.0,,4.0,,,,,8.0,O
,,,,,,4.0,,,,,,,,5.0,10.0,D
,,,,,6.0,8.0,,,6.0,5.0,,,,,,R
,,,,,,,,,,13.0,,1.0,,,,Y
1.0,,2.0,,,,10.0,,,7.0,12.0,,,11.0,,8.0,Y
,7.0,,,,7.0,10.0,,,,,,0.0,,,8.0,P
3.0,,,,2.0,6.0,,5.0,,,,9.0,,,1.0,,U
,8.0,7.0,,,7.0,,,,,9.0,,,,,,Q
,4.0,5.0,,,,,,,,,,,,,,V
,9.0,,,,,,6.0,,,,,,,,,Z
,7.0,,,,,,,,,,10.0,3.0,,1.0,,U
,,,,,,,,,,,,6.0,8.0,,8.0,K
,,,4.0,,,,,,,,,,,,10.0,G
,,,6.0,,,,,,8.0,,,,,,,Z
4.0,6.0,,4.0,4.0,,,,,,,,,,,,D
,12.0,,,,,2.0,,,,,,,,1.0,8.0,M
,,,,,,,5.0,,,,,,,,,W
3.0,,5.0,3.0,4.0,,,,,,,,,,,,M
,,,,,,,3.0,,5.0,,,3.0,,,,X
