COMPACTNESS,CIRCULARITY,DISTANCE_CIRCULARITY,RADIUS_RATIO,PR_AXIS_ASPECT_RATIO,MAX_LENGTH_ASPECT_RATIO,SCATTER_RATIO,ELONGATEDNESS,PR_AXIS_RECTANGULARITY,MAX_LENGTH_RECTANGULARITY,SCALED_VARIANCE_MAJOR,SCALED_VARIANCE_MINOR,SCALED_RADIUS_OF_GYRATION,SKEWNESS_ABOUT_MAJOR,SKEWNESS_ABOUT_MINOR,KURTOSIS_ABOUT_MAJOR,KURTOSIS_ABOUT_MINOR,HOLLOWS_RATIO,class
,45.0,86.0,,69.0,7.0,184.0,,22.0,145.0,203.0,,,72.0,0.0,4.0,194.0,,bus
,,,143.0,,,,,,,,,,76.0,18.0,,184.0,,opel
,43.0,,,,8.0,149.0,,19.0,146.0,169.0,323.0,172.0,83.0,6.0,18.0,,184.0,bus
98.0,55.0,101.0,219.0,,11.0,,30.0,,178.0,,748.0,216.0,74.0,,,187.0,,opel
,,78.0,164.0,68.0,9.0,,46.0,18.0,147.0,168.0,,171.0,,1.0,11.0,190.0,201.0,van
98.0,49.0,84.0,,74.0,7.0,,,22.0,154.0,208.0,558.0,,,,7.0,195.0,195.0,bus
,55.0,,161.0,54.0,,215.0,,,,226.0,683.0,221.0,76.0,3.0,6.0,185.0,193.0,opel
97.0,,108.0,227.0,70.0,,224.0,30.0,25.0,186.0,225.0,732.0,218.0,70.0,10.0,,,,opel
92.0,39.0,91.0,,62.0,8.0,176.0,37.0,21.0,,,,151.0,,,23.0,192.0,200.0,opel
73.0,,53.0,111.0,54.0,,126.0,55.0,18.0,128.0,,,,82.0,,15.0,176.0,,opel
,42.0,89.0,,,11.0,,,,,170.0,338.0,163.0,72.0,11.0,,187.0,199.0,van
,53.0,103.0,203.0,63.0,9.0,195.0,34.0,22.0,162.0,210.0,,210.0,68.0,,,191.0,198.0,opel
,39.0,83.0,,,,172.0,38.0,21.0,134.0,,,152.0,,0.0,10.0,188.0,194.0,saab
86.0,,,,62.0,,,45.0,19.0,,165.0,330.0,173.0,,,3.0,180.0,,saab
104.0,52.0,94.0,208.0,66.0,,,31.0,24.0,161.0,227.0,,,,,4.0,193.0,191.0,bus
,,68.0,113.0,,7.0,150.0,,19.0,147.0,171.0,,,,,5.0,179.0,182.0,bus
,,,159.0,66.0,,151.0,44.0,19.0,146.0,,,189.0,73.0,,0.0,186.0,190.0,bus
,,,,65.0,,,31.0,,,,671.0,214.0,,5.0,,191.0,,bus
,36.0,68.0,127.0,54.0,7.0,127.0,52.0,18.0,,155.0,242.0,116.0,66.0,1.0,,195.0,,van
,40.0,80.0,133.0,55.0,,147.0,47.0,,,172.0,,144.0,76.0,,,181.0,193.0,opel
89.0,,,188.0,,7.0,150.0,,,136.0,174.0,,,,3.0,8.0,193.0,,bus
110.0,58.0,,180.0,51.0,,261.0,,28.0,171.0,,998.0,257.0,,,13.0,,182.0,bus
89.0,41.0,,141.0,58.0,9.0,149.0,45.0,19.0,145.0,,330.0,,72.0,4.0,18.0,188.0,200.0,van
86.0,37.0,,115.0,,,119.0,,,132.0,141.0,209.0,129.0,72.0,2.0,8.0,186.0,190.0,van
,42.0,84.0,,75.0,,171.0,,20.0,138.0,189.0,446.0,,,3.0,12.0,,201.0,bus
,37.0,,116.0,55.0,6.0,125.0,54.0,18.0,125.0,142.0,229.0,,,8.0,,,184.0,opel
104.0,,,222.0,,11.0,218.0,31.0,,,232.0,,,71.0,,,188.0,,saab
94.0,,84.0,,,9.0,169.0,,20.0,130.0,,430.0,155.0,,9.0,15.0,,,opel
104.0,52.0,100.0,191.0,59.0,9.0,197.0,33.0,23.0,,218.0,583.0,,,,,191.0,198.0,saab
94.0,48.0,87.0,162.0,64.0,10.0,,,,161.0,179.0,,186.0,,4.0,15.0,184.0,195.0,van
,45.0,,154.0,65.0,6.0,,46.0,19.0,,168.0,312.0,177.0,,,,184.0,,bus
97.0,,108.0,,65.0,10.0,214.0,31.0,24.0,156.0,232.0,683.0,218.0,,7.0,29.0,188.0,,opel
,42.0,,,,,144.0,,19.0,139.0,166.0,,170.0,74.0,17.0,,,189.0,saab
,,68.0,152.0,62.0,7.0,150.0,44.0,,142.0,179.0,,164.0,75.0,4.0,,,192.0,bus
95.0,46.0,105.0,,,,201.0,33.0,23.0,,,,201.0,,5.0,,191.0,,opel
87.0,44.0,65.0,124.0,,6.0,,46.0,,144.0,170.0,,,87.0,4.0,,179.0,,bus
82.0,45.0,66.0,252.0,,52.0,148.0,,19.0,,237.0,,185.0,,,1.0,181.0,185.0,bus
,42.0,85.0,,66.0,9.0,,,,,168.0,,150.0,65.0,,5.0,196.0,204.0,van
94.0,,68.0,150.0,64.0,,128.0,,,143.0,154.0,246.0,159.0,69.0,,,192.0,196.0,van
92.0,,60.0,,62.0,5.0,114.0,58.0,17.0,,135.0,194.0,,72.0,,,190.0,,van
102.0,45.0,83.0,198.0,65.0,5.0,194.0,33.0,,,225.0,576.0,,79.0,0.0,27.0,193.0,,bus
108.0,53.0,103.0,,64.0,10.0,,,25.0,168.0,,711.0,214.0,73.0,,,188.0,199.0,saab
99.0,,,209.0,64.0,,197.0,34.0,,152.0,,575.0,159.0,,,33.0,194.0,205.0,opel
,39.0,,,,8.0,,,19.0,134.0,176.0,,133.0,,0.0,,184.0,193.0,opel
,44.0,68.0,,,,,45.0,,145.0,170.0,329.0,,80.0,,12.0,,185.0,bus
99.0,48.0,,199.0,,6.0,185.0,,22.0,153.0,202.0,,,74.0,5.0,8.0,195.0,195.0,bus
,40.0,,159.0,,9.0,,46.0,,141.0,168.0,314.0,143.0,,0.0,5.0,190.0,,van
,,,162.0,,10.0,,43.0,19.0,153.0,177.0,,187.0,,4.0,14.0,185.0,196.0,van
77.0,38.0,,144.0,59.0,,147.0,,19.0,132.0,,,136.0,80.0,,20.0,,,opel
88.0,35.0,50.0,,58.0,,,59.0,,,,192.0,138.0,74.0,21.0,4.0,182.0,187.0,opel
,,85.0,,,,155.0,,,153.0,,,,75.0,12.0,,,196.0,van
95.0,47.0,,,,11.0,,43.0,20.0,157.0,176.0,371.0,,71.0,12.0,,,198.0,van
,,100.0,209.0,,,201.0,32.0,23.0,147.0,,611.0,,,5.0,,,,opel
109.0,53.0,,221.0,,12.0,221.0,31.0,,,,,,,,28.0,188.0,201.0,saab
85.0,,64.0,128.0,56.0,8.0,150.0,46.0,,144.0,,324.0,173.0,,9.0,,180.0,,bus
93.0,,79.0,180.0,,7.0,173.0,37.0,21.0,158.0,189.0,,194.0,70.0,5.0,,197.0,202.0,bus
,37.0,,119.0,53.0,5.0,134.0,50.0,18.0,,151.0,,,79.0,16.0,14.0,184.0,185.0,saab
90.0,,78.0,142.0,59.0,11.0,160.0,,,160.0,173.0,,,,10.0,11.0,183.0,192.0,van
92.0,40.0,,163.0,63.0,9.0,146.0,45.0,19.0,140.0,165.0,319.0,,64.0,,0.0,,206.0,van
,36.0,57.0,,,,121.0,,,,,,132.0,68.0,22.0,,190.0,195.0,saab
,45.0,71.0,,63.0,,,46.0,19.0,,171.0,,,72.0,2.0,3.0,,,van
90.0,46.0,,,62.0,11.0,159.0,43.0,,,169.0,,186.0,,17.0,,,,van
,42.0,,148.0,,7.0,,,19.0,143.0,,,153.0,,,,,189.0,bus
85.0,,,155.0,,,149.0,45.0,19.0,,,330.0,155.0,,6.0,,,,bus
,45.0,88.0,173.0,,10.0,,,20.0,157.0,173.0,365.0,157.0,67.0,8.0,,192.0,200.0,van
,48.0,95.0,209.0,,,199.0,32.0,23.0,150.0,216.0,605.0,200.0,,7.0,11.0,,194.0,bus
100.0,46.0,104.0,184.0,60.0,,,34.0,,147.0,,578.0,198.0,73.0,,,189.0,,saab
86.0,36.0,,,,,,,19.0,,,331.0,,66.0,,32.0,196.0,203.0,saab
,42.0,101.0,,59.0,9.0,186.0,36.0,,138.0,,511.0,,,7.0,41.0,,,saab
,,,121.0,49.0,7.0,134.0,51.0,,,,261.0,134.0,,,1.0,,,van
102.0,54.0,100.0,163.0,,10.0,,,,173.0,219.0,669.0,201.0,,12.0,27.0,187.0,195.0,opel
89.0,47.0,,,133.0,48.0,,,20.0,163.0,229.0,,,,0.0,,184.0,194.0,van
,,75.0,136.0,58.0,,,43.0,20.0,,,371.0,,75.0,,1.0,183.0,192.0,van
87.0,42.0,,150.0,64.0,,,50.0,,142.0,,,,,7.0,,,,van
,37.0,63.0,,,5.0,125.0,,18.0,130.0,141.0,,145.0,,14.0,20.0,184.0,188.0,saab
,42.0,80.0,,,8.0,148.0,44.0,,145.0,171.0,,147.0,70.0,,5.0,,199.0,van
90.0,37.0,80.0,171.0,58.0,9.0,157.0,,20.0,,,,,60.0,3.0,,201.0,209.0,saab
,,,125.0,55.0,8.0,149.0,,19.0,145.0,,,,86.0,7.0,,179.0,182.0,bus
,49.0,107.0,,57.0,11.0,214.0,,,,224.0,670.0,,67.0,0.0,39.0,192.0,206.0,opel
,43.0,,120.0,54.0,,150.0,,,,171.0,329.0,176.0,,,,,183.0,bus
95.0,,80.0,186.0,,7.0,164.0,40.0,,,188.0,406.0,,65.0,,,199.0,,opel
,54.0,107.0,,64.0,12.0,,30.0,25.0,,,,199.0,67.0,,18.0,,200.0,opel
,46.0,85.0,164.0,,11.0,163.0,,,163.0,176.0,,,,,,,,van
91.0,,76.0,171.0,,7.0,,,,,,332.0,144.0,68.0,,,,200.0,bus
90.0,43.0,72.0,172.0,59.0,8.0,154.0,,19.0,144.0,174.0,,,,,9.0,,,saab
93.0,36.0,,,69.0,8.0,136.0,,,136.0,161.0,279.0,,67.0,,29.0,,,van
104.0,,96.0,211.0,65.0,10.0,187.0,,,156.0,207.0,527.0,195.0,,,7.0,195.0,206.0,saab
94.0,44.0,,,74.0,6.0,184.0,35.0,22.0,145.0,208.0,525.0,154.0,73.0,4.0,,,,bus
,35.0,72.0,,62.0,7.0,,44.0,,124.0,,,125.0,62.0,5.0,,203.0,,opel
,49.0,,,,,,32.0,,158.0,224.0,,184.0,,,,190.0,202.0,saab
89.0,40.0,,154.0,64.0,9.0,144.0,46.0,,139.0,168.0,,,71.0,8.0,7.0,188.0,197.0,van
110.0,56.0,103.0,,,5.0,250.0,26.0,27.0,169.0,280.0,928.0,239.0,85.0,,6.0,,,bus
85.0,,78.0,149.0,,,,45.0,19.0,128.0,,,134.0,64.0,10.0,24.0,197.0,203.0,opel
93.0,42.0,,,56.0,7.0,,53.0,,145.0,156.0,240.0,152.0,74.0,5.0,4.0,189.0,,van
87.0,,74.0,152.0,58.0,,151.0,,,,174.0,337.0,,70.0,1.0,,,196.0,saab
,45.0,,154.0,57.0,,,44.0,19.0,,,,,66.0,16.0,2.0,193.0,198.0,opel
,,53.0,125.0,59.0,5.0,133.0,51.0,,,152.0,259.0,,87.0,,0.0,,183.0,opel
107.0,52.0,101.0,,64.0,11.0,202.0,33.0,23.0,164.0,219.0,610.0,,,,,197.0,,opel
98.0,39.0,81.0,,64.0,9.0,166.0,,20.0,138.0,184.0,415.0,,62.0,8.0,19.0,,,saab
85.0,40.0,,139.0,59.0,5.0,132.0,50.0,18.0,135.0,159.0,,150.0,,3.0,,191.0,,saab
,,,,59.0,10.0,,32.0,,172.0,,,,,,26.0,186.0,195.0,opel
,54.0,91.0,179.0,,11.0,,31.0,25.0,,,,,72.0,,,,198.0,opel
92.0,36.0,78.0,165.0,57.0,8.0,,,19.0,128.0,169.0,,124.0,60.0,4.0,,203.0,211.0,saab
110.0,,104.0,191.0,57.0,,213.0,31.0,24.0,,,,,,18.0,,,199.0,saab
82.0,45.0,68.0,139.0,64.0,,147.0,46.0,,143.0,169.0,,184.0,80.0,,,,,bus
,38.0,70.0,125.0,52.0,,130.0,53.0,18.0,139.0,157.0,243.0,132.0,74.0,0.0,,,185.0,van
,,,197.0,60.0,11.0,211.0,31.0,,160.0,222.0,661.0,,,7.0,3.0,190.0,,opel
106.0,,,,,4.0,247.0,27.0,27.0,166.0,,892.0,242.0,85.0,4.0,,,,bus
94.0,,81.0,166.0,,9.0,145.0,,,,164.0,,,,11.0,14.0,,202.0,van
96.0,,98.0,187.0,,6.0,,31.0,24.0,,228.0,680.0,210.0,77.0,8.0,28.0,188.0,189.0,bus
93.0,,84.0,150.0,63.0,,,,20.0,165.0,171.0,354.0,188.0,73.0,,15.0,,,van
88.0,40.0,,,73.0,,158.0,,20.0,,,379.0,,,,,193.0,197.0,bus
,39.0,,180.0,,7.0,177.0,37.0,,,209.0,469.0,145.0,,,,190.0,198.0,opel
89.0,44.0,72.0,160.0,66.0,,,46.0,19.0,147.0,166.0,312.0,,69.0,11.0,1.0,,,bus
,37.0,,,68.0,7.0,151.0,43.0,19.0,131.0,,347.0,135.0,68.0,1.0,,196.0,,bus
89.0,,,137.0,,6.0,136.0,,18.0,146.0,168.0,273.0,166.0,78.0,,3.0,186.0,187.0,van
102.0,,,221.0,,,,,24.0,164.0,,,238.0,71.0,0.0,,,200.0,saab
,,,116.0,56.0,,,55.0,,,141.0,221.0,121.0,78.0,,16.0,,185.0,opel
91.0,42.0,,169.0,,7.0,145.0,44.0,19.0,140.0,,325.0,159.0,67.0,4.0,,201.0,207.0,bus
,35.0,,,57.0,4.0,,59.0,17.0,123.0,135.0,196.0,,76.0,10.0,27.0,183.0,190.0,saab
103.0,46.0,,209.0,,,,33.0,23.0,,217.0,,210.0,70.0,,10.0,,199.0,saab
,41.0,75.0,,71.0,,,,,,204.0,,151.0,72.0,,,197.0,197.0,bus
91.0,42.0,81.0,193.0,69.0,5.0,,,20.0,,,434.0,156.0,68.0,3.0,,198.0,,bus
98.0,,,,60.0,,,42.0,,148.0,184.0,,,,,10.0,190.0,196.0,opel
101.0,51.0,105.0,,68.0,,209.0,,,,222.0,653.0,224.0,73.0,,,,195.0,opel
90.0,,,,64.0,8.0,157.0,,,126.0,,367.0,142.0,,,20.0,192.0,,opel
97.0,48.0,,,,9.0,181.0,36.0,,155.0,,,189.0,,,11.0,199.0,203.0,opel
,40.0,,162.0,68.0,,,,,139.0,167.0,,157.0,,0.0,,,199.0,van
93.0,,76.0,149.0,57.0,7.0,,,,,172.0,,,,14.0,,,194.0,saab
107.0,,98.0,,,7.0,240.0,27.0,26.0,168.0,258.0,866.0,245.0,,3.0,1.0,186.0,184.0,bus
,37.0,,167.0,60.0,7.0,158.0,,20.0,131.0,,373.0,144.0,68.0,9.0,,,196.0,saab
86.0,43.0,66.0,130.0,,,,,,142.0,,,,81.0,,14.0,,185.0,bus
107.0,56.0,104.0,,71.0,,,,25.0,172.0,226.0,,,71.0,19.0,,,,saab
,44.0,72.0,,64.0,,154.0,44.0,19.0,,181.0,,,,0.0,,,,bus
81.0,46.0,,130.0,,,,,19.0,149.0,,342.0,,81.0,,14.0,,186.0,bus
82.0,44.0,,,61.0,,,,19.0,,173.0,,183.0,81.0,,17.0,,185.0,bus
,,85.0,,,11.0,156.0,44.0,20.0,,172.0,355.0,,,7.0,15.0,,195.0,van
90.0,36.0,74.0,171.0,,8.0,157.0,42.0,19.0,128.0,177.0,367.0,123.0,61.0,6.0,21.0,197.0,,saab
111.0,54.0,103.0,171.0,50.0,,,30.0,25.0,,227.0,727.0,201.0,69.0,15.0,6.0,,198.0,opel
103.0,55.0,100.0,194.0,,,212.0,31.0,24.0,175.0,,666.0,219.0,73.0,10.0,14.0,187.0,194.0,opel
,40.0,,137.0,58.0,,122.0,54.0,,,146.0,225.0,150.0,63.0,7.0,4.0,199.0,206.0,van
87.0,,81.0,,,9.0,,45.0,19.0,,171.0,325.0,,,,6.0,,,van
92.0,46.0,79.0,,,,162.0,,,,183.0,396.0,178.0,,2.0,10.0,191.0,198.0,opel
,42.0,,121.0,,7.0,149.0,46.0,19.0,,,,,85.0,1.0,6.0,,182.0,bus
86.0,46.0,70.0,149.0,65.0,8.0,,45.0,,146.0,,,,,6.0,,,,bus
101.0,56.0,100.0,,,,214.0,31.0,,175.0,219.0,681.0,,74.0,,3.0,,,opel
94.0,,89.0,194.0,62.0,9.0,,38.0,21.0,,191.0,,121.0,63.0,4.0,,,,opel
,,69.0,150.0,63.0,8.0,138.0,48.0,18.0,134.0,163.0,284.0,124.0,71.0,,6.0,,195.0,van
90.0,,71.0,169.0,68.0,7.0,150.0,44.0,19.0,138.0,175.0,336.0,157.0,71.0,,18.0,192.0,,bus
104.0,49.0,,168.0,54.0,4.0,212.0,31.0,24.0,153.0,238.0,,,78.0,,23.0,190.0,189.0,bus
89.0,,,141.0,,7.0,138.0,,18.0,,,286.0,130.0,,,1.0,,,opel
,,,,,,162.0,41.0,20.0,,,388.0,,74.0,,22.0,185.0,,opel
,44.0,77.0,,59.0,,152.0,44.0,,,175.0,,,,8.0,2.0,,187.0,saab
104.0,57.0,,216.0,69.0,11.0,219.0,,,176.0,228.0,708.0,219.0,,4.0,3.0,186.0,196.0,opel
83.0,44.0,,,61.0,8.0,,,19.0,143.0,170.0,325.0,180.0,74.0,,,185.0,191.0,bus
85.0,39.0,57.0,,56.0,,114.0,,,135.0,134.0,195.0,145.0,,,,197.0,202.0,van
99.0,,,206.0,62.0,13.0,222.0,,,,,722.0,213.0,71.0,2.0,,,,opel
88.0,44.0,,139.0,56.0,11.0,157.0,,20.0,155.0,176.0,363.0,175.0,,5.0,,,195.0,van
100.0,50.0,81.0,,,,,34.0,22.0,,206.0,531.0,,74.0,,,,,bus
,44.0,,,60.0,,153.0,,19.0,146.0,180.0,,,81.0,1.0,15.0,182.0,,bus
86.0,41.0,66.0,,56.0,,136.0,49.0,,136.0,155.0,,162.0,,5.0,,183.0,189.0,saab
,41.0,79.0,159.0,63.0,8.0,,46.0,,150.0,165.0,309.0,,67.0,4.0,9.0,195.0,203.0,van
107.0,54.0,,210.0,66.0,,218.0,31.0,24.0,169.0,,704.0,216.0,,,0.0,188.0,,saab
94.0,35.0,,,62.0,9.0,,50.0,18.0,,159.0,258.0,115.0,,,,,201.0,van
,,106.0,,68.0,10.0,,,24.0,166.0,217.0,640.0,218.0,69.0,,,,199.0,saab
86.0,41.0,,148.0,,5.0,,45.0,19.0,138.0,165.0,333.0,173.0,,5.0,,,,saab
,35.0,47.0,110.0,,3.0,,57.0,17.0,,136.0,,,,,,180.0,184.0,van
85.0,33.0,40.0,,57.0,3.0,,,,119.0,,184.0,,86.0,12.0,,181.0,183.0,saab
81.0,,68.0,,,6.0,151.0,45.0,19.0,147.0,170.0,,178.0,,,,,183.0,bus
,,,189.0,59.0,10.0,,32.0,24.0,163.0,220.0,642.0,,70.0,,22.0,187.0,198.0,saab
93.0,42.0,,,68.0,9.0,,49.0,18.0,142.0,,,170.0,71.0,7.0,13.0,,,van
90.0,48.0,,134.0,56.0,,160.0,43.0,,167.0,169.0,366.0,185.0,,1.0,14.0,182.0,,van
96.0,37.0,74.0,199.0,74.0,,165.0,,,,188.0,419.0,,72.0,1.0,3.0,196.0,200.0,bus
,45.0,,128.0,56.0,8.0,151.0,45.0,,,170.0,332.0,,81.0,1.0,10.0,179.0,184.0,bus
,,101.0,,57.0,,222.0,30.0,25.0,,225.0,731.0,211.0,71.0,,,188.0,197.0,opel
79.0,47.0,,,61.0,7.0,153.0,,,149.0,175.0,,,,6.0,10.0,,,bus
89.0,,,172.0,62.0,8.0,157.0,42.0,19.0,125.0,,367.0,126.0,63.0,5.0,22.0,,,opel
,45.0,73.0,164.0,59.0,7.0,159.0,,,146.0,182.0,379.0,,65.0,,15.0,195.0,201.0,opel
85.0,42.0,,132.0,58.0,7.0,,,,,,320.0,172.0,83.0,8.0,,,182.0,bus
101.0,,,228.0,,12.0,,31.0,24.0,168.0,,684.0,,,2.0,,188.0,199.0,saab
,,75.0,121.0,53.0,,157.0,44.0,,165.0,168.0,358.0,176.0,,1.0,,,191.0,van
,41.0,,,51.0,,140.0,,,,164.0,284.0,,77.0,,15.0,184.0,185.0,van
95.0,,,191.0,73.0,,156.0,41.0,,,184.0,374.0,124.0,,2.0,,199.0,,bus
91.0,,,,59.0,7.0,169.0,39.0,,,190.0,426.0,142.0,67.0,0.0,,,,saab
,55.0,,211.0,,,212.0,,,,229.0,673.0,,72.0,,16.0,188.0,,opel
,,53.0,127.0,,6.0,116.0,,,,137.0,,,70.0,,20.0,185.0,,saab
95.0,38.0,,126.0,52.0,8.0,133.0,,18.0,140.0,,,140.0,78.0,11.0,,184.0,183.0,van
