loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,lOCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,class
,,,,,141.78,,,,850.66,,47.26,8.0,,,,,,,24.0,1.0,no
,,,,58.0,265.93,,,,,,,,,,,,9.0,22.0,,,no
23.0,,,2.0,84.0,,,,,,,,,,,,,,,,,no
,2.0,,,,,,10.15,,,,,,,,,11.0,26.0,,,,no
,,,1.0,,6.34,,,,,,0.26,,0.0,,0.0,3.0,,,,,no
7.0,,,1.0,,,0.12,,,,,30.86,,,,,,,,,,no
,,,1.0,,,0.91,,,,0.02,4.16,,,0.0,,,,,,1.0,no
,,1.0,,,,,1.5,,,,0.67,,,,,,,,1.0,,no
,,1.0,,,,,,,31.02,0.01,,,,,,,,4.0,,,no
5.0,1.0,,,,,,1.5,5.33,,,,,,1.0,,,,,,,no
,,,,,,,,,,,,12.0,,,,,,,,,no
,,,,,11.61,,,7.74,17.41,,0.97,,,,,,,,,,no
,3.0,,2.0,,,,,,31145.55,,1730.31,,,13.0,,,,105.0,57.0,,no
,,1.0,,,,,,,39.3,,2.18,,,,,,,,,,no
,,,1.0,5.0,,,,,0.0,0.0,,,,1.0,,5.0,,5.0,,,no
78.0,6.0,,,302.0,,,,65.26,,,,,,,,,,,,,no
,1.0,,,,,,,,,,,1.0,,,,,,,0.0,,no
,,,,,,,,,630.5,,,,,,,,5.0,,,,no
,4.0,,,,,,,,,0.12,,30.0,,5.0,,,,,,,no
30.0,,,,,,,,,,,,,,5.0,,,,44.0,,,no
,,,1.0,4.0,,,,,12.0,0.0,,2.0,0.0,,,3.0,,3.0,,,no
,,,,,,,,,28525.28,,1584.74,,,,,,47.0,,,,no
,,,2.0,,,,,,,,,,,,,,,,9.0,,no
,,,,,,0.09,11.61,,,0.17,,,,,,11.0,18.0,,38.0,,no
,,,,,564.78,,,,8769.75,0.19,,,,,,,,,,,no
,6.0,,,,,0.08,,,,0.1,,,,,,,,40.0,,11.0,no
,1.0,,,,,,0.0,,,,,,,,0.0,,,1.0,0.0,1.0,no
,,1.0,,,,,,,4275.3,,,,,,,,,94.0,,,no
,5.0,,,,863.38,,18.25,,,,,,,14.0,,,,,,,no
,,1.0,,,8.0,,,,,,,,,,0.0,,,,,,no
,1.0,,1.0,,,,,,90.0,0.01,,,,0.0,,,5.0,,,,no
8.0,,,,,,,,,,,0.0,,,,,,,,6.0,1.0,no
,,,,11.0,,,,12.45,97.63,,,,,,0.0,,,10.0,13.0,,no
4.0,,,,,,0.92,,,,0.03,,,,,0.0,,,,,,no
45.0,,,4.0,,,0.07,,,,0.21,,,,,,,,,,,no
4.0,1.0,1.0,,,,,2.5,,,,,,0.0,0.0,,,1.0,,,,no
,1.0,1.0,,4.0,8.0,,1.5,5.33,,,,2.0,,,,,,,,,no
,6.0,,5.0,50.0,,,,,1584.71,,,,,,,,,,,,no
,,,,,,,,5.33,,,,,,0.0,0.0,,,,,,no
,,,,,,0.67,,,,,,2.0,,,,3.0,,,,,no
,1.0,,,,,,,,,,,,,,,,,,,,no
6.0,,,,,,,1.5,,,,,,0.0,1.0,,,,,2.0,,no
,,,,,179.85,,4.36,,,,43.6,,,0.0,,,11.0,,16.0,,no
,1.0,,,,,,,,,,,,,,,,,,,,no
,,,,,,0.67,,,,0.0,,,,,,,,,1.0,,no
,,,,5.0,,0.67,1.5,,,,,,,,0.0,3.0,2.0,,,,no
,,,,,15.51,,,,,,,,,,0.0,,,,,,no
,,4.0,,,,,,,,1.15,3663.49,,,,,,91.0,,,,no
,,,,,,,,7.74,,,,2.0,,0.0,,3.0,,,,,no
,1.0,,,10.0,30.0,,,,,,5.56,,,,0.0,,3.0,6.0,,,no
,1.0,,,,,,,,17.41,,,2.0,,,,,,,2.0,,no
,1.0,,,,,,,,,,,,,,,,,,,,no
,,1.0,,10.0,30.0,,3.33,9.0,,,,,,,,,,,,1.0,no
,1.0,,,,,,,,,,5.56,,,1.0,,5.0,3.0,,,,no
20.0,,,,33.0,,,,,,,,,,,,9.0,,21.0,,3.0,no
7.0,,,,,,,,,100.0,0.01,5.56,,,,,,3.0,6.0,,1.0,no
8.0,,,,10.0,,,3.33,,,,,,0.0,,,,,,,,no
8.0,,,,,,,,,100.0,,,,,,,,,,,,no
,,1.0,,,,0.3,,,,0.01,,,,2.0,0.0,,,,,,no
,,1.0,,10.0,,,,,,,,4.0,0.0,,,,,,4.0,1.0,no
,,,1.0,,,0.67,,,,,,,,,0.0,,,,,,no
,,,1.0,,,,,7.74,,,,,,,,,,3.0,,,no
,,,,,,,,,,0.01,,,,,,,,,,,no
,,,,10.0,,,,,,0.01,5.56,4.0,0.0,,0.0,,3.0,,4.0,,no
4.0,,,,,,,,,,,,,,,,,,,,1.0,no
,,,,181.0,,,,,,0.33,1188.42,59.0,,19.0,,17.0,,,,,no
,,,,,,,,,,,,,,2.0,0.0,,,,,,no
,,1.0,,136.0,,0.06,,,,0.25,727.21,,,,,,,,56.0,,no
,,,,,,,,28.4,,,,,,,0.0,11.0,,43.0,,9.0,no
,,,,,,,,,,,5.26,,,,0.0,,,,,,no
,1.0,,,,,0.0,0.0,,0.0,,,,,0.0,,,0.0,,0.0,,no
5.0,1.0,,,,,,,,,,,,0.0,,,,,,,,no
,,,,,,,1.5,,,,,,,,,,1.0,,,,no
,1.0,,1.0,,8.0,,,,,,,,,0.0,,3.0,,,1.0,,no
4.0,,,,,,,,,12.0,0.0,0.67,,,,,,,3.0,1.0,,no
,,,,59.0,,,,,,,,,1.0,,,,,40.0,,,no
,1.0,,,5.0,,,,,17.41,,,,,0.0,0.0,,,3.0,,,no
,1.0,1.0,,,,0.4,,6.2,,,2.15,2.0,,,,,,,1.0,,no
,,,,,,,,,,,,,,,,,,36.0,,7.0,no
,,,,,,,,,,0.0,,,,,,,,,,1.0,no
,,,2.0,,,,,,365.67,,,,0.0,,,,4.0,,,3.0,no
,,,,,,0.67,,,17.41,,,2.0,,,,,,3.0,,,no
,,,,5.0,,,,,,,0.0,2.0,,,,,,,,1.0,no
,,1.0,,,523.19,,,,,0.17,414.19,,,,,,,,,,no
56.0,,,,101.0,,,,,7504.68,,,,3.0,,,,19.0,,,7.0,no
21.0,2.0,,,,152.93,,,17.84,,0.05,,16.0,,,,,7.0,,,3.0,no
,,,,,,0.14,,,,,53.53,,1.0,,,10.0,,,10.0,,no
,,,3.0,,,,,,,,,,,,,,,33.0,,5.0,no
,,4.0,,59.0,,,,20.5,,,203.41,19.0,,,0.0,,23.0,,,,no
,,,,,,0.06,17.04,,,,,,,7.0,0.0,14.0,,38.0,,,no
,,,,,,,,25.36,,0.15,,,,,,,,55.0,,,no
,,1.0,,,722.57,0.06,,,,,,,,2.0,,,,,,,no
,,,,,,,,,16.64,,,,,,,,,,,,no
,,,,,16.0,,,,,0.01,1.04,,,0.0,,,,1.0,7.0,1.0,no
,,,1.0,10.0,,,,12.92,,,,,,0.0,,,2.0,1.0,,,no
,,1.0,,84.0,,,,,,,,,10.0,5.0,,,,,32.0,5.0,no
,,1.0,4.0,,,,,,,,,,,4.0,,,,,,,no
,1.0,,,,,0.67,,5.33,,,,,,,,,,3.0,,,no
,,,,,8.0,,,,12.0,,,,,0.0,,,,,,,no
,,,,,,,,,0.0,,,2.0,0.0,,,,,6.0,,1.0,no
,,1.0,1.0,,,,,,12.0,,,,,,0.0,,1.0,,,1.0,no
,,1.0,,,,,,,,,,,0.0,,,,,,,,no
,,,1.0,,,,,5.33,,,,,,0.0,,,1.0,3.0,,1.0,no
,,,,,,0.33,,,,,,,,,,,,6.0,,,no
,,1.0,,,,,,,,,,,,,,,6.0,,,,no
,,,,385.0,,0.03,,68.85,,,,119.0,,,,,,,44.0,,no
,,,2.0,69.0,,0.1,,,3329.79,,184.99,,,,,,,,,,no
,,1.0,,,,,,,,,,,,,,,,,,,no
,,,,,,,,,,,,,0.0,,,,,,0.0,1.0,no
97.0,,,8.0,,,,,,,,1497.88,72.0,,,,14.0,,,,,no
,,,2.0,,,0.17,,,468.83,,,8.0,,,,,,12.0,,,no
,,,,,,0.14,7.0,,,,,,,0.0,,,4.0,,7.0,3.0,no
7.0,,,,,,,,,,,5.08,3.0,,,1.0,,,,,,no
,3.0,,,,,,,,,0.12,,,,,,,,,28.0,,no
,,,,49.0,,,,,,,,,,,,,,,,,no
,5.0,1.0,,,311.78,,,,,0.1,,,,,0.0,,,,25.0,9.0,no
8.0,1.0,1.0,,,,,,,,,,2.0,,,,,9.0,,,,no
,,,,,,,6.5,,,,,4.0,,0.0,,,,,,1.0,no
,,,,,,0.12,,,1800.08,,,,,,,,,,,,no
,,,,49.0,,,,,,,,,0.0,1.0,1.0,,,,17.0,,no
,,,4.0,,,,,,,,,,,,,,,,,7.0,no
,4.0,1.0,,,,,9.33,,,,,,,0.0,0.0,7.0,,,,,no
,,,,,,0.43,,,116.27,,,,,,,,6.0,8.0,,,no
,,,,,,,2.33,,,,,,0.0,,,,,,,,no
,1.0,,,,,,,,,,,4.0,,,,4.0,,,,,no
,,,,,,,,,116.27,,6.46,,,,,4.0,,,,,no
,,1.0,,15.0,,,,,,,,,,,,,,,,,no
,,,,,,,2.33,,116.27,,,,,0.0,,,,8.0,7.0,,no
,,,,,,,2.33,,,0.02,,4.0,,,,,,,7.0,,no
,,,,,,,,,,0.02,,,0.0,,,,,,,,no
41.0,,7.0,,,,,,,,,,,,,,,16.0,,38.0,,no
,,3.0,,141.0,,,,,,,985.52,49.0,,,,,,,55.0,,no
60.0,,,,,986.18,,,,23503.86,,,,,,,,,,,,no
,12.0,9.0,,187.0,,0.07,13.57,73.85,,0.33,,,,,0.0,,,,74.0,,no
,,,,,,0.67,,,12.0,,,,,,0.0,,,,,,no
33.0,,,,,,,,,7536.98,0.14,,26.0,,,,,14.0,52.0,,,no
58.0,13.0,,,,,,,,,0.29,,,10.0,,2.0,,,,,,no
,3.0,,,35.0,,,,13.27,,,,,,,,,,,,5.0,no
,,,,,77.71,,,,,,,,,,,6.0,,,,,no
,,1.0,,42.0,,,7.5,,,,,,,,,,,,,3.0,no
,5.0,,2.0,,,,,,,,146.56,,,,,11.0,,,21.0,,no
,,,,,,0.13,,,,,,,,,,10.0,,,,,no
16.0,,3.0,,49.0,,,,,,0.08,112.82,,,,,,,28.0,21.0,7.0,no
6.0,,,,14.0,,,,,121.08,0.02,,,,0.0,,,6.0,,6.0,,no
,,,3.0,,,,,,,,,,2.0,2.0,0.0,9.0,,48.0,,,no
4.0,1.0,,,,,,,5.33,12.0,,,,,0.0,,,,,,,no
,1.0,,,,8.0,,1.5,,,,0.67,,,0.0,,,1.0,,,1.0,no
,,,,,,,,5.33,12.0,,,,,0.0,,,,,,,no
,,,1.0,4.0,,,,,,,,,,0.0,,3.0,,,,,no
,,,1.0,,,,,,,,0.0,,0.0,,0.0,,,,0.0,1.0,no
,,1.0,,,8.0,,1.5,,,,,,,,,,,,,,no
,,1.0,,,,0.67,,,,,0.67,,,,,,,,,,no
,,1.0,1.0,,8.0,,1.5,5.33,,,0.67,2.0,,,,3.0,,,1.0,,no
4.0,,,,4.0,,,,,,,,,0.0,,,,1.0,3.0,,1.0,no
,,,,4.0,,,,,,0.0,,,,,0.0,,,,,,no
,,1.0,,,,0.67,,,,,,2.0,0.0,,,3.0,1.0,,1.0,,no
,,,1.0,,,,1.5,,,,,,,0.0,,,,,,,no
,,,1.0,,,,,,12.0,,0.67,2.0,0.0,0.0,,,,,,,no
,,1.0,,,,,,,,0.0,,2.0,,,,3.0,,,,,no
,3.0,,1.0,,,,,,,,,,0.0,,0.0,6.0,7.0,,,,no
4.0,,,,,,,,,,0.0,,,,0.0,,,,3.0,,,no
,,,,,,,,,,,,2.0,,0.0,,3.0,,3.0,,,no
,,,,,,0.67,,,,,,,,0.0,,3.0,,,,,no
,,,,,,,1.5,,,0.0,,,0.0,,,,,,,,no
,,1.0,1.0,,8.0,,,,,,,,,,,,,,,,no
,,,,,8.0,,,,,,,2.0,,0.0,0.0,,,,1.0,,no
,,1.0,1.0,,,0.5,2.0,5.8,,,,,,,,4.0,,4.0,,,no
4.0,,,,,,0.67,1.5,,,,,,0.0,,,,,,,,no
,1.0,1.0,,,,0.67,,,,0.0,,,,,,,,,,1.0,no
,,,,,,,,,,,0.67,,0.0,,,,1.0,,,,no
6.0,3.0,,,,,,,,,,,4.0,,0.0,,,,,,,no
,,1.0,,,,0.0,,,,0.01,,2.0,,,,7.0,,,,,no
,,,1.0,,,,,5.33,,0.0,,,,,0.0,,,,1.0,,no
,,1.0,,,,,,5.33,,,,,,,,,,3.0,1.0,,no
,1.0,,,,11.61,0.67,,7.74,,,0.97,3.0,,,0.0,,,,,,no
,,,,,,0.67,,5.33,,,,,,,,,,3.0,,,no
,,,1.0,,,0.67,,,,,,,0.0,,,,,3.0,,,no
20.0,2.0,,,,,,,34.29,1360.8,,,14.0,3.0,,,6.0,,,,,no
6.0,,,1.0,,11.61,,,,,,,,,,0.0,,2.0,,,,no
36.0,,,,,,,,,,,,,,,,18.0,,72.0,41.0,,no
,,,,,,0.4,,7.86,49.13,,,,,,,,2.0,,,1.0,no
,,,,8.0,,,,6.86,,0.01,,,,,,,,,,,no
,1.0,,,4.0,,,,,,,,,,,,,,,1.0,,no
,,,,,,,,,,0.0,1.29,,0.0,,,4.0,,,1.0,1.0,no
29.0,,,,,,0.07,,,,0.12,,,,,,,11.0,,,,no
,,,1.0,,,,,,,,,,,,,,,,,,no
44.0,,,,137.0,713.7,,,49.56,,,,29.0,,,,,,,,17.0,no
,,1.0,1.0,,,,1.5,5.33,12.0,,,2.0,,,,,,,1.0,,no
,,,,,,,,,,,0.97,,0.0,,,,,,,,no
,,,,,,,,,,,,,,,,,,,,,no
,1.0,,1.0,,,,1.5,7.74,17.41,,,,0.0,,,,,,2.0,,no
,1.0,,1.0,,,0.67,,,17.41,,0.97,,,,,,,3.0,,,no
,,,1.0,,,,,,17.41,,,,,,0.0,,,,,,no
4.0,,,,,,,,7.74,,,0.97,,,,,,2.0,,,,no
5.0,,1.0,,,,,,,,,,2.0,,,,,,3.0,,,no
,,,,8.0,,,2.0,,,,,,,,,,,,,,no
7.0,,,,,,,,,,,38.2,,,,,,9.0,,,,no
,,,15.0,,,,,,,,,,0.0,,,,,275.0,,39.0,no
,1.0,,,,11.61,0.67,,7.74,,,,,,,,,,,,,no
,,1.0,1.0,,,,1.5,,,,,0.0,,,0.0,,,3.0,,,no
10.0,,,,,,,,,,,,,0.0,,,6.0,,,,1.0,no
,,,1.0,,,,,,17.41,,,,,,,,,,,,no
,,1.0,2.0,,,0.12,8.46,,,,,16.0,,,,,,,,3.0,no
,,1.0,,,11.61,0.67,,7.74,,,,,,,,3.0,,,,,no
,1.0,,,,,,,7.74,,,0.97,,,0.0,0.0,,,,2.0,,no
,,,,,,,,24.17,,,,,,,,,,,,7.0,no
,2.0,1.0,,,,,,21.14,,,,,,,,,,,,,no
4.0,,,,,,,,7.74,17.41,,,2.0,,,,3.0,2.0,,,,no
,,1.0,,,11.61,,,,,,,2.0,1.0,,,,1.0,,,,no
,4.0,,,,408.07,,,,,,,,,,1.0,,18.0,,,,no
,,,,,,,,,23.22,,,,,,,,,,,1.0,no
,,,,,1494.32,0.04,23.32,,,,1935.82,,,,,,,,,,no
,,,,,,,,,,,,,1.0,,,4.0,1.0,,,,no
,,,,,,,,,,,,,0.0,2.0,,,,,,,no
,,,2.0,15.0,,,,,161.32,,8.96,,,,,,,,,3.0,no
12.0,2.0,1.0,,,,0.17,6.0,,,0.02,,,1.0,0.0,0.0,,,,,3.0,no
,,,1.0,8.0,,,,,,,,,,0.0,,,,,,,no
5.0,1.0,1.0,,5.0,,,,,,,0.0,,,,,5.0,,,,,no
,,,,,,,20.44,,,,,35.0,,11.0,,,18.0,,,11.0,no
10.0,,,,,,,,,,0.04,33.91,,,,,,,,,,no
,,,,,,,15.27,,,,,,3.0,,0.0,,,,101.0,,no
,,,6.0,,,0.04,,37.7,,,,,3.0,,,,,,,,no
44.0,,,,124.0,668.65,,,,,,817.24,,,5.0,,,,80.0,,,no
,,,,,,,,,,,,,,,,,,,,,no
,,,,,,,,,,0.06,,,,,0.0,,,,,,no
,2.0,,,46.0,,,,,,,58.73,10.0,,,0.0,,,,,,no
,1.0,,,9.0,,,,,,,,2.0,,,,,,,,1.0,no
,1.0,1.0,,,,,,,,,,0.0,,,,,,,,1.0,no
,,,,,,,2.0,,,,,2.0,,,,,,,,,no
4.0,,,1.0,,,,1.5,,,,,,,,,,,3.0,,1.0,no
,,,,,,,,,,0.0,0.67,,0.0,,,,,3.0,,,no
,,,,,8.0,,,,,0.0,,,0.0,,,3.0,,3.0,1.0,,no
10.0,5.0,1.0,,33.0,,,,,,,,,,,,,,,,,no
,,,,,,,,,,0.08,109.61,,0.0,2.0,,,,33.0,,,no
,,,,,4008.48,,,73.38,,1.34,,,,,,28.0,,,,,no
,,1.0,1.0,,,,1.5,,,,,,0.0,,,3.0,2.0,3.0,,,no
,13.0,,,,,,,,,0.29,,,,,1.0,,23.0,,,,no
,1.0,,,,,,2.0,,,,,,,,,,,,,,no
,,,,,,0.67,,,,,,2.0,,,,,2.0,,2.0,,no
,,,,,96.0,,,,,,26.67,,,,,,,14.0,,,no
11.0,,,,,36.5,,,,,,,,,,,,,,,,no
,2.0,,,18.0,64.53,,,10.75,,,,,,,0.0,,,,,,no
,,,11.0,,,0.03,,,,,3703.8,,,7.0,,25.0,43.0,,,27.0,no
,,,,,,,,,,,,8.0,,,,,,,7.0,,no
22.0,3.0,,,,,,,30.82,,,,,,,,,12.0,,19.0,5.0,no
,,,,,,0.17,,,,,20.31,,,,0.0,,,,,,no
,,,1.0,,,,,,,0.02,,,,,0.0,,4.0,,,,no
,,,,63.0,,,,,2873.39,,,,,8.0,,,14.0,,,,no
,,,,,,,,,5054.44,0.15,280.8,30.0,,9.0,,,,,,,no
83.0,,,,,,,,,31113.57,0.39,,66.0,,,,,,135.0,88.0,,no
,,,,,11.61,0.5,,,,,,,,,,,1.0,,1.0,1.0,no
,,,,261.0,,,,,,,,,,,,,,,,,no
3.0,1.0,,,,,,,,,,,1.0,0.0,,,1.0,,1.0,,,no
,,,,,,,,12.56,,,,,,1.0,,,,,,,no
,,,,,,,,,,,,,0.0,,,,,,,,no
4.0,1.0,,,,,,,,,,0.06,,,,,,1.0,,,,no
,,,,4.0,,,,,,,,2.0,,,,,,,,,no
,2.0,,,,,0.13,7.88,,,,,,0.0,,0.0,,8.0,,,,no
,,,,,,,5.6,11.89,,,,,,,0.0,,,,,,no
7.0,,,,,,,,15.65,,,,,,1.0,0.0,,,,,5.0,no
,,,,,,0.05,,,,,,,,,,,,,,,no
,,,2.0,,,,,,,0.09,,,0.0,5.0,0.0,,,,,,no
,,,,,,,,,,0.02,,,,0.0,,,,11.0,,,no
,,3.0,,,,,,,,0.14,,,,,,,,,38.0,,no
,,,3.0,,,,,,,,,,0.0,,,15.0,,,,7.0,no
,,,,,,,,,,,,18.0,,,,,,,20.0,,no
12.0,,,2.0,,76.15,,8.1,,,,,7.0,,,,,,,,,no
,,1.0,,,,0.13,,,,0.07,,15.0,,,,11.0,,,,,no
,,1.0,,59.0,263.11,0.1,,,,,,,,6.0,,10.0,12.0,,,3.0,no
,,,,,263.11,0.1,,,2631.06,,,,,6.0,,,,,,3.0,no
,1.0,,,,,,,,,,,1.0,,,,,0.0,1.0,0.0,1.0,no
78.0,5.0,,,,860.0,,,,,,,,,17.0,,,,,,,no
,,1.0,,,,,,,509.14,,,,,,,,7.0,,,,no
,,,,,,,,,,0.02,25.09,,,,,,,,,,no
,,,,,,,,,,,,,,,,4.0,,,,,no
29.0,,,,72.0,,0.09,,,,,197.03,22.0,,,,,,,,,no
,,,,,0.0,,,,,0.0,,,,,,,,,,,no
,,,,,141.78,0.15,6.87,,,,,,,1.0,,,,,,,no
,,,,,,,,10.75,,,,,,,0.0,,,,,,no
,,,,,,,15.79,32.54,,,,,,,,,,,,,no
,,1.0,2.0,15.0,,,,,,0.02,12.61,,,,0.0,,,10.0,,,no
,5.0,,,,,,,17.36,,,,12.0,,,,,9.0,,,,no
,,,1.0,,,0.0,0.0,,,,,,,,,,,,,1.0,no
,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,no
,1.0,1.0,,,,,2.5,,,,,,,,,,1.0,5.0,,,no
,6.0,1.0,,,,0.08,12.83,,,0.13,,,3.0,,,,,,,,no
,,1.0,,,,,,,,,,,4.0,,,16.0,,,,5.0,no
,,,,,,,,,,,,,0.0,1.0,,,,,,,no
,,,,,515.74,,,,8794.65,,,,5.0,,,,,,36.0,,no
,,,,,,,,,,,,,,,,,,,,,no
,,,,80.0,388.64,,,22.55,,,372.03,,,,,16.0,13.0,,,,no
,,1.0,,,,,,,,,,23.0,0.0,5.0,,,,,,,no
91.0,,,,,,,,,,,,,0.0,,,,,,,,no
,6.0,,,175.0,,,,,,0.32,1061.56,52.0,,,,,,,,,no
,,1.0,,78.0,,,11.56,33.44,,0.13,,,,,,,18.0,46.0,,,no
,1.0,,,4.0,,,,5.33,,,0.67,,,,,,,,,,no
,,,8.0,,,,,,,0.55,,,,,0.0,,,,,,no
4.0,,,,,,,,,,,,,,,0.0,5.0,,7.0,,3.0,no
,,,,5.0,,,,7.74,,,,,,,,,2.0,,,,no
174.0,,7.0,,,,,,,,,,133.0,4.0,,,,,272.0,,,no
,,,,,,0.05,,,,,,,,,0.0,,,,111.0,,no
,5.0,1.0,,189.0,,0.06,,,,,874.13,,,,,,,,,,no
,,,,,,0.09,,,5410.11,,,,0.0,,,13.0,20.0,,,,no
,,,,,,,,,,,,,,,,,,,,,no
71.0,,,,,,,,,,,,,,,0.0,16.0,,,,21.0,no
,,,,,,,,,2213.73,,,,,,,,,,,,no
,,,,,,,8.72,,3036.65,,,24.0,,,0.0,,,,,,no
,,1.0,,,,,,27.01,5776.21,,,,,,,,20.0,,,,no
,,,,,,,,5.33,12.0,,0.67,,,0.0,,3.0,,,1.0,,no
,5.0,,,,,,,,,,,,,,,,,,,,no
,,,3.0,,,0.06,,38.66,,,,39.0,,,0.0,,18.0,80.0,,,no
,,,5.0,,,,,,,,,,1.0,,,,,,,,no
,,,,,,,,,,0.06,,,0.0,,,,,,,,no
,,,,,249.12,,,,,,,,,,,11.0,,,,,no
,,,,,,,,7.74,,,0.97,2.0,,1.0,,3.0,,3.0,,,no
32.0,,1.0,,63.0,,,6.3,,,0.1,107.12,,,,,,20.0,,28.0,,no
,,,1.0,,,0.67,,,,,,,,,,,1.0,,1.0,,no
,,,,,36.5,,,,,,,,,,,,2.0,,4.0,,no
,,,,,,,,,,,,,,,,5.0,,,,,no
7.0,,,1.0,,36.5,0.2,,,,0.01,,5.0,,,,,,,,1.0,no
,,1.0,1.0,11.0,33.0,,,,148.5,0.01,,4.0,,0.0,,,,,,,no
4.0,,,,,,0.67,,,12.0,,0.67,,0.0,,,,,,,,no
,,,,,,,,11.52,,,,,,0.0,,,,,,,no
,2.0,,,,,,,,,,6.87,,,,,,,,,3.0,no
