bkblk,bknwy,bkon8,bkona,bkspr,bkxbq,bkxcr,bkxwp,blxwp,bxqsq,cntxt,dsopp,dwipd,hdchk,katri,mulch,qxmsq,r2ar8,reskd,reskr,rimmx,rkxwp,rxmsq,simpl,skach,skewr,skrxp,spcop,stlmt,thrsk,wkcti,wkna8,wknck,wkovl,wkpos,wtoeg,class
,f,,,,,f,f,,f,,,,,,,f,,,,,,,,,,,f,f,,,f,,f,,,won
,,f,f,,f,f,f,,f,,f,,f,,,,,f,,,f,,f,,,,,f,,,,,,,n,won
,f,,f,t,f,f,f,,f,,,,f,,,f,f,f,f,,,,,f,t,f,,,f,t,f,,f,,,won
,f,,,t,,f,,,f,t,,,f,,f,f,,,f,,,,f,f,,f,f,f,,,f,f,,,,won
,f,,f,t,,,,,,,f,,f,n,,,,f,,,,f,f,,,f,,,f,f,,f,,t,n,won
f,f,f,f,,f,f,,,f,,,,f,,f,f,,f,,f,,,t,,,,,f,,f,,,,,,won
,,f,f,,,f,f,,f,,f,l,,,,,f,f,f,,,,,f,,,,,f,f,,,f,t,,won
f,,,,f,,,,,,,,,,n,,,,,,f,f,f,,f,t,f,f,,f,,f,f,,t,,won
f,,,f,,f,,,f,,,,,,n,f,,,,,f,f,,,f,,,,,f,,,,,,n,won
,,f,f,,,,,,,,f,l,,,,f,,,f,,,f,f,,,f,,,,t,,,,,,won
f,,,f,f,,f,,,f,,f,l,,n,f,f,f,f,,,,f,,,,,,,f,,f,t,,,,won
,,,,,,f,,,f,t,f,l,f,n,,f,f,f,,,,,,f,,,f,,f,,,,,,n,won
f,,f,,,f,,,f,,,f,l,,n,f,f,,f,f,,,,t,f,,,,,f,,f,,,f,,won
f,f,,,,,,,,f,,f,,f,,,,f,f,,f,,f,,,,,,f,f,,,,t,t,n,won
,,f,,f,,,,,,,,,,w,,,f,f,f,f,f,,f,,,,f,,f,t,,f,,,,won
f,,f,,,,,,,,,,l,,,,,,f,,f,f,,,,t,,,f,,t,f,,t,,,won
f,,f,f,,,,f,,f,,f,l,,,f,f,f,,f,f,f,f,,f,,,f,,f,f,,,,t,,won
,,,f,t,,,,f,f,,,,,,,,,f,,,,,,,,,f,f,f,,,,,,,won
,f,,,,f,,,,f,t,,l,,,f,f,,,f,f,f,,,f,,f,,,,f,f,,t,,n,won
,f,,f,,,,f,,f,,,l,,,f,f,,,f,f,,,t,,,,,,f,t,,,,,,won
,f,f,,t,f,,f,,,t,,,f,,,f,f,f,,,f,,t,f,t,,,f,f,,,,,,,won
,,f,,f,f,f,,,,,,l,f,w,f,f,f,f,,f,,f,t,,,,f,f,f,f,f,f,t,,,won
f,f,,f,,f,t,,,f,,f,l,,,,,,f,,,,,,,t,,,f,f,f,f,f,t,,n,won
,,,,,,f,,f,f,,,,,,f,f,,f,,f,,f,,,,,,f,,,f,f,t,,,won
,f,,f,f,f,,,f,,,f,,f,,,,,,,,f,f,f,f,t,f,f,f,,t,f,,,,n,won
,f,,f,f,,t,f,,f,t,,l,,,,,,,f,,f,,,,t,,f,,f,,,,t,,,won
,,f,f,,f,,,f,f,,,l,,,,,f,,,f,f,,f,,,f,,f,,f,f,,,,,won
f,f,f,,,f,f,f,,f,t,f,l,,,,f,f,,,,,f,f,f,,,,,f,,f,,,f,,won
,,f,,f,,,f,f,,,,,f,,f,f,,,,,,,t,,,f,,,,,f,,t,,n,won
f,,,,,,,t,,,f,f,l,,n,f,f,,f,f,,f,,f,,t,f,f,f,,f,f,,,,n,won
,,,,t,,,t,,f,,,l,,,f,f,,,,f,t,f,,,,f,,f,,,,,,,,won
f,,f,f,,,,t,,,,f,,f,,,f,,f,,,f,f,f,f,,,f,,,f,,,,,,won
,,f,f,,,,,t,f,,,l,f,,,,,f,f,f,,f,,,t,,f,f,,,f,f,,t,n,won
f,f,,,,,,,t,f,,f,l,,n,f,f,,,,,t,,,,,f,,f,,f,,,t,,n,won
,,,,t,,,,,,,f,l,,n,f,,,f,,f,,f,t,f,,,f,f,f,,,f,,,n,won
f,,,,f,,t,,,f,,,,f,,,,,,,f,f,f,f,,t,f,f,f,,,,f,t,t,,won
f,,,f,,f,,t,,f,,f,,,,f,,,,t,,,f,,f,,f,,,f,,,,t,,n,won
f,f,,,t,,,,,,t,,l,,,,,,,,,,f,,,,,,f,f,f,,f,,t,n,won
f,f,f,,,f,t,,t,f,t,,l,,w,,,,,,f,,f,,,,,f,f,f,,,,,,n,won
,f,f,f,,f,,,,,,f,l,,,,,,f,f,,,f,,f,t,f,f,,f,f,f,,t,,n,won
,f,f,f,,f,t,,t,f,,,l,,,,f,f,,f,f,,,,f,,f,,,,,,,,,,won
f,,,,,,,t,,f,,,,,n,,,f,,f,,f,,,,,,f,f,,f,,,,,n,won
,,,,,f,,t,t,,,,l,,,f,,,,,,,,,,,,,f,f,,,,f,,n,won
f,f,f,,t,,t,,,,,,,,n,,,,f,,,,,t,,t,,,,f,f,,,,,n,won
f,,,,,,,,,,,,l,,,f,,,f,f,f,f,,,,,,f,f,,,f,,,,n,won
f,,,f,f,,f,f,,,,f,,f,n,,,,f,,,,f,,,t,f,f,f,f,,,,,t,,won
f,,,f,,t,,,,,,f,l,,,,f,,,,f,,f,,,t,,f,,,f,,,,t,n,won
,f,f,t,f,,,,f,f,f,,,f,n,f,,,f,,,,f,,,t,f,f,,,,,f,,,n,won
f,,,,,t,,f,f,,,,,f,n,,f,,f,f,,f,f,,,,f,f,f,,f,,,,,,won
,,,t,t,,f,f,,f,f,f,l,,,,f,t,,f,,,,,,,f,,,f,,,f,,,,won
,,f,t,,t,f,f,f,,,f,,,n,f,f,,,,,f,f,f,,t,f,,f,f,,,,f,,,won
f,,,f,,,,f,,,,,l,f,,f,,,,,f,,f,f,f,,,,f,f,f,f,,f,,n,won
f,,f,f,,t,,f,,f,,f,l,,,,f,t,,,,,f,,,t,,f,,,,f,,,t,n,won
,,,f,,t,,f,f,f,,,,,,,f,,,f,,f,,,f,t,,f,f,,f,,,f,t,n,won
f,,f,,,t,f,f,,,,f,,,,f,f,,,f,,,,f,,t,f,,f,,,f,t,,,,won
,,f,,f,t,f,f,,f,f,f,l,,,f,,,f,,,,f,f,,,,,,,f,,,,t,n,won
,,f,,t,,t,,,,,,,f,n,f,f,,,,f,t,,f,,,f,,f,,,f,,t,,n,won
f,f,,,f,,f,,,,,f,,,n,f,,t,,f,,,,,f,,,,f,f,f,,,,,,won
,,,f,,,f,f,,f,,,,,,,,,f,,f,,f,t,,t,,,,f,,f,,f,,,won
f,,,,,,f,,,,f,f,,f,,,f,,,,f,,f,t,f,,f,,,f,f,,f,,t,n,won
f,,f,t,,t,,f,,,,,l,,n,,f,,,f,f,,,t,f,,,,,,,f,,,,,won
,,,,,,,,f,f,,f,,f,n,,,,,f,f,f,,,,t,f,f,,f,,f,,,,,won
f,,,f,,t,f,,f,,,,,f,n,,,t,f,,,f,,,f,,f,f,,,,,,,,n,won
f,,,,,t,f,f,t,f,f,,l,f,n,,f,t,,f,,,f,,,,f,,f,,,,,,,,won
,f,,f,,,,,f,f,,,,,,,f,,,,,,f,,,t,f,,,f,,f,,t,,,won
,f,,f,,t,f,,f,f,,f,l,,,,,t,,f,f,,,,,t,,,f,,,f,,,t,,won
f,f,,,f,t,,,,f,,,,,,f,f,,,f,f,f,f,f,f,,,f,,,,,,,,n,won
f,,f,,,t,f,f,,f,t,,,f,,,,,,,f,,,f,f,t,f,,,,,,,,,n,won
,,,,,,t,f,,f,,,,,,,f,,f,f,,,f,,,,,,f,,,,,,t,,won
,,f,f,,,,f,f,,t,f,,f,,f,,,,,,f,,f,,,,,f,f,,f,,,,,won
f,f,,,t,,,f,,,,f,l,,n,f,,,f,f,,,f,f,f,t,,,,,f,,,,t,,won
,f,,f,f,t,,f,f,,t,,l,f,,f,,,,,,f,,f,f,t,f,,,,t,f,f,,t,,won
,,f,f,,,,f,t,,,f,,,n,,f,t,f,,f,,f,f,f,,,,,,,,,,t,n,won
f,,,,f,t,f,f,t,f,,,l,,n,,,,,,,t,,,f,t,,,f,,,f,,,,,won
,,,f,,t,,,t,f,t,,,,,,,,,,f,t,,,,,f,,,,t,f,f,t,,,won
f,f,,f,f,t,t,f,t,,t,f,l,,n,f,,,,f,,,,,,,f,,f,f,,,f,,t,,won
f,,,f,t,,t,,,,,,,f,,,,,,,f,t,,,f,,,,f,,,f,f,,t,,won
,,f,f,,,f,f,f,,,,,,,f,,t,f,f,,,,t,f,,,,,,t,f,,t,,,won
f,f,,,,t,t,f,f,f,t,f,,f,,f,,,,t,f,f,f,t,f,t,,,,f,t,,,t,,,won
f,f,f,f,,t,f,,t,,,f,,,,,,t,,f,,,,,,,f,f,,,t,,f,t,t,n,won
,,,f,f,t,,f,,,t,,,,n,,f,t,f,,f,,f,t,f,,,,,,,,f,t,,,won
,,,,,,,,,,,,,,n,f,,,f,,f,,f,,,t,,,,f,,f,,t,,,won
,,,,,t,,f,,f,,,l,f,n,f,,t,,,,,,,,,,,f,f,t,,f,f,,n,won
,,,,f,,,f,f,f,t,,l,,,f,,,f,,,,,f,,,f,f,,,f,,f,t,,,won
f,f,f,,f,,,f,,,,,l,,n,f,f,t,f,,,f,,f,f,t,,,,,,,f,f,f,,won
f,f,f,,t,t,,,,,t,f,,,,,,t,,,f,,,f,,,,,,,f,f,f,t,,,won
f,,,f,,,t,,,f,t,,l,,n,,,,,,,f,,,,,,,,f,f,,,f,,n,won
f,,,f,,t,,,f,,,,,,,f,f,,f,t,f,,f,,,t,f,,f,f,t,,,t,,,won
f,f,,f,,t,,f,t,f,t,,,,n,,,t,,f,,,f,f,f,,,f,f,f,t,f,,,,,won
f,f,,,f,,t,,t,,,,l,f,,f,,t,,,,t,f,f,,,f,,f,,,,,t,,,won
f,,,f,f,t,t,,t,f,t,,,,,,,t,,t,,,,f,f,t,f,f,f,,,f,f,,,n,won
f,f,f,,,,,f,f,f,,f,l,,n,f,f,t,,,,,,,,,,,,f,t,f,,,f,,won
f,,,,,,f,,,,,f,,f,,,,,f,f,,,,,,,,,,,,f,f,,t,,won
f,,f,f,,t,f,,,,,,,f,,f,,,f,,f,f,,f,f,t,f,,f,f,,,,f,,n,won
,f,,,,,,f,,,,,l,,,,f,t,,,,,,f,,,,,,,,f,,,,n,won
,f,f,,,,,f,f,f,,f,l,,,,f,,f,,f,f,f,,,,f,f,,,,,f,,,,won
,,f,f,,t,,,,f,t,,l,,,f,,t,f,f,f,f,,f,,,,,f,,f,f,,,,,won
,,,,t,t,,,,f,t,,,,,f,,t,,,f,f,,,f,t,,f,,f,,,,,t,n,won
,,,,t,,,,,,t,,l,,w,,,t,f,f,,f,f,f,,,,,f,f,,f,f,,,,won
f,,f,,,,t,f,,f,,,l,,w,f,,t,,,,t,,f,f,,,,,,,,,,,n,won
,f,f,,,t,f,f,,,t,,,,w,f,f,,f,f,f,,,t,,,,f,,f,t,,,,,,won
f,,f,f,,t,f,f,,,,,,,,f,,t,f,,f,f,,,,t,,,f,f,,f,,,,,won
,f,,,,t,,,t,,,,,,w,,f,t,f,f,,t,f,t,,,,f,,,,,f,,,,won
f,,,,,,,,,,,f,,f,,f,,,f,,f,,,f,f,t,,,,f,t,f,,t,f,,won
f,f,,f,f,,,,,,t,,,,,f,,t,f,,f,f,f,,,t,,f,f,f,,,,,f,,won
,f,,f,,,,,,,,f,l,f,w,,f,t,f,f,,,,,f,t,,f,f,f,,f,f,,f,,won
,,,,t,t,t,f,,,t,f,l,,,,,t,,f,,,,f,,,,,,,,,f,,,n,won
,f,,,,t,t,f,,,,f,,,,,,,f,f,,,,,f,,,,,f,,f,,f,,,won
,,,,,,,f,t,,,,,,,,f,t,,f,f,t,f,,,t,,,,f,,,,,,,won
,,,,f,,,,,f,,f,,,w,,f,,f,,,,,t,,,,,,f,t,,,t,,,won
t,f,f,,,t,,,f,,t,f,l,,,,,t,,,,,,,f,t,,f,,,f,f,,,t,n,won
,f,,f,,t,,,f,,,,l,,,,,,,,,,,f,f,,,,f,,t,f,,,t,,won
,f,,f,,t,,f,,,,f,l,f,n,,f,,f,,,,f,f,f,,f,,f,,f,f,f,t,,n,won
,,f,,,,f,,,,t,f,,f,n,,,,,,,,,f,,,,f,f,,,,f,t,t,n,won
t,,f,,,,t,f,,,t,f,,,n,f,f,t,,,,,f,,,t,,,f,f,,,,t,,,won
,,,f,f,,f,f,,f,,f,,f,,f,f,,f,,,,,t,,,,f,f,,,f,,,t,,won
,f,f,f,,,,,,,,,l,f,n,,,,f,f,,f,,t,f,t,,,f,,,f,,t,,n,won
t,,,,t,,t,f,,f,,,l,,,f,,,f,f,,f,f,,,t,f,,,f,f,,,,t,,won
t,,f,f,,t,,f,,f,t,f,,,,,f,t,,f,f,,,f,f,t,,,f,,t,,,,,,won
t,,,,,t,,,f,f,,,,,n,f,f,,f,f,,f,,,,t,,f,f,f,f,f,,t,,,won
,f,,,,,,f,f,,t,f,,,n,f,,t,,,,f,,t,,t,f,,,f,,,f,,,n,won
,,f,,,t,f,f,,f,t,f,l,,b,f,,t,f,f,f,,f,,,,f,,f,,f,,,f,t,,won
,,f,,,t,,f,,,t,f,l,f,,f,,,,,,,f,f,,t,,,,,,,,t,,n,won
,f,f,,,t,,,,f,,f,l,f,,f,f,,,,,f,,,f,,,f,,,t,,,,,n,won
,,f,,,,t,f,,,,f,,,,f,,,,f,f,,f,f,,,f,,f,,f,,,,t,,won
,f,,f,,,,f,,f,,,,,,f,,t,f,,,f,,,f,,f,f,f,,,,,,t,,won
,,,,,,,,f,,,f,l,f,b,,,t,f,,,f,f,t,,,f,f,f,f,f,f,,,t,,won
,f,f,,,,,,,f,,f,,,,,,,f,,,f,f,,,t,,,,f,,f,,,t,n,won
t,f,f,f,,,,f,f,f,,,,,w,,f,,,f,,,f,,,t,,,f,f,f,,f,t,t,n,won
,,,,f,t,,,f,,t,,,f,,,,t,,f,f,,,t,f,t,f,,,f,f,,,,,n,won
t,,f,,t,,,,,,,f,,f,,,,,,f,f,,,,f,t,,f,f,,,f,,t,,n,won
t,,,,f,t,,,f,,,f,l,f,,f,,t,,,f,,f,,,,,,,,,f,,t,f,,won
f,,,,,t,f,,,f,f,,l,,,f,f,f,,,,f,,f,,t,,f,,f,f,,,,t,,won
,f,f,,f,,,f,f,,,,,,,,,,,f,,,,f,f,,,,f,,,,,,,n,won
,,,t,,t,,,f,f,,f,,,n,,,,f,,,f,f,,f,,f,f,f,f,,,,f,t,n,won
f,f,,,,t,f,,f,f,,f,l,,,,f,,f,,,,f,f,,,f,f,,,,f,,f,,,won
f,,,,,,f,,f,f,f,f,,f,n,,,,f,,,,f,,f,t,f,,,,,f,,,,n,won
,,f,,,t,,,,f,f,,,f,n,f,f,f,,,,,f,,,,f,,f,,,,,,,,won
,,f,,,,,,,,,,,,,f,f,,,,f,,,f,,t,,,,f,f,,f,,,n,won
,,,f,,,t,,,f,f,,l,,,,,,,f,f,,f,f,f,t,,,,,,f,,t,,,won
,f,,,t,,t,,,,,f,,f,,f,f,,f,,,,f,,,,,,,,,,f,,t,,won
f,,f,f,f,,f,f,,,f,,l,,,,f,f,,,f,,f,,,,,f,f,f,f,,,,,n,won
,f,,f,f,t,f,,,f,f,f,,,n,f,,f,,,f,f,f,t,,,,,,,,,,,t,,won
,,f,,,t,f,,f,,,,,,,,f,f,,f,f,,f,,,t,f,,f,,f,f,f,,t,n,won
,f,,,,t,,,,,,,,f,,,,f,,f,f,,,,f,t,,,f,,,,,f,,n,won
,,f,t,,t,,f,,,,,,,,,,,,,,,,,,t,,,f,,f,f,f,f,t,,won
,,,,,t,,,,f,f,,,f,,f,f,,,,,,f,t,f,,f,f,,,,f,,,t,,won
,f,,,,,,,,,,,,f,,,f,,f,f,f,,f,t,f,,f,f,,f,f,f,f,,,,won
,,,,,t,,f,f,,,,l,,,f,f,,,,,f,f,t,,t,f,,f,,,f,,,t,,won
f,f,,,,,f,,f,,t,f,l,,,,,,,f,f,,f,f,f,,,f,f,,,,,,,n,won
f,,,,,t,t,f,f,,t,f,l,f,n,,f,,,f,f,,,,,t,,f,f,,f,,,,,n,won
f,,,,,,f,f,f,,,f,,f,,f,f,f,,f,f,,,,,,f,,,f,,,f,,,,won
f,f,,t,f,,,,f,f,t,,,f,n,f,f,,f,,f,f,f,t,f,,f,,,,,f,f,,,n,won
,,f,f,f,t,,f,f,f,,,,,n,f,,f,,f,f,,,,,,f,,,,,,f,f,t,n,won
f,f,,f,,,,,,,t,,l,f,n,f,f,,,f,f,,,t,,t,,,f,f,,f,,,,n,won
,,,,,,f,f,,f,t,f,,,n,f,,f,f,,f,,f,t,f,,,,f,,t,f,,f,t,,won
f,f,,,,,f,,,,,,,,,f,,,,f,,f,,f,,t,,,,,t,f,f,,,n,won
f,,,f,,t,,,,,,f,,f,,f,,,,t,,,f,,f,t,f,f,,f,,,f,,f,,won
,,f,,,t,,f,f,f,,,,,,,f,,f,,f,f,,,f,t,,f,,,f,f,f,f,f,n,won
,f,,,f,t,,f,,,,,,,n,f,,,,,,,f,f,,t,,,,,,,t,,,n,won
,,,,,t,,,,,,f,,,,,f,,f,,,,,,,,,,,f,t,,,,,,won
,,,,f,t,,f,f,f,t,f,,,n,,,f,,,,,,t,,,f,,f,,f,,f,,,,won
f,,,,,,,,,,t,,l,f,n,,,f,f,,f,,,,,,f,,f,,,,f,,f,n,won
f,,f,,f,,f,f,,,,,l,,,,f,,,,,f,,,,t,f,,f,,t,,t,,,n,won
f,f,,f,f,,f,,,f,,,,,,,,f,f,,f,f,f,,,,f,,f,f,,f,,f,,n,won
,,,f,,,,f,f,,,,,f,w,,,,f,,f,f,,,f,,,f,f,,,,,,,n,won
,f,,,t,t,,f,f,f,,f,l,f,,f,f,f,,,f,f,f,f,,,,,,,,,f,,,,won
f,,,,f,t,,,t,,t,,l,,,,,,,,,,,f,,,f,,,f,,,,t,,n,won
f,f,f,,f,t,,,f,,,,,,w,f,f,,,f,,f,,,f,,,,,,,f,,f,,,won
f,,f,,f,,,f,,f,,,,,,,,f,,f,,,,,,t,f,,f,,,,f,,,,won
,f,f,f,,t,t,f,,f,,,l,,w,f,,,f,,,f,f,,f,t,,,,f,,,f,,,,won
f,f,f,,t,,,,,,t,f,,f,w,f,,f,f,f,,,,,f,,,,,f,,f,f,,,,won
,,,,,t,,,,f,t,,,f,w,f,f,f,f,f,,f,,,f,,f,,,,f,,,f,,,won
,f,,,,,t,f,,f,,,l,,,f,,,,f,,f,f,t,,,,f,,,f,,f,t,,n,won
f,,,f,,t,,,f,f,,,,,,,,,f,,,,,,,t,f,,f,,,f,,f,,,won
,f,,,t,,t,,f,,t,f,l,,,f,,f,f,,,,,,f,,f,,,,f,,f,t,f,,won
t,,,f,,t,f,,,f,t,,,f,n,,,,,,f,,,,,,,f,,f,,f,,,t,,won
,f,,,f,t,t,t,t,f,f,f,l,,,f,,,f,,,f,,,f,,,,,,f,,f,f,,n,won
,,f,f,,,,,t,,,f,,f,n,,f,,,f,f,,f,,,t,,,,,,,,,t,,won
,f,f,,,t,,,,,,,,,,,f,,,,f,,,f,,,,f,,f,,,,,t,,won
,,f,,f,t,,t,t,,f,,l,,,,,t,,f,f,,,f,,t,f,f,,,f,,,,,n,won
,f,f,,,t,t,,t,f,,,,,,,,t,,,,,,,f,t,,,,,,f,,,,,won
,,f,f,,t,,,,f,t,,,f,,,,t,,,,f,f,,,,,,,,f,,f,,t,n,won
,,f,,,t,,,,,,,,f,n,,,,f,,f,,f,,,,,f,f,f,,,f,f,,,won
f,f,f,f,f,t,,,,f,t,f,,,,f,,,,f,,,,f,,,f,,f,,,f,f,,,n,won
f,,,,f,,t,t,t,f,t,f,,f,,,,t,,f,,f,,f,,t,,,,f,,f,,f,f,,won
,f,,f,f,t,t,t,,,,,l,,,f,,t,f,,f,,f,f,f,,f,f,,f,,,,t,,n,won
f,,,f,f,,,t,,,,,,f,,,,,f,,f,f,,f,,,,,,,f,,,,t,n,won
f,,,,,,,t,,,,,,f,,,,t,,,,,f,,,t,,f,,f,f,f,f,,t,,won
