checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
0<=X<200,,,radio/tv,,,,4.0,,,,real estate,,,,,,,yes,,good
0<=X<200,36.0,,,,,,,,,,,,,,,,,,,bad
,48.0,,,,,,2.0,male single,,,,,,,,,,,,bad
,,,,3181.0,<100,<1,,,,4.0,,,,,,,,,,good
,,,,,,,,,,,,,,,,skilled,,,,good
,,,,,,,2.0,,,,,,bank,,,,,,,good
,,,,,,,4.0,,,,,,,own,1.0,,,,,good
,,,,1819.0,,,,,,,,,,,,,1.0,yes,,bad
,,,,,,,,female div/dep/mar,,,,,,,1.0,,,none,yes,good
,,,,,<100,,,,,,,,,,,,,,yes,good
no checking,,,radio/tv,,,,,,,,,,,,2.0,,,,,good
,,,,,,,3.0,,,,,,,,,high qualif/self emp/mgmt,,,yes,good
0<=X<200,,,,,,,,,,,real estate,,,own,2.0,,,,,good
,36.0,,education,,,,,,none,,,,none,,,,,,,bad
<0,,,,,,,,male single,,,no known property,,none,,,high qualif/self emp/mgmt,1.0,,,good
,,,,,,,,,,,car,,,,,,,,,bad
,,,,,,,,,,,life insurance,51.0,,,,,1.0,,,good
,,,,,,,,,none,,life insurance,,none,,,,,,,good
,,,furniture/equipment,,,,,male mar/wid,,,,,none,,,,,,,good
no checking,,,,5943.0,,,,,,1.0,,,,,,,,,,bad
,,,radio/tv,,500<=X<1000,,,,,,,,,,,,,,,good
,,,business,1568.0,,,,,,4.0,life insurance,,,,1.0,,,,yes,good
<0,,,other,,,,4.0,female div/dep/mar,guarantor,,,,,,,,,yes,,good
,,,,,,,,,,4.0,,,,own,,,,,,good
,,,,,,,,,,,real estate,,,own,2.0,,,,,good
,,,,,,,,,,,,,,,,,1.0,none,,good
,,,,,,1<=X<4,1.0,,,,,,,,,skilled,,,,bad
,,,,,,4<=X<7,,,,,,,none,,,,,,,good
,12.0,no credits/all paid,repairs,,,,,,,,,28.0,none,,,,,,,bad
,,,,,,,,,,4.0,real estate,,none,,,,,,yes,good
,,,used car,1409.0,,>=7,,,none,,,54.0,none,,,skilled,,,yes,good
,,critical/other existing credit,radio/tv,,,,,female div/dep/mar,,,,,bank,,,,2.0,,,bad
>=200,,,,,,,,male single,,,,,,,,,,,,good
,12.0,,,,,,4.0,,,,,,none,own,1.0,skilled,,,,good
,,no credits/all paid,,,,,,,,,,,,,,,,,,bad
,,,,,,,,,,,,,,own,,,,,,good
,18.0,,,,,,,male single,,,,,none,,,,,,yes,good
,,critical/other existing credit,,,,>=7,4.0,,,4.0,,,,,1.0,,,,,good
,,,,,,,,,,,,,,,,,,,,good
,,,,,,,4.0,,,,,,,,,,,,,good
0<=X<200,,,,,,,,,,,,,,,,,,,,good
,,,,,,,,female div/dep/mar,,,,24.0,,,,skilled,1.0,,,good
,9.0,,,,,4<=X<7,,,,3.0,,35.0,,,1.0,,1.0,,,good
,12.0,,,,,,,,,,,,,,,,1.0,,,good
,24.0,,other,11938.0,<100,,,,,,,39.0,none,,,,,,,bad
,,,,,,,,,,,,,,,,,,,,bad
,,,new car,,,,,,,2.0,car,,,,1.0,,,,yes,good
,,,furniture/equipment,,,<1,,,none,2.0,,30.0,,,,,,,no,good
0<=X<200,14.0,,,,,,,,,,,,,own,,,,,,good
,,delayed previously,,,,,,,none,2.0,,,bank,,,,,,yes,good
,,,education,,<100,,,,,,life insurance,23.0,none,,,,,,,good
,,,,,,,,,,,,,,,,,,none,,good
,36.0,,,,,,4.0,,,,,25.0,,,2.0,skilled,,,,bad
,,,,,500<=X<1000,,,male mar/wid,,,,,,own,,,,,yes,good
,,critical/other existing credit,radio/tv,3578.0,no known savings,,,,none,,,47.0,,own,,skilled,,yes,,good
,,,radio/tv,,,,,,,,,,,,,high qualif/self emp/mgmt,,,,bad
,,,,,,,,,,,,,,,,,,none,,good
,,,,,,,1.0,,,,car,,none,own,,,,,,bad
,12.0,,,2366.0,500<=X<1000,,3.0,,,,car,,,,1.0,,,,yes,good
,,existing paid,radio/tv,,,1<=X<4,3.0,,none,,,,none,,,,1.0,,,bad
,,critical/other existing credit,,,,,,,,2.0,,,,rent,,,1.0,,,good
,,existing paid,,1768.0,,,,,none,,,24.0,,,1.0,,,,,good
,,,,,,,,male single,none,4.0,no known property,,,,2.0,skilled,,,,good
,18.0,,furniture/equipment,,no known savings,,,female div/dep/mar,,3.0,,27.0,none,,,skilled,1.0,none,,bad
,,,new car,,,,,,,,,,,own,,skilled,,none,,good
,12.0,,,,,,,,,2.0,,,,,,,,none,,good
,,,,,,,,,,,,,,own,,,,none,,bad
,,critical/other existing credit,,,<100,unemployed,,,,,car,,none,,,high qualif/self emp/mgmt,,,,good
,,,,3499.0,,,3.0,,,,,,,,,,1.0,,,bad
0<=X<200,,,,,,,1.0,,none,2.0,,,none,,,,,,,good
,,,,6887.0,,1<=X<4,,,,,,,,,1.0,,,,,bad
,,,,,<100,<1,,,,,,,,,,,,,,good
,,,,,,,,,,,,,,for free,,,,,,good
,,,,,100<=X<500,,2.0,,,,,,,own,1.0,skilled,,,,good
,12.0,,,,,,,,,2.0,,,,,,skilled,,,,good
,,delayed previously,,,,,,,,,,,,own,,,,,yes,good
0<=X<200,,existing paid,,,,,,,,,,,,own,,,,,yes,bad
,,,,,,,,male single,,,,,bank,,,,,,yes,good
>=200,,,,1881.0,,1<=X<4,2.0,,,,,,none,,,,,yes,yes,good
,,,,,,,,male mar/wid,,,,,none,,,,,,,good
,36.0,,,4795.0,,<1,,,,1.0,,,,,,,1.0,,,good
,,,,,<100,,,,,,car,,none,,,,,,,good
,,existing paid,,2462.0,<100,,,,,,,,none,,,skilled,,,,bad
no checking,,,,2288.0,,,,,,,,,,own,,,,,,good
,48.0,,,,,,,,,,,,,,,skilled,,none,yes,good
,,,,,,>=7,,female div/dep/mar,,4.0,no known property,,,,,,,,,good
,,,,,,,,,,,car,,none,,,skilled,1.0,,,good
,,critical/other existing credit,,5371.0,<100,,,,,,,,,,,,1.0,none,,good
,18.0,,,,,,,,,,,,,,,,,,,good
,,,,,,,,,none,4.0,,42.0,bank,,1.0,,,,,good
no checking,,,,,,,1.0,,,,,38.0,none,,,,,,,good
,,existing paid,radio/tv,5848.0,,,,,,,,,,,,,,,,good
0<=X<200,,,,7758.0,,>=7,,,,,no known property,,,,,,1.0,,,good
,,,business,,,4<=X<7,,,,,,,,,,high qualif/self emp/mgmt,,yes,,good
,,,,,<100,,,,,,,,,,1.0,,,,,bad
,,,,,100<=X<500,,,,,,,,,,,,,,,good
,,,retraining,,,,,,,,,,,,,unskilled resident,,none,,good
,,,,,,4<=X<7,,,,,,38.0,,,,,,,,good
,,,,1898.0,,,,,none,,,,,,2.0,,2.0,,,good
,24.0,,,,,,,,,,,,,,,,2.0,,,good
,,,,,,,,,,,life insurance,,,,,skilled,,,yes,good
no checking,,,,,,4<=X<7,,,,,,,none,own,2.0,skilled,,yes,,good
0<=X<200,,,,,,,,male single,,4.0,,,,for free,,,,yes,yes,good
,,,new car,909.0,,,4.0,,,,life insurance,,,,,,,,yes,good
,,existing paid,,,,,1.0,,,2.0,car,,,,,,1.0,,,good
,18.0,,furniture/equipment,,,,,,,,,,,,,,,none,,bad
,,,furniture/equipment,1577.0,,,,,none,,,,,,1.0,,1.0,,,good
no checking,,,furniture/equipment,,,,,,,,life insurance,25.0,,,,,,,,good
,24.0,,,,,,,,,,,,,,,,1.0,yes,yes,bad
,15.0,,,,,,4.0,male single,,,,,,,2.0,,,,,bad
,,,,763.0,,1<=X<4,,,,,,,,,,,,,,good
,,,furniture/equipment,,,,,,,2.0,,,,own,1.0,,,,,bad
,,,,,,,4.0,male single,,2.0,,,none,,,,1.0,,,good
,,,education,,,,2.0,male single,,1.0,,,none,,,skilled,,,,bad
no checking,,,,,no known savings,,,,,,,,,own,,,,,,bad
<0,12.0,,,,,,,,,,,,none,,,skilled,,,,good
,,,,338.0,,,,,none,,,,,,,skilled,,,,good
,,,,,,4<=X<7,,,,2.0,,,,,,high qualif/self emp/mgmt,2.0,,,good
<0,,,,571.0,,,,,,,,,,,,,,,,good
,,delayed previously,,9572.0,<100,,,,,,,28.0,,,2.0,,,,,bad
,,,,,,,,male div/sep,none,2.0,,,,,,,1.0,,,bad
,,,,1647.0,,,,male single,,,,,,,2.0,,,,,bad
,,,furniture/equipment,,,,4.0,,none,,,50.0,,,1.0,,,yes,,good
,,,,,,,,,,,,36.0,,own,,,,,,bad
,,critical/other existing credit,,1360.0,,,,male single,,,life insurance,,,,,,,,,good
,,,,,,,,,,,,74.0,,,,,,,,bad
,,,,,,,,,,,,,,,,unemp/unskilled non res,,,,good
,,,,,100<=X<500,,,male mar/wid,none,,,,,own,,,,,,bad
,,no credits/all paid,,,,,,,none,,,,,,,,,yes,,good
,,,,,>=1000,,,,,,life insurance,,,,,,,,,bad
,,,business,,,,,,,,,,,,,,,,,bad
0<=X<200,,existing paid,business,,,1<=X<4,,,,,car,,none,,,,,,,bad
,,,,,,,,,,,,,,,,,1.0,none,,good
,,existing paid,radio/tv,3031.0,,,,,,,,,,,,skilled,,,,bad
,9.0,critical/other existing credit,,1501.0,,>=7,,,,,,,,,,,,,,bad
,,critical/other existing credit,radio/tv,,<100,1<=X<4,,,,,,,none,own,2.0,skilled,,,,good
,12.0,existing paid,,,,,,female div/dep/mar,none,4.0,car,,,,4.0,,,,,bad
,24.0,existing paid,,2760.0,,,,,,,,,,,1.0,,,,,good
,,,,,,,,,,,,,,,,,,yes,,bad
,,,,,,>=7,,,,,,,,,,,1.0,,,good
,,,,,,1<=X<4,,,,,real estate,,none,,,,,,,good
,,,,,,,,,,,,26.0,,,,,,,,good
,12.0,,,,<100,4<=X<7,4.0,,none,4.0,,,,,,,,,,bad
,12.0,,,,,,,,none,,,38.0,,,,,2.0,none,yes,good
,,,,,,,,male single,none,,,38.0,none,,,,,,yes,good
no checking,,critical/other existing credit,,,,>=7,4.0,,,,,,,,,skilled,,yes,,good
0<=X<200,,,,,,,,male single,,,,,,,,,,,,good
,,existing paid,,,,,2.0,,,2.0,,21.0,,,1.0,unskilled resident,,,,good
,,,used car,,,4<=X<7,,,,,,55.0,,,,,1.0,,,good
,9.0,critical/other existing credit,,,,1<=X<4,,,,,,,,own,,,,none,,good
no checking,36.0,,,,,,,female div/dep/mar,,4.0,,,,,,,1.0,yes,,good
,,,business,,,,,,none,4.0,,,,,,,1.0,,,bad
,,,,,,,4.0,,,4.0,,,,,,,,,yes,bad
,,,,,,,,,,,,,,,1.0,skilled,,yes,,good
,6.0,,,,no known savings,4<=X<7,1.0,female div/dep/mar,,,,39.0,,,,unskilled resident,,,,good
,,,,,<100,4<=X<7,,,,1.0,,31.0,,,,,,yes,,good
>=200,,,,,<100,,,male single,,2.0,,,,,,,,yes,yes,good
,,,,,,,,,,,,24.0,,,,,1.0,,yes,good
,,existing paid,new car,,,1<=X<4,2.0,female div/dep/mar,,,,64.0,,,,,,,,good
,12.0,,,,,,,male mar/wid,,,,26.0,,,,,,,yes,good
,,,education,,no known savings,,,,,,,,bank,rent,,,,yes,,good
,12.0,existing paid,,,,1<=X<4,,,none,2.0,,30.0,,,,,,,,good
,,,,2978.0,,,,,none,,real estate,,,,2.0,,,yes,,good
,,,,,,,,male single,,,,,,,,skilled,,,,good
no checking,,,,,,,4.0,,,,car,,,,2.0,,1.0,,,good
,,,radio/tv,10961.0,,4<=X<7,1.0,male single,,,no known property,,,,,,,,yes,bad
,12.0,existing paid,,,<100,,4.0,male single,,,no known property,,,,,,,,,bad
no checking,,,,,,,,,,2.0,,22.0,,,,,,,,bad
,,,,,,,4.0,,,,,,,,,,,none,yes,good
,,,,,<100,,,,,2.0,,,,,,,,,,bad
,,,,2507.0,500<=X<1000,,,,,,,,,,,unskilled resident,,,,good
,12.0,,,2141.0,100<=X<500,,,,,,,35.0,,,,,1.0,,,good
0<=X<200,18.0,,,866.0,,,,,,,real estate,,,own,,,,,,good
,,,radio/tv,,,,,,,1.0,,42.0,,,,,,,,good
,,,,,,,,,,,car,,,own,,,2.0,,yes,bad
,,,,14555.0,,,,male single,none,,,,none,,,,1.0,,,bad
,21.0,,,,,,,,,,car,,,rent,,,1.0,,yes,bad
,12.0,critical/other existing credit,,,,,,,,,life insurance,,none,,,,,,,good
,,,,,,>=7,,,guarantor,,,,,,,,,none,,good
,,,,915.0,no known savings,,4.0,,,,,,,,1.0,,,none,,bad
,,,,,,4<=X<7,,,,2.0,,,,,,,,none,,good
,,no credits/all paid,,,,,,,,4.0,no known property,24.0,,for free,,,,,yes,bad
,,,,,,1<=X<4,3.0,,,2.0,,,none,,,,,,,good
,,,,,,,,,,,,,,,,,,,,good
,,,,,,,,male single,none,1.0,real estate,,,,,,,,,good
,,,,,,>=7,4.0,,,,real estate,52.0,,,,,,,,good
no checking,6.0,,,1204.0,,,4.0,,,,,35.0,,,,skilled,1.0,,,good
,,,,,,,,,,,,26.0,,,,,,none,,good
,,,,,,unemployed,,female div/dep/mar,,4.0,,,,,,,,,yes,bad
,,critical/other existing credit,new car,,,,,,,,,,,,,,,,yes,good
,12.0,,,,,,,,,,,46.0,,,,,,,,good
0<=X<200,,,,,,1<=X<4,,,guarantor,,,,,,,,,,,bad
,,,,,,,,,,,,,,,,,,none,,good
0<=X<200,9.0,existing paid,,,,,,,,,,24.0,,own,,,,,,good
,,,,7418.0,,,,,,,,,,own,,unskilled resident,,,yes,good
,,,,,,,,,none,,,35.0,,,2.0,,,,,good
,12.0,,,,,,,,,,,,,,1.0,,,none,,bad
,,,,,,,,,none,,car,,,own,,,1.0,,yes,good
,11.0,,,,,,4.0,,none,,,57.0,,,,,,,,good
,,,,,<100,,,,,,,,none,,,,,,,good
,24.0,,,1603.0,,,,,,,,,,,,,,,,good
,,,,,,,,,,,,,,,3.0,,,,,good
,12.0,,,,,,,,,4.0,,,,,3.0,unskilled resident,,none,,good
,10.0,,,,,,3.0,male single,,,,,,,2.0,,,,,good
,,,,,<100,>=7,,,,,,,,,,,2.0,,,bad
,,,,6304.0,,,4.0,,,4.0,,,none,,,skilled,,,,good
no checking,,,,,<100,,,,,,,,,,,,,,,good
,,,,,,,,,,,,,,,,,,,,bad
,,,,,,,,,none,,,,,,,,,none,,good
,,,new car,2662.0,,,,,,,,,,own,,,,,,good
,,,,,,4<=X<7,,,,4.0,,,,,,,1.0,yes,yes,good
,,all paid,,12169.0,,,4.0,,,,,,,,1.0,,,,,good
,,,,,,,4.0,male single,,,,,,,,,1.0,,,bad
,,,repairs,,,,,male div/sep,,,,34.0,,,,,,,,bad
no checking,,,radio/tv,,,,,male single,,,real estate,,,,,,,,,good
,18.0,,radio/tv,,,,,,none,,,,,own,,skilled,,,yes,good
,,,,,,,,,none,,,,,own,,,,,yes,good
,,,,,,<1,,female div/dep/mar,,,,,,,1.0,,1.0,,,bad
,,,,,,,4.0,,,4.0,,,,,,,,,yes,good
,,,,,,,,,,4.0,,23.0,,,,skilled,,yes,yes,good
,12.0,existing paid,,1574.0,,,4.0,,none,,,,,,,,,,,good
,,all paid,,,,,,male single,,,,,,,1.0,unskilled resident,,,yes,good
,,,furniture/equipment,,,>=7,,,,,,,none,own,,,,,,good
,,,,,,<1,,,,,,,,,,,1.0,,,good
,,,,,<100,,,,,,real estate,,,,,,,,,good
<0,,,,,,,4.0,,none,,,,,,,,,,,good
,,,,,100<=X<500,,,,,4.0,no known property,,none,,,,,,,good
,,,radio/tv,,<100,,,,guarantor,,,49.0,,own,2.0,,,,,good
<0,,delayed previously,,,<100,<1,,,,,,,,own,,skilled,,,,bad
,12.0,,,,,,2.0,,,2.0,,,,,1.0,,,,,good
0<=X<200,,,,,<100,,,,,,,,,rent,,,,,,bad
,,,,,,,,,,,,44.0,,,,,2.0,,,good
,,,used car,,,,,,none,,,,,,,,1.0,,,good
,,,,,,>=7,,male div/sep,,,,,,,,,2.0,,,good
0<=X<200,,existing paid,furniture/equipment,,,,,female div/dep/mar,,,,26.0,,,,,,yes,,bad
,,,,,,,1.0,,none,4.0,,,none,rent,1.0,,,none,,good
,,,new car,,,>=7,,,,,,,,,1.0,,,,,good
,,,,2515.0,<100,,,male single,,,,,,,,,,,,good
,,critical/other existing credit,,,,,,,,,,,none,,,skilled,,yes,,good
,,,new car,,<100,unemployed,,female div/dep/mar,,,,,,,,,,,,good
,,,,,<100,1<=X<4,,,none,1.0,car,,,,,,,,,bad
,,,new car,,,,,,none,,,37.0,,,,,,,,bad
<0,10.0,,,1038.0,,,,,,,,,,,,skilled,,,,good
,48.0,,new car,10127.0,,,2.0,,none,2.0,no known property,,,for free,,,1.0,none,,bad
,,,furniture/equipment,,,,,,,,,33.0,,,,,,,,good
,,,used car,,,,,female div/dep/mar,,4.0,,,,,,,,,,good
,,,,,,,,male mar/wid,none,,,,,,,,,,,bad
0<=X<200,,,,,,,3.0,,,,,,,,,,,none,,bad
,,,,,,,,,,,real estate,,none,,,unskilled resident,1.0,,,good
0<=X<200,48.0,existing paid,,,no known savings,,,,,,,,,,,,,,,good
,,,,,,,,,,,,25.0,,,1.0,,1.0,,,good
,,,,,,,,,none,,,,,,,,,,,good
,,existing paid,,,,,,,none,3.0,,,,own,,,,,,bad
,4.0,,new car,,,<1,,male single,none,,real estate,,,,,unskilled resident,,,no,good
,,,,,<100,>=7,,male single,none,,,,,,,,,,,bad
,,,furniture/equipment,,,,,,,3.0,,,,own,,,2.0,none,,good
,,,furniture/equipment,,,,,,,,,48.0,,,,,,,,good
,,,,,<100,,4.0,,,,car,32.0,,,,,,none,,good
<0,15.0,,,,,>=7,,female div/dep/mar,none,4.0,,,none,own,2.0,unskilled resident,,,yes,good
,,critical/other existing credit,,,,,,,,,,,,,,,1.0,,,bad
,24.0,,radio/tv,,,,,,,,,,,,,,1.0,,,bad
,,existing paid,used car,,,,,,,,no known property,,,,,,,,yes,good
,18.0,,,,,,,,,,car,,,,,,,,,good
,,,,,,1<=X<4,,,,,real estate,,,,,,,,,good
,8.0,,,3398.0,,,1.0,,,,real estate,39.0,,,,unskilled resident,,,,good
,,,,,,>=7,,male single,,,,,,,,skilled,,,,good
,,,,,,,,female div/dep/mar,,,,,,own,,,,,yes,good
,,,,,,>=7,,,,2.0,,31.0,,own,1.0,,,,,good
,,existing paid,radio/tv,,<100,,,,,,,28.0,,,,,2.0,,,good
,,,,,,,2.0,,,,,,,,,,,,yes,good
,,,,,100<=X<500,1<=X<4,,,,2.0,,,,,,,,none,,bad
,60.0,existing paid,,7408.0,,,4.0,,,,,,none,,,,,,yes,bad
,,,,,,,,,,,,,,,,,,none,,bad
,,,,,<100,,,,none,,,,,,2.0,,2.0,,,bad
,,,,,,,,,,,,,none,,1.0,,,,,bad
,,existing paid,,,,,,,,,,,,,,,1.0,none,,good
<0,15.0,,,,,,,,,,,,,,,,,,,bad
,,,furniture/equipment,4169.0,,1<=X<4,,,none,,,,,own,,,,none,,good
,,,,1521.0,<100,,4.0,,,,,31.0,none,,,,,none,,good
,,,,,,,,female div/dep/mar,none,,,,,,,skilled,,,,good
,,existing paid,,3599.0,<100,,,,,,,,,,,,,,,good
,,,,,500<=X<1000,,,,,,,,none,,,,,none,,good
0<=X<200,,existing paid,,,,,,,co applicant,,,,,,,,1.0,,,good
>=200,10.0,,,,,<1,1.0,,,,life insurance,,,,,,,,,good
,,,,,,,,,none,2.0,,,,own,1.0,,1.0,,,good
,13.0,,,,,,,,,,,,none,,,,,,,good
,,,radio/tv,,,,,,,,,,,,,,,,,good
,6.0,,,,,1<=X<4,,,none,,real estate,,none,,,unskilled resident,,none,yes,good
,9.0,,,,,,4.0,,none,,,,,,,,,,,bad
,,,domestic appliance,1236.0,,,1.0,,,4.0,,,,,,,,,,good
0<=X<200,9.0,existing paid,furniture/equipment,959.0,<100,,,female div/dep/mar,,,,,,,,skilled,1.0,none,,bad
,,critical/other existing credit,used car,3229.0,,,,,,,,,none,,1.0,,,yes,,good
,,,,,,,,,,,life insurance,,,,,,1.0,,,bad
,,,,,500<=X<1000,,,,,4.0,,,,,,skilled,,,,good
,24.0,existing paid,,,<100,,,,none,,,23.0,,,,unskilled resident,,none,,bad
,,,,,,,,,,,,,,,,,,,,good
,,delayed previously,,,<100,1<=X<4,,,,,,,none,,,high qualif/self emp/mgmt,,,,bad
no checking,,,radio/tv,,<100,,4.0,,,,,,none,,1.0,,,,,good
,30.0,,,,,,,,,,,23.0,none,rent,1.0,,1.0,,,bad
,18.0,,,,,1<=X<4,,,,,,,,,,,,,,good
,,,,,,,,,,,,,,,,,,,,good
,,,,,,1<=X<4,,,,2.0,,36.0,,,2.0,,,,,good
,,existing paid,,,,,1.0,,,,life insurance,21.0,,,,,,,,good
,18.0,existing paid,,,,,,,,,,,,,,,,none,,bad
,,,,1542.0,,,2.0,,none,4.0,,,,,,,,,,good
,18.0,,,,,,,,,,,,,,2.0,,,none,,good
,,,,,,,,,,,,,,,,,,,,good
,,,,,<100,,,,,,,,none,,,,,,,bad
,,,,3001.0,,,2.0,,,,,,,,,,,,,good
,,,,,,,,,none,4.0,real estate,,,,,,,,yes,good
,18.0,critical/other existing credit,radio/tv,,,,3.0,,none,,,,none,,,,,,,good
no checking,,critical/other existing credit,,,<100,,,,,,real estate,,,,,,,none,yes,good
,,critical/other existing credit,,,,,,,none,,,,,,1.0,high qualif/self emp/mgmt,,,,good
,,all paid,,,,>=7,3.0,,,,,60.0,bank,,,,,,,bad
,48.0,,,,<100,,,,,,,,,,,,,none,,bad
,,delayed previously,,2320.0,,,,,,3.0,,,none,,,,,,,good
,7.0,,,,,>=7,,,,,,36.0,,for free,,skilled,,,,good
,36.0,,,,,>=7,,,,,,57.0,,for free,1.0,high qualif/self emp/mgmt,,,yes,bad
,,,,,,,4.0,,none,4.0,car,,,own,,,,,,good
,,,,,,,,,,,,,,,1.0,,,,,good
,,existing paid,,12976.0,,,3.0,,,,,38.0,none,,,,,,,bad
,,,,,,4<=X<7,,,,,,,,rent,,,1.0,,,good
>=200,,,,,,<1,,,,,real estate,,,,,,,,,good
,,,business,4272.0,,1<=X<4,2.0,,,,,,,,2.0,,1.0,,,good
,,,,,,,,,,1.0,car,,,,,skilled,,,,good
no checking,,existing paid,,,,,,,none,,,,,,1.0,,,,,good
,,,,,<100,unemployed,,male single,,,,,,,,,,,yes,good
,,critical/other existing credit,,,,,2.0,male single,,,,,,own,,,1.0,,,good
,9.0,,,,,4<=X<7,,,,2.0,car,,none,,,,,,,good
,,existing paid,,,,,,,,,,,,own,,,,,,good
,12.0,,,,>=1000,,,,,,,,,,1.0,,,,,good
,,,,,,,,male single,,,,,,,,,,,,good
,6.0,critical/other existing credit,radio/tv,,,,,female div/dep/mar,,,car,,none,,,,1.0,none,,good
,,,furniture/equipment,,,,2.0,,none,,,,,,,,,none,yes,good
,,,,,,,2.0,,none,3.0,,,none,rent,,,,,,good
<0,,,furniture/equipment,2578.0,,,,,,,,55.0,,for free,,,,,,good
,,,,,,,,,,,,,,,,,,yes,,good
,,,new car,,,,,,none,1.0,,,,,,skilled,,,,bad
no checking,,,,,,1<=X<4,,,,,real estate,,,,,,,,,good
no checking,,,,,,<1,,,,,,,none,,,,,,,good
,,critical/other existing credit,,,,1<=X<4,,,,,,,,,,,1.0,,,good
,,,,8648.0,,,,,,,,,,,,,,,,bad
