loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,lOCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,class
,,1.0,,8.0,,,3.0,8.0,,,,,0.0,,0.0,6.0,2.0,,,,no
,2.0,,,27.0,,0.15,6.67,,,,,9.0,0.0,,0.0,8.0,,,10.0,,no
,2.0,,,,,0.03,,68.85,81952.03,,,,,,,,,,,31.0,no
,2.0,,2.0,,324.33,0.1,10.27,,3329.79,0.11,,,1.0,,0.0,,15.0,,,,no
,1.0,,,13.0,41.21,,,,,,,,0.0,,,3.0,6.0,,6.0,,no
3.0,1.0,,1.0,,,0.0,,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,,,1.0,0.0,1.0,no
97.0,,,8.0,,1375.6,,,,26961.84,0.46,,72.0,,20.0,,,,147.0,,,no
,,1.0,,,78.14,,6.0,,468.83,,,,,,0.0,,,,8.0,,no
10.0,2.0,1.0,,18.0,,0.14,7.0,,,0.02,25.09,8.0,,,,8.0,,,,3.0,no
7.0,1.0,1.0,,11.0,36.54,,,,,0.01,,3.0,,,,,5.0,6.0,,,no
,3.0,,,75.0,348.29,0.09,,,,0.12,,23.0,,,0.0,,14.0,47.0,,5.0,no
,3.0,,,,211.77,0.12,,,,,100.0,,,1.0,,,,32.0,,5.0,no
,,,,,,0.09,10.58,,3297.65,,,,,1.0,,,13.0,,25.0,9.0,no
,1.0,1.0,1.0,,,0.5,2.0,,86.37,,,,,0.0,,,,20.0,,,no
4.0,,1.0,1.0,,137.61,,,21.17,,,,,1.0,0.0,1.0,4.0,,,,,no
15.0,3.0,,,49.0,211.77,,,,,0.07,100.0,10.0,0.0,,,10.0,,,17.0,5.0,no
,,,,,211.77,0.12,8.5,,,,,,,1.0,,10.0,,32.0,,,no
,4.0,,,45.0,191.16,,,,,,61.95,15.0,0.0,0.0,0.0,,15.0,41.0,,,no
17.0,,,2.0,69.0,,0.11,,,,,,,,0.0,0.0,7.0,12.0,25.0,,,no
6.0,,1.0,1.0,,49.83,0.43,2.33,,116.27,0.02,6.46,4.0,,0.0,0.0,4.0,6.0,,,,no
6.0,,1.0,,,49.83,,2.33,,,,6.46,4.0,,,,,6.0,8.0,,,no
6.0,,,,,,,,,,,6.46,,,,,,6.0,,7.0,,no
,1.0,,1.0,15.0,49.83,,,21.36,116.27,0.02,,,,,0.0,4.0,6.0,8.0,7.0,1.0,no
6.0,,1.0,1.0,15.0,49.83,0.43,,21.36,,,,,0.0,0.0,0.0,4.0,,,,,no
,,,1.0,15.0,49.83,0.43,2.33,21.36,116.27,,6.46,,0.0,0.0,,4.0,,,,,no
,,,,15.0,49.83,,,,,0.02,6.46,,,,,,,,,1.0,no
,1.0,1.0,,,,,,21.36,,0.02,,,0.0,0.0,,,6.0,,,,no
41.0,,,7.0,105.0,534.18,,,,,,,,1.0,,,,,67.0,,15.0,no
,,3.0,6.0,,,0.04,,,17739.36,,,,1.0,4.0,0.0,,,86.0,55.0,,no
60.0,7.0,4.0,,,986.18,,,,,0.33,1305.77,54.0,1.0,,0.0,,30.0,108.0,65.0,13.0,no
,,,9.0,187.0,1001.86,,,,13591.93,0.33,,45.0,3.0,,,11.0,30.0,,74.0,23.0,no
,,1.0,1.0,,8.0,0.67,,,,,0.67,,0.0,,0.0,3.0,,3.0,1.0,1.0,no
,,4.0,4.0,,412.18,0.05,18.29,22.54,,,,26.0,,3.0,0.0,,,52.0,32.0,11.0,no
,13.0,,,163.0,,,,50.23,,0.29,,,10.0,,2.0,,,,,,no
,,3.0,,,,,,13.27,1605.42,,89.19,14.0,,2.0,,,7.0,,14.0,5.0,no
8.0,,1.0,,,77.71,0.29,3.43,22.67,266.43,,,,0.0,,,,,13.0,8.0,,no
18.0,,,,,,,,24.97,1404.72,0.06,78.04,13.0,,2.0,,,,24.0,18.0,,no
,,,,,,,11.55,,2638.03,,,24.0,,,,,,,,9.0,no
,,,2.0,,,,7.76,71.53,,,,24.0,,,,,,,,,no
,,,,49.0,238.04,0.12,,27.9,,0.08,,,,0.0,,,,,21.0,7.0,no
,,1.0,1.0,,48.43,,,19.37,,0.02,6.73,,,,,,,8.0,,1.0,no
29.0,3.0,1.0,3.0,,,0.09,,,3303.19,,,,,2.0,,9.0,,,,,no
,,,,,,,1.5,5.33,12.0,0.0,0.67,,,0.0,,,1.0,3.0,1.0,,no
,,1.0,,,8.0,0.67,1.5,5.33,12.0,0.0,,2.0,,0.0,0.0,3.0,,3.0,1.0,1.0,no
,,1.0,1.0,,,0.67,,,,0.0,,,,0.0,0.0,3.0,1.0,,1.0,,no
4.0,1.0,1.0,1.0,4.0,,0.67,,5.33,12.0,0.0,,,0.0,,0.0,3.0,,,,,no
4.0,,1.0,,9.0,25.27,,0.0,,,0.01,,2.0,,,0.0,,0.0,,0.0,1.0,no
,,,,,,,1.5,,,,,0.0,,,0.0,,1.0,3.0,,,no
4.0,1.0,,,,,0.67,1.5,5.33,,,,2.0,,,0.0,3.0,,,,,no
4.0,,,,,8.0,,,5.33,,0.0,0.67,2.0,0.0,0.0,0.0,,1.0,,,,no
4.0,,,1.0,,,,1.5,,,,,,0.0,0.0,,,1.0,,,1.0,no
4.0,,1.0,1.0,,,,1.5,5.33,,0.0,0.67,,0.0,0.0,0.0,3.0,,3.0,1.0,,no
,1.0,1.0,,,8.0,0.67,,,12.0,,,2.0,,0.0,0.0,3.0,1.0,,1.0,1.0,no
,,,,,8.0,0.67,,,12.0,,0.67,,0.0,,,3.0,1.0,3.0,,1.0,no
4.0,,1.0,,,,,1.5,,,,,2.0,,,,,1.0,3.0,,1.0,no
4.0,1.0,1.0,1.0,,,0.67,1.5,,,,0.67,,0.0,,,,1.0,3.0,1.0,1.0,no
6.0,3.0,1.0,,24.0,88.81,0.21,,,418.68,0.03,,4.0,0.0,,0.0,6.0,,13.0,,5.0,no
,,1.0,1.0,4.0,,,,,12.0,,,2.0,0.0,0.0,,,,,,,no
,,,,,,,,5.33,12.0,,,2.0,0.0,0.0,0.0,,1.0,3.0,1.0,,no
,,,1.0,4.0,,,,5.33,,,0.67,2.0,,,0.0,,1.0,,1.0,,no
,,1.0,,4.0,,,,,,,,,,0.0,,3.0,,,1.0,,no
,1.0,,,4.0,8.0,,1.5,,,,0.67,,0.0,,,3.0,,,1.0,1.0,no
,,1.0,1.0,4.0,,,1.5,,,,0.67,2.0,,0.0,0.0,3.0,1.0,,1.0,,no
,1.0,,1.0,,,0.5,,,,,,2.0,,,0.0,4.0,,4.0,1.0,1.0,no
,1.0,1.0,,,8.0,,,,,0.0,0.67,2.0,,0.0,,3.0,,,1.0,1.0,no
,1.0,,1.0,,,0.67,1.5,5.33,12.0,,,2.0,0.0,,,,,,1.0,,no
4.0,,,1.0,,8.0,0.67,,,,,0.67,,,,,,1.0,,1.0,1.0,no
6.0,3.0,,1.0,,,,,,,,,4.0,,,,,7.0,,,5.0,no
,,,,,,0.0,,0.0,,,0.0,2.0,,,0.0,,,9.0,0.0,,no
,,1.0,1.0,,8.0,,,,,0.0,0.67,2.0,0.0,,,3.0,,,1.0,,no
4.0,,1.0,,4.0,,,,5.33,,,0.67,2.0,,0.0,,,,,,1.0,no
6.0,,,1.0,,11.61,0.67,1.5,,17.41,0.0,,3.0,0.0,1.0,,3.0,,,,,no
,,,,,,,,,,,0.67,2.0,0.0,,,3.0,1.0,,,1.0,no
,1.0,1.0,,,,,1.5,,12.0,,0.67,,,0.0,,,,3.0,1.0,,no
20.0,2.0,1.0,,54.0,,,6.3,,,,,,3.0,,,,,,,,no
,1.0,,1.0,5.0,11.61,,1.5,,17.41,,0.97,,0.0,,,,,,,,no
,8.0,,,113.0,574.88,,,,,,,,,6.0,,,16.0,72.0,41.0,,no
,,1.0,,,,,,,,,,2.0,,0.0,,5.0,2.0,,,1.0,no
,,1.0,1.0,,,0.29,3.5,,,,,,0.0,,0.0,7.0,,,1.0,1.0,no
,1.0,1.0,,4.0,,,1.5,,12.0,,,,,,,3.0,,3.0,1.0,,no
,1.0,1.0,,5.0,,0.5,2.0,,23.22,0.0,,,,,,4.0,,,1.0,1.0,no
29.0,,1.0,,83.0,370.13,0.07,14.5,,,0.12,,,0.0,,,11.0,11.0,54.0,29.0,,no
,,,1.0,,,,3.0,8.0,,,4.0,,,0.0,0.0,6.0,,6.0,2.0,1.0,no
44.0,,4.0,,,713.7,0.07,,,10277.21,,,,,,,12.0,25.0,77.0,,17.0,no
4.0,,,,,,,,,12.0,0.0,,2.0,,,0.0,,1.0,,1.0,1.0,no
,,,1.0,5.0,11.61,,,7.74,17.41,,,,0.0,,0.0,,,3.0,,,no
,,,1.0,5.0,11.61,0.67,,,17.41,0.0,0.97,,0.0,0.0,,,,3.0,2.0,1.0,no
2.0,,1.0,,,,0.67,,7.74,17.41,,,,0.0,0.0,0.0,3.0,2.0,3.0,,1.0,no
4.0,,1.0,,,,,,,17.41,,0.97,2.0,0.0,0.0,,,,,2.0,1.0,no
,,,,5.0,,,1.5,,17.41,0.0,0.97,2.0,0.0,,,3.0,2.0,,,1.0,no
,,,,,11.61,0.67,1.5,,17.41,,,2.0,,,,,,3.0,,1.0,no
5.0,,1.0,1.0,,,,,,,,,2.0,,0.0,,,,3.0,2.0,1.0,no
7.0,,1.0,1.0,,,0.5,,11.23,,,,,,1.0,0.0,,3.0,,3.0,,no
,,,,,128.93,,5.33,24.17,,,38.2,,0.0,,0.0,,,,16.0,7.0,no
,,,15.0,444.0,,0.03,30.73,,,,,128.0,,,,,,,,,no
,1.0,,,,11.61,,,7.74,17.41,,0.97,2.0,,,0.0,,,,2.0,,no
,1.0,,,,,,,7.74,17.41,0.0,,,,,,3.0,,,,1.0,no
,1.0,,1.0,12.0,38.04,,,,152.16,0.01,,5.0,0.0,3.0,0.0,,,,4.0,1.0,no
4.0,1.0,,1.0,5.0,11.61,,1.5,,17.41,0.0,0.97,,0.0,,0.0,,,,2.0,,no
,2.0,,2.0,,280.46,0.12,8.46,,,,,16.0,0.0,3.0,0.0,,,,,,no
4.0,1.0,1.0,,,,,,7.74,17.41,,,2.0,,0.0,,3.0,2.0,3.0,,1.0,no
,,1.0,1.0,,,,1.5,7.74,17.41,,0.97,,0.0,,0.0,,,,2.0,,no
,,,1.0,,128.93,,,,687.61,0.04,38.2,5.0,,0.0,0.0,,9.0,,16.0,,no
,2.0,,,,,0.16,,21.14,,0.04,,16.0,0.0,1.0,,,8.0,,11.0,,no
4.0,,,1.0,5.0,11.61,,1.5,7.74,,,,,,,0.0,,,,2.0,,no
5.0,,1.0,,5.0,,0.5,,,,0.0,1.29,,,,0.0,,,4.0,,,no
,,3.0,,84.0,,,,46.05,,,200.89,24.0,3.0,,1.0,,18.0,55.0,,,no
,1.0,1.0,1.0,,,,,,,,1.29,,,0.0,0.0,,,4.0,1.0,,no
,12.0,,,,,,,64.08,,,1935.82,,9.0,,2.0,19.0,,142.0,,23.0,no
5.0,1.0,,,5.0,11.61,,,,,0.0,1.29,,,,0.0,4.0,,,,,no
8.0,,1.0,,,22.46,,,11.23,44.92,0.01,2.5,,,,,,3.0,,,,no
,,,2.0,,53.77,0.33,,,,,,6.0,,,0.0,6.0,6.0,,,,no
12.0,,,,,,0.17,,7.5,,0.02,,,,,0.0,,2.0,11.0,,,no
5.0,,1.0,1.0,,24.0,,,8.0,,,,2.0,0.0,,0.0,,,6.0,,1.0,no
,,,,5.0,11.61,0.0,,,,0.0,,2.0,0.0,,,,,,0.0,,no
,6.0,,5.0,,635.93,,,31.11,,,722.29,35.0,2.0,,0.0,16.0,,79.0,46.0,11.0,no
