checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
0<=X<200,,delayed previously,,6204.0,<100,,2.0,male single,none,4.0,real estate,44.0,,own,,unskilled resident,2.0,yes,,good
<0,30.0,,,6187.0,100<=X<500,4<=X<7,,male mar/wid,,4.0,car,24.0,,rent,,skilled,1.0,none,yes,good
<0,,critical/other existing credit,used car,6143.0,<100,>=7,4.0,female div/dep/mar,,,,58.0,,,2.0,,,none,yes,bad
no checking,11.0,critical/other existing credit,new car,1393.0,,<1,4.0,female div/dep/mar,none,,,35.0,none,own,,high qualif/self emp/mgmt,,,,good
no checking,36.0,existing paid,radio/tv,,500<=X<1000,>=7,4.0,,none,,car,,,own,,skilled,,,yes,good
<0,,,used car,,,,1.0,female div/dep/mar,none,2.0,,,none,,1.0,unemp/unskilled non res,,,,good
no checking,11.0,critical/other existing credit,new car,7228.0,,1<=X<4,,male single,none,,life insurance,39.0,none,own,2.0,,1.0,,yes,good
,,existing paid,,2073.0,,1<=X<4,4.0,female div/dep/mar,,2.0,real estate,28.0,none,own,,skilled,1.0,,,good
0<=X<200,24.0,delayed previously,,,,,4.0,male single,,2.0,,,bank,own,,,1.0,,,good
0<=X<200,,delayed previously,,5965.0,<100,,,,,,car,30.0,none,own,2.0,high qualif/self emp/mgmt,1.0,,yes,good
no checking,,,radio/tv,,<100,,,,,2.0,car,25.0,none,,1.0,skilled,1.0,none,yes,good
,18.0,,used car,,no known savings,,2.0,,,1.0,,,,own,,skilled,,,,good
0<=X<200,,delayed previously,new car,2225.0,<100,>=7,4.0,,none,4.0,no known property,57.0,bank,,2.0,skilled,1.0,yes,,bad
no checking,6.0,,new car,,,,1.0,male single,guarantor,,,,,own,1.0,,2.0,,,good
,,,,,no known savings,,2.0,,none,,,,,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
,36.0,critical/other existing credit,,,<100,1<=X<4,2.0,female div/dep/mar,none,,car,,stores,own,2.0,skilled,,none,yes,good
>=200,18.0,existing paid,new car,1961.0,<100,>=7,,female div/dep/mar,none,,car,,,own,1.0,,,,yes,good
<0,36.0,critical/other existing credit,furniture/equipment,,<100,<1,4.0,,,4.0,no known property,23.0,,rent,,unskilled resident,,yes,yes,bad
0<=X<200,9.0,existing paid,,1391.0,<100,1<=X<4,2.0,male mar/wid,none,1.0,,,,,,skilled,,yes,yes,good
,15.0,critical/other existing credit,radio/tv,1537.0,,,,,,,real estate,50.0,none,own,2.0,skilled,1.0,yes,,good
0<=X<200,,,business,,<100,>=7,4.0,male single,none,4.0,,61.0,none,,1.0,high qualif/self emp/mgmt,,yes,yes,bad
,48.0,no credits/all paid,,14421.0,<100,,2.0,,,,,,none,own,1.0,skilled,1.0,yes,,bad
,,existing paid,radio/tv,3181.0,,<1,4.0,female div/dep/mar,,4.0,life insurance,26.0,none,own,1.0,,,yes,yes,good
,,existing paid,,5190.0,no known savings,>=7,4.0,,none,4.0,life insurance,48.0,none,own,,skilled,2.0,yes,,good
,12.0,existing paid,radio/tv,,<100,,2.0,female div/dep/mar,,,car,29.0,,,1.0,skilled,,none,yes,good
0<=X<200,12.0,,new car,,,1<=X<4,4.0,male mar/wid,none,1.0,real estate,,,own,1.0,skilled,1.0,none,yes,good
no checking,,,education,1819.0,<100,,4.0,male single,none,4.0,no known property,37.0,,for free,,,1.0,yes,yes,bad
,36.0,,radio/tv,2394.0,,1<=X<4,4.0,female div/dep/mar,none,4.0,car,,none,own,1.0,,,none,,good
,,existing paid,,8133.0,,1<=X<4,1.0,,,,,,,,1.0,,,none,yes,good
no checking,7.0,,,730.0,,,,male single,none,2.0,life insurance,46.0,,,2.0,unskilled resident,1.0,yes,,good
,8.0,,other,,<100,,3.0,,none,,no known property,51.0,,for free,2.0,,,yes,,good
,42.0,critical/other existing credit,business,5954.0,<100,4<=X<7,2.0,,none,1.0,real estate,41.0,,own,2.0,unskilled resident,,none,yes,good
<0,,,,1977.0,no known savings,>=7,,,none,,no known property,40.0,none,own,,high qualif/self emp/mgmt,,,,bad
,12.0,critical/other existing credit,used car,,<100,>=7,4.0,male single,none,4.0,no known property,66.0,,for free,,high qualif/self emp/mgmt,1.0,none,yes,good
,42.0,existing paid,,3965.0,,,4.0,male single,,3.0,,,none,,1.0,skilled,1.0,none,,bad
0<=X<200,,delayed previously,radio/tv,4771.0,<100,4<=X<7,2.0,,,,life insurance,51.0,,own,,,1.0,none,,good
no checking,,,used car,9436.0,no known savings,1<=X<4,2.0,male single,none,2.0,,,none,,,,2.0,none,,good
,30.0,,,3832.0,,<1,2.0,,,,,22.0,none,own,1.0,skilled,,none,yes,good
,24.0,existing paid,radio/tv,,,<1,,,none,,,,,,2.0,skilled,,yes,yes,bad
no checking,15.0,,,1213.0,500<=X<1000,,4.0,male single,,,life insurance,47.0,stores,own,,,,yes,yes,good
no checking,18.0,,business,1568.0,100<=X<500,,3.0,female div/dep/mar,none,,life insurance,,none,,1.0,unskilled resident,,none,yes,good
<0,,,,,<100,>=7,,,,,real estate,,none,own,1.0,,,,yes,good
<0,10.0,existing paid,radio/tv,2315.0,<100,>=7,,male single,,,,52.0,,own,1.0,unskilled resident,,,,good
,12.0,,,1412.0,,1<=X<4,4.0,female div/dep/mar,,2.0,,,none,,,,,,,good
0<=X<200,,critical/other existing credit,,,,,,female div/dep/mar,,1.0,,,,own,,skilled,,,,good
,,,education,,100<=X<500,,1.0,,none,,,,,for free,1.0,,2.0,,yes,bad
,18.0,,new car,2249.0,,4<=X<7,4.0,male single,none,3.0,car,30.0,none,,,high qualif/self emp/mgmt,2.0,yes,yes,good
,12.0,no credits/all paid,,1108.0,<100,,,,none,,,28.0,,own,,skilled,,,yes,bad
no checking,12.0,,radio/tv,618.0,<100,>=7,4.0,,none,4.0,real estate,56.0,none,,,skilled,1.0,,,good
<0,12.0,critical/other existing credit,used car,1409.0,<100,,4.0,,,3.0,real estate,54.0,none,own,,,,,,good
,12.0,,radio/tv,797.0,,,,,,3.0,,33.0,,,1.0,unskilled resident,2.0,none,yes,bad
>=200,,critical/other existing credit,,,no known savings,>=7,,male single,co applicant,4.0,,20.0,none,,2.0,skilled,1.0,none,yes,good
0<=X<200,,existing paid,new car,1318.0,,,,male single,none,4.0,real estate,,,own,1.0,,,,,good
0<=X<200,54.0,,business,,<100,,3.0,male single,none,4.0,,,,rent,1.0,,1.0,,yes,bad
,12.0,,,2012.0,,,4.0,female div/dep/mar,none,2.0,,,,own,1.0,,,none,,good
,18.0,existing paid,,2622.0,100<=X<500,1<=X<4,,male single,,4.0,car,34.0,,own,1.0,,1.0,none,yes,good
0<=X<200,36.0,critical/other existing credit,radio/tv,,<100,,4.0,male single,none,4.0,real estate,36.0,,,1.0,skilled,,none,,good
,20.0,delayed previously,used car,7057.0,,,3.0,male single,none,4.0,life insurance,,,rent,,high qualif/self emp/mgmt,2.0,,yes,good
,,existing paid,,1469.0,100<=X<500,>=7,,,none,4.0,real estate,41.0,,rent,,unskilled resident,1.0,,,good
0<=X<200,36.0,,radio/tv,2323.0,<100,4<=X<7,,male single,none,,car,,none,,1.0,,1.0,none,yes,good
,6.0,delayed previously,radio/tv,932.0,,1<=X<4,,,,,,24.0,,,,skilled,1.0,none,yes,good
,9.0,critical/other existing credit,,1919.0,<100,,,male single,,3.0,car,35.0,none,rent,1.0,,1.0,,yes,good
no checking,12.0,,used car,,no known savings,,2.0,male mar/wid,,4.0,,,,,,skilled,,yes,,good
0<=X<200,24.0,critical/other existing credit,,11938.0,<100,,,male single,,3.0,,39.0,,own,2.0,high qualif/self emp/mgmt,2.0,yes,yes,bad
no checking,18.0,all paid,new car,6458.0,<100,,,,,4.0,,39.0,,own,,high qualif/self emp/mgmt,,,yes,bad
0<=X<200,,existing paid,new car,,<100,4<=X<7,,,none,2.0,,32.0,none,own,1.0,skilled,1.0,,yes,good
,24.0,,,7721.0,no known savings,<1,1.0,female div/dep/mar,none,,life insurance,30.0,none,own,,skilled,1.0,yes,,good
,14.0,existing paid,business,1410.0,500<=X<1000,,,male mar/wid,none,,,35.0,,,,skilled,1.0,,,good
,,delayed previously,business,1449.0,,,1.0,,,2.0,car,31.0,,,,skilled,,none,yes,good
>=200,15.0,existing paid,,,,,,,,4.0,,,none,rent,1.0,,,yes,yes,good
,,,,,,,3.0,male single,,,real estate,28.0,,rent,,unskilled resident,,none,,good
no checking,36.0,,new car,,<100,1<=X<4,4.0,,,2.0,real estate,,stores,,2.0,,,yes,yes,bad
,12.0,existing paid,radio/tv,1680.0,500<=X<1000,>=7,,male mar/wid,none,,real estate,35.0,none,,,,1.0,none,yes,good
no checking,48.0,,radio/tv,,no known savings,>=7,,male single,,1.0,real estate,,,own,1.0,skilled,1.0,yes,yes,good
<0,42.0,,radio/tv,7174.0,no known savings,,,female div/dep/mar,,3.0,car,30.0,,,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
<0,10.0,critical/other existing credit,furniture/equipment,2132.0,no known savings,,2.0,,co applicant,,,27.0,none,rent,2.0,skilled,,none,no,good
,33.0,critical/other existing credit,,,,1<=X<4,1.0,female div/dep/mar,none,4.0,car,,none,,2.0,skilled,1.0,,yes,bad
0<=X<200,,,new car,,500<=X<1000,,3.0,,none,,car,,none,own,1.0,,1.0,,,good
<0,21.0,existing paid,radio/tv,1835.0,,1<=X<4,3.0,,,,real estate,25.0,none,,,,,,,bad
no checking,24.0,critical/other existing credit,used car,3868.0,,>=7,,female div/dep/mar,none,,,,,rent,,high qualif/self emp/mgmt,1.0,yes,,good
no checking,,existing paid,,,<100,1<=X<4,,,,2.0,real estate,24.0,none,rent,,unskilled resident,1.0,none,,good
,,,new car,781.0,<100,>=7,4.0,,,,no known property,63.0,none,,2.0,,,yes,yes,good
0<=X<200,18.0,existing paid,furniture/equipment,1924.0,no known savings,<1,4.0,,,3.0,,27.0,,rent,,skilled,1.0,none,,bad
,12.0,critical/other existing credit,,2121.0,<100,,,male single,,2.0,,,none,own,,skilled,1.0,,yes,good
,12.0,existing paid,,701.0,,1<=X<4,,male mar/wid,none,,real estate,,none,,1.0,unskilled resident,1.0,none,yes,good
,12.0,,,639.0,,1<=X<4,,male single,none,2.0,car,30.0,,own,,skilled,1.0,none,,bad
,,,used car,,<100,,4.0,,,,,,none,own,2.0,,1.0,yes,yes,good
<0,12.0,,new car,3499.0,,1<=X<4,,female div/dep/mar,co applicant,2.0,,29.0,none,,,,,,,bad
,48.0,existing paid,new car,8487.0,,,,female div/dep/mar,none,,car,,none,,1.0,,1.0,,,good
,,,education,,,1<=X<4,4.0,male single,none,3.0,,29.0,,,1.0,skilled,1.0,,,bad
no checking,15.0,,furniture/equipment,2708.0,<100,,2.0,male single,none,3.0,life insurance,27.0,,,,unskilled resident,,,,good
,18.0,,furniture/equipment,1984.0,<100,1<=X<4,,male single,,,no known property,47.0,bank,for free,,skilled,,,yes,good
no checking,,existing paid,,,100<=X<500,4<=X<7,2.0,,none,,real estate,21.0,none,,1.0,skilled,,yes,,good
no checking,12.0,,,1240.0,,,,female div/dep/mar,none,,,38.0,,own,,skilled,,,yes,good
no checking,,,used car,8613.0,>=1000,1<=X<4,2.0,,none,,car,,,own,2.0,,1.0,none,,good
,12.0,existing paid,,766.0,500<=X<1000,,,male single,none,3.0,real estate,66.0,none,,1.0,unskilled resident,,none,,bad
0<=X<200,15.0,,,2728.0,no known savings,4<=X<7,,male single,guarantor,2.0,,35.0,,own,,,,yes,,good
,12.0,existing paid,,1881.0,,,,,none,2.0,car,,,,1.0,unskilled resident,1.0,,yes,good
>=200,,,new car,709.0,,<1,2.0,male mar/wid,none,2.0,,,none,,,unemp/unskilled non res,,,no,good
,36.0,existing paid,,4795.0,<100,<1,,female div/dep/mar,,,no known property,30.0,,,1.0,,1.0,yes,,good
<0,27.0,existing paid,,,<100,,3.0,male single,none,2.0,,,none,,1.0,,,,,good
,,,furniture/equipment,2462.0,,1<=X<4,,male single,none,,,22.0,none,own,1.0,skilled,1.0,none,,bad
no checking,,,furniture/equipment,,<100,,,female div/dep/mar,none,,life insurance,23.0,none,,,skilled,1.0,yes,yes,good
0<=X<200,48.0,all paid,business,,100<=X<500,,4.0,male single,,2.0,car,,none,own,,skilled,1.0,none,yes,good
<0,6.0,,new car,860.0,<100,,1.0,female div/dep/mar,,4.0,no known property,,,own,2.0,skilled,1.0,,,good
,12.0,critical/other existing credit,,,100<=X<500,4<=X<7,4.0,,,,car,,,own,2.0,,1.0,yes,yes,good
,36.0,,furniture/equipment,,<100,,3.0,,,,,28.0,,own,2.0,skilled,1.0,none,yes,good
,18.0,,,,>=1000,>=7,4.0,male single,none,4.0,,46.0,,,2.0,skilled,,none,yes,good
,,existing paid,,1346.0,100<=X<500,>=7,2.0,male single,,4.0,,,,,,skilled,,,yes,good
no checking,,,radio/tv,1924.0,,,1.0,,none,,life insurance,,,own,1.0,skilled,1.0,yes,,good
>=200,,,radio/tv,5848.0,,,4.0,male single,none,,car,24.0,none,,,,1.0,none,yes,good
,,critical/other existing credit,used car,,>=1000,>=7,,female div/dep/mar,none,,,29.0,,,1.0,,1.0,none,yes,good
0<=X<200,,,business,6967.0,,,4.0,male single,none,,car,,,,,high qualif/self emp/mgmt,1.0,yes,yes,good
<0,12.0,existing paid,furniture/equipment,1282.0,<100,1<=X<4,2.0,female div/dep/mar,none,4.0,,20.0,none,,,,,,,bad
<0,9.0,critical/other existing credit,repairs,,100<=X<500,,3.0,male single,,4.0,real estate,48.0,,,2.0,,,none,,good
<0,,,,,,>=7,4.0,,none,,car,,bank,own,1.0,unskilled resident,,,yes,good
,24.0,existing paid,new car,,,4<=X<7,,male single,none,3.0,car,38.0,,own,2.0,skilled,,yes,,good
no checking,6.0,critical/other existing credit,radio/tv,1898.0,no known savings,1<=X<4,1.0,,,2.0,,34.0,none,own,2.0,unskilled resident,,none,yes,good
no checking,24.0,,radio/tv,,100<=X<500,>=7,3.0,,none,4.0,real estate,36.0,none,own,,skilled,,yes,yes,good
,,critical/other existing credit,,,<100,<1,4.0,,none,,,30.0,none,,,,1.0,,yes,good
,15.0,existing paid,,1262.0,,4<=X<7,4.0,male single,,,,,none,,,skilled,1.0,,,good
,10.0,,new car,7308.0,,,,,,,,70.0,bank,,1.0,high qualif/self emp/mgmt,1.0,yes,,good
no checking,,existing paid,new car,,,>=7,,male single,,4.0,life insurance,36.0,,own,1.0,,,none,,good
no checking,,existing paid,,,500<=X<1000,,1.0,,none,,car,32.0,none,own,,skilled,1.0,yes,yes,good
,18.0,,,1131.0,,unemployed,4.0,,none,2.0,car,,,,1.0,skilled,,none,,bad
0<=X<200,,,,1577.0,>=1000,,4.0,female div/dep/mar,none,,,,none,own,,,,,yes,good
,,,furniture/equipment,,<100,4<=X<7,2.0,,none,4.0,life insurance,25.0,none,rent,1.0,skilled,1.0,,,good
,24.0,critical/other existing credit,,,<100,>=7,4.0,male div/sep,,4.0,real estate,31.0,none,,2.0,skilled,1.0,,yes,bad
,15.0,no credits/all paid,new car,950.0,<100,>=7,4.0,,,3.0,car,33.0,,rent,2.0,,,none,yes,bad
no checking,,existing paid,,763.0,,,4.0,,none,1.0,,,none,own,1.0,skilled,,yes,yes,good
0<=X<200,,delayed previously,furniture/equipment,,,,3.0,female div/dep/mar,none,2.0,life insurance,,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
,8.0,existing paid,radio/tv,,<100,1<=X<4,4.0,male single,,,real estate,33.0,none,own,1.0,,,none,,good
<0,21.0,,education,,<100,<1,2.0,male single,none,1.0,life insurance,26.0,,,2.0,skilled,1.0,none,,bad
,30.0,,,7485.0,no known savings,unemployed,4.0,female div/dep/mar,none,,real estate,,bank,,,high qualif/self emp/mgmt,1.0,yes,yes,bad
,,existing paid,,,<100,1<=X<4,2.0,,none,1.0,car,,,,1.0,skilled,1.0,none,yes,good
<0,6.0,critical/other existing credit,,,500<=X<1000,,4.0,male single,,4.0,car,,none,own,2.0,skilled,1.0,,yes,good
no checking,12.0,,,1963.0,<100,4<=X<7,4.0,,,2.0,car,31.0,none,rent,,high qualif/self emp/mgmt,,yes,yes,good
,21.0,critical/other existing credit,,571.0,<100,>=7,,male single,,,real estate,65.0,,own,2.0,,1.0,,yes,good
no checking,,delayed previously,,9572.0,,,1.0,male div/sep,,,car,,,own,2.0,,1.0,none,,bad
0<=X<200,36.0,delayed previously,business,4455.0,<100,,2.0,male div/sep,none,,,30.0,stores,own,,high qualif/self emp/mgmt,1.0,,yes,bad
<0,21.0,all paid,,1647.0,no known savings,1<=X<4,4.0,,none,2.0,life insurance,,,own,,,,none,yes,bad
,24.0,,furniture/equipment,,>=1000,1<=X<4,,male single,none,,real estate,,none,own,1.0,skilled,,,yes,good
0<=X<200,,,new car,,<100,>=7,,male single,none,4.0,,36.0,,own,,skilled,,,yes,bad
no checking,15.0,critical/other existing credit,radio/tv,1360.0,,1<=X<4,,male single,none,2.0,life insurance,31.0,none,own,2.0,skilled,1.0,none,,good
0<=X<200,9.0,,,,,>=7,2.0,female div/dep/mar,none,4.0,,,,,1.0,,2.0,,,bad
,,,,1175.0,<100,unemployed,,male single,none,,car,,none,,3.0,,1.0,,yes,good
,,existing paid,radio/tv,,100<=X<500,4<=X<7,4.0,,none,,,20.0,,own,,,,none,yes,bad
,18.0,no credits/all paid,,,<100,1<=X<4,1.0,,,4.0,,33.0,,,,skilled,1.0,yes,,good
,24.0,existing paid,,4591.0,,1<=X<4,,male single,,3.0,life insurance,,none,,,,1.0,yes,yes,bad
,48.0,no credits/all paid,business,3844.0,,4<=X<7,,,none,4.0,,34.0,none,,,,,none,yes,bad
0<=X<200,27.0,existing paid,business,,,1<=X<4,4.0,male single,none,,,36.0,none,own,1.0,,,yes,,bad
no checking,6.0,,radio/tv,,,,2.0,,,,,29.0,,rent,1.0,,,,yes,good
0<=X<200,,existing paid,,3031.0,,1<=X<4,4.0,,,4.0,life insurance,,none,rent,1.0,skilled,1.0,none,,bad
,9.0,,,1501.0,<100,>=7,,female div/dep/mar,,3.0,,34.0,,own,2.0,,1.0,yes,yes,bad
no checking,,,,1382.0,<100,1<=X<4,1.0,female div/dep/mar,,1.0,car,,none,,,skilled,1.0,yes,yes,good
,12.0,existing paid,furniture/equipment,,100<=X<500,,4.0,female div/dep/mar,none,4.0,car,,bank,rent,4.0,skilled,,none,,bad
0<=X<200,,existing paid,,2760.0,no known savings,,,male single,,4.0,no known property,36.0,bank,,1.0,skilled,1.0,yes,,good
0<=X<200,,delayed previously,furniture/equipment,4297.0,<100,>=7,4.0,male div/sep,none,3.0,no known property,40.0,none,own,1.0,,,yes,,bad
,9.0,critical/other existing credit,education,936.0,500<=X<1000,,4.0,male single,none,2.0,,,none,own,2.0,skilled,,yes,yes,good
,,existing paid,,,<100,,4.0,,none,,real estate,,none,own,1.0,unskilled resident,,none,yes,good
no checking,27.0,,business,5117.0,,,3.0,,none,,,26.0,none,own,2.0,,1.0,none,yes,good
<0,,existing paid,,,<100,,,,none,,life insurance,,,rent,1.0,,1.0,none,,bad
no checking,,critical/other existing credit,new car,1495.0,,,4.0,,none,,real estate,38.0,,own,2.0,unskilled resident,2.0,,yes,good
<0,,critical/other existing credit,,10623.0,,>=7,3.0,male single,,4.0,no known property,,none,for free,3.0,high qualif/self emp/mgmt,,,,good
no checking,,critical/other existing credit,furniture/equipment,1935.0,,>=7,4.0,male single,,4.0,real estate,43.0,,own,3.0,skilled,1.0,yes,yes,good
0<=X<200,12.0,,domestic appliance,,<100,4<=X<7,4.0,,,3.0,life insurance,26.0,,own,1.0,skilled,,none,yes,good
<0,24.0,,,6568.0,<100,1<=X<4,2.0,,,2.0,,21.0,stores,own,,,1.0,none,yes,good
,,existing paid,used car,,>=1000,4<=X<7,3.0,male single,none,,,,,,1.0,,,none,,good
no checking,9.0,critical/other existing credit,radio/tv,,,1<=X<4,,,,2.0,real estate,,,,2.0,skilled,,none,,good
,36.0,,radio/tv,,no known savings,>=7,2.0,,,4.0,,,none,,,unskilled resident,1.0,,yes,good
,27.0,no credits/all paid,,5293.0,<100,unemployed,,male single,none,4.0,life insurance,50.0,stores,own,,,1.0,yes,yes,bad
>=200,30.0,,business,1908.0,<100,>=7,,male single,,4.0,,,none,own,,,1.0,yes,,bad
no checking,36.0,critical/other existing credit,radio/tv,,no known savings,>=7,4.0,male single,,,,51.0,none,own,1.0,skilled,1.0,yes,,good
,6.0,critical/other existing credit,retraining,932.0,no known savings,,,female div/dep/mar,none,3.0,life insurance,,none,own,2.0,unskilled resident,1.0,,yes,good
,18.0,no credits/all paid,business,,,4<=X<7,3.0,male single,none,1.0,,31.0,bank,,1.0,,,,,good
,,existing paid,,3913.0,<100,1<=X<4,2.0,male single,,2.0,real estate,23.0,none,own,1.0,skilled,,,,good
<0,24.0,existing paid,,,,1<=X<4,,male div/sep,,,,,,rent,,,,,,good
no checking,,existing paid,,1364.0,,1<=X<4,2.0,,none,,car,64.0,,own,1.0,skilled,1.0,,,good
0<=X<200,12.0,,radio/tv,,,<1,4.0,male mar/wid,guarantor,,real estate,,bank,,1.0,unskilled resident,,none,,good
<0,,existing paid,education,1200.0,no known savings,1<=X<4,4.0,female div/dep/mar,,,,23.0,bank,rent,1.0,skilled,1.0,yes,yes,good
no checking,,,radio/tv,707.0,,1<=X<4,,male single,none,,,,bank,,2.0,skilled,1.0,,yes,good
,24.0,delayed previously,business,2978.0,no known savings,1<=X<4,4.0,male single,none,4.0,,,none,,,skilled,2.0,,,good
,15.0,existing paid,,4657.0,<100,1<=X<4,3.0,,,,,30.0,,,1.0,,1.0,yes,yes,good
no checking,36.0,no credits/all paid,repairs,,,,4.0,,none,,car,27.0,none,own,2.0,,,,,good
,48.0,existing paid,,10961.0,,4<=X<7,1.0,,co applicant,,,27.0,bank,own,2.0,skilled,1.0,,yes,bad
,12.0,existing paid,furniture/equipment,,,>=7,4.0,male single,,,,,,,1.0,high qualif/self emp/mgmt,1.0,yes,,bad
,,existing paid,radio/tv,1478.0,,,4.0,male single,none,,car,,none,own,1.0,skilled,1.0,none,yes,bad
<0,,,furniture/equipment,3149.0,<100,<1,4.0,male single,,1.0,,22.0,bank,,1.0,,1.0,none,yes,good
,36.0,,radio/tv,4210.0,<100,,4.0,male single,,2.0,,26.0,,own,,,1.0,none,,bad
no checking,,existing paid,,2507.0,500<=X<1000,>=7,2.0,male single,,4.0,no known property,51.0,none,for free,,,,none,yes,good
