bkblk,bknwy,bkon8,bkona,bkspr,bkxbq,bkxcr,bkxwp,blxwp,bxqsq,cntxt,dsopp,dwipd,hdchk,katri,mulch,qxmsq,r2ar8,reskd,reskr,rimmx,rkxwp,rxmsq,simpl,skach,skewr,skrxp,spcop,stlmt,thrsk,wkcti,wkna8,wknck,wkovl,wkpos,wtoeg,class
,,,f,,,,,,,,f,,,n,,f,f,,f,,,,,f,t,,,,,f,,,,,,won
,f,f,,,f,,,,f,,f,,,,,,,,,,,,,,,,,,f,,,,,,,won
,f,,,,f,,,,f,,,l,,,,,,f,f,,,f,,,,f,,,,,f,,f,,,won
,,,,f,,,,,,t,,,f,,,f,f,,,f,,,,,,,,,,,,,,t,,won
,,,f,,,,,,f,,,,f,,,,f,f,,,,,,f,,,f,,,,,,,,,won
f,,,f,,,,,,,,,,,,,,,,,,,f,,,,,,,f,t,f,,,t,,won
,,,t,t,,,,f,,,,,f,,,f,,,,,,,,f,,,,,,t,f,,,,,won
,,,,,,,,,,t,f,,,,,,,,,,f,f,f,,,,f,,,,,f,f,,,won
,,,f,,,,f,,,,,,f,n,,,,,,,f,f,,,,,,,,,,,,t,,won
,,f,f,,,,,f,f,,,,f,,,,,,,,,,,,,,,,,,,,f,,,won
,,f,,,f,,,f,,t,,,,,,,,,,,,,,,,,f,f,,,,,f,t,,won
,,,,,,,,f,,,,,,n,,,,,,f,,,,,,f,f,f,,,f,,,t,,won
,f,,,f,,,f,,,,,,,n,,,,f,,,,,,,,,,,f,,,,,,,won
f,,f,,,,f,,,,,f,,,,,f,,,,,,,,f,,,f,f,,,f,,,,,won
,f,f,f,,f,,,f,,,,,,,,,,,f,,f,,,,,,,,,,,,f,,n,won
,,f,,,,,,,,,f,,,,f,,,,,,,f,t,,,,,f,,,f,,,,,won
,,,,f,,f,,,,,,l,f,,,,,,,,,,,,,,,,,,,,,,n,won
,,,,,,,f,,,t,,l,f,w,f,,,,f,,,,f,f,t,f,f,,,,,f,,,n,won
,,,,f,f,,f,f,,,f,,,w,,f,,,,,,,,f,t,,f,,,,,,t,,,won
,f,,f,,f,,,,,,,,,,,,,f,,f,,,,,,,,,,,,,,,,won
,,,f,,f,,,,,,,l,,,,,,,,,f,f,,,,,f,,,,f,,f,,n,won
f,,,f,f,f,,,,f,,,,,w,,,f,f,,,f,,,f,,,,,,,,,t,,n,won
f,,,,f,,,,,,,,,,w,,f,,,,,,,,,,,,f,,,,,,,,won
,,,f,,f,,f,,f,,,l,,w,,f,,,,,f,,,,t,,,,,,f,,,,,won
,,,,,,,,,,,f,l,,,,,,,,,t,,t,,,f,,,,,,,,,,won
,,,f,f,,,f,,,,,,,,,,f,,,f,t,,,,,,,f,,,,f,,,,won
,,,,,,,,,,t,,,,w,f,,,,,,f,,,,,,,,,,f,,,,,won
,,,f,,,,,,,,,l,f,,f,,,,,,,,,f,t,,,f,f,,f,,,,,won
f,f,,,,,,,,f,,,,f,,,,,,,,,,,,t,f,f,,f,f,f,,t,,n,won
,,,,,f,,,,,,,,,w,,f,,,f,f,,,,,,,,f,f,,,,f,,,won
,,,,,,f,,,,,,,,,f,,f,,f,,,,,f,,,,f,,,,,,,,won
,f,,f,f,,,,,,,,,,,,,,,,,,,t,,,f,,,f,,,,,,,won
,,,,,f,,,,,,,,,,,f,,,,f,,,,,,,,,,,,,,t,,won
,,,f,,,,,,,,,,f,,f,f,,f,f,,t,,,,,,,f,f,f,,,,,n,won
f,,,,,,,,,,,,,,n,,f,,,f,,,,f,,,,f,,,f,,,,,,won
f,,f,,,,t,t,,,,,,,,,,,,,f,f,,f,,,,f,,,f,,f,,,,won
,,,,,,,,,,t,,,,,,,,,,,,,,,t,,,,,,,,,t,,won
,,,,,,t,,,,,,,,,,f,,,,f,f,,,,,,,,,,,f,,,,won
,f,,,,,,,,,,,,f,,f,,,,,,,,f,,,,,,,f,,,t,,n,won
f,,,,,,,,,,,,,,w,,,,f,,,,,f,f,,,,,,,,f,,t,,won
,,,,t,,,t,,,,,l,,,,f,t,,,f,,,,f,,,,,,,f,,,,,won
,,,,,,,,,,,f,,,,f,,,,,,t,f,,,,f,f,f,,,f,f,,,,won
,,,,,,t,,t,,,,,,,f,,,,,,,,,,,f,,,f,,,,t,f,,won
f,f,,,,,t,t,t,,,,,,,,,,f,f,,,,,,,,,,,,,,,,,won
,,f,,,f,t,t,,,,,,,,,,f,,,,,,,,,f,f,,,,f,,,,,won
,,,,,,,,t,f,,,,f,,,,f,,,,,,,,,f,,,,,,,,t,,won
,,,,,,,,,,,,,,,,f,,,,,,,t,,,,,,,,f,f,,,,won
f,f,,,,,,,,,t,,,,w,,,,,,f,,,,,,,,,,,f,,,,,won
,f,,,,,,f,,,,,,f,,f,,,,,,,,,f,,,,f,,,f,,t,,n,won
,,,,f,,,,,,,,,,,,,,,f,,f,f,,,,,,f,,f,,f,,,,won
,,,,,,f,,f,f,,,,,,,f,,,,f,f,,f,,t,f,f,,,,f,f,,,,won
,,,,t,,,,,,,,l,f,,,,,,,,,,,,,f,f,f,,,,,,,n,won
,,,,,,,f,,,,,,,,,,t,,,f,,,,,,,,,,,,,,t,,won
,,,t,t,,,f,,,f,,,,,,,,,f,,,f,,,,,,,,,,f,,,,won
,,,,f,,,f,,,,f,,,n,,,,f,,,,,,,,f,f,f,,,f,,,,,won
,,,,,,,,,,,,,,n,,,,,,,f,f,,,,,,,f,,,,,,,won
f,,,,,,,,,,,,,,n,f,f,,,,f,,f,,,,,,,f,,,f,,,,won
,,f,,,,,f,,,,f,,,,f,,t,f,,f,,,,,,,,f,,,,t,f,,,won
f,,,f,,,,f,,f,,,,,n,,,,,,,,,,,,,,,,,,,t,,,won
,f,f,f,,,t,,,,,f,,,,,f,,,,f,,,,,,,,,,,,,,,,won
,,,f,,,,,f,,,,,,,f,,,,,,,f,,f,t,,,,,,,,,,,won
,,,,,,f,,f,,,,,,,,,t,,,f,,,,,,,,,,,,,f,t,,won
,,,f,,t,,,,,f,,,,,,,,,,,f,,,,,,,,,,,,f,,,won
f,,,t,,,,,,f,,,,,,,,,,f,,,,,,,,f,f,,,f,,,,n,won
,,,,,t,,,,,,,,,,,,t,,,,,f,,,,f,,f,,,,,,,,won
,,,f,,,,,,,,,,,,,,,,,,,f,t,,,,,,,,,,,,n,won
f,,,,,,f,f,,,,,,,,,,,,f,,,,,,,,,f,,,,,t,,n,won
f,,,,f,,,,,f,t,f,l,,n,,f,,,,,,,,,t,,,,,t,,,,,,won
,f,,,,,,,,,,f,,f,,,,,,f,,,,,,,,,,,t,,,,t,,won
,,,t,,t,,f,f,f,,,,f,,,,,,,,,,f,f,t,f,,f,,,,f,,t,n,won
f,,,,,,f,,,,,,,f,n,,,,,,,,,,f,t,,,,,,,,f,t,,won
f,,,f,,,,,,,,,,,n,f,,,,,f,,,f,,,,,f,,,,,,,,won
,,,,,,t,f,f,,t,,,,,,,,,,f,f,,,,,,,,,f,,,,,,won
f,f,,,,,,,f,,,,,,n,,,,,f,,,,,,,,,,,,,,,,,won
f,f,,,,,t,,f,f,,,,f,n,f,,,,,,,f,,f,,,,,,,,,,t,,won
,,,f,,,,,,,,,,,,,,,f,,,,,,,,,,,,,,,,,,won
,f,f,,,t,,,,,,,,,,,,,,,,,,,,,f,f,f,f,t,,,f,,,won
,f,f,,,,,f,t,,,,,,n,,,,f,,f,t,,,,,,,,,,,f,,,,won
,,f,,,,,,t,,,,l,,n,,,,f,,,,f,,,t,,,,,f,,,,,,won
,f,,,,,,,,f,,f,,,,,,,,f,,t,,,,,,,,,,,,f,,,won
,,,,,,,,,f,,f,,,,,f,t,,,,,,t,,,,,,,,,f,,,,won
,,,,,,,f,,,,,,,,,,,,,f,,,,,,,,,,,,f,,,,won
,,,,f,t,,,,,,f,,,,,f,,,f,,,,t,,,,,f,,,,,,,n,won
,,,,,t,,,,,,,,,,f,,,,,,,,,,,f,f,,,f,,,,,n,won
,,f,,,,f,f,,,,,,f,,,,,,,,,,,f,t,,,,,,,,t,,,won
,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,,,,f,,,n,won
,,,,f,,,,,f,t,,l,,,f,,,f,,,,,,,,,f,,,f,,,,,,won
,,f,,,t,,,,,t,,l,,,,,t,f,,,,,,,t,,,,,,,f,,,,won
,f,,,,,,,f,,t,,,f,,,f,,,,f,,,,f,t,,f,,,f,,,t,,,won
,,,,,,t,,,,,,l,,,,,,,,f,f,f,,f,t,f,,,,f,,f,,,,won
,,,,f,,,,f,,,,,,,f,,t,,,f,,f,f,,t,,,f,,t,,f,,,,won
,,f,,,,,,,,,,,f,,,,,,,f,,,,,,f,,,,t,f,,t,,n,won
f,f,,,,,,,,,,,,,,f,,,f,f,,,,,,,,,,,,,,,f,,won
,,,,,,,,,f,,,,f,n,,f,,f,,,,,,,,,,,f,,f,,t,,,won
,,,,,,,,,,,f,,,,,,,,,,f,,,,,,,,,,,,,,n,won
,f,,,f,,,,,f,,,,,,f,,,f,f,,f,f,,f,,,,,,,,,,,,won
,f,,,,,,,,,,,l,,w,f,,,,f,,,,f,,,,,f,,t,,f,f,,,won
,,f,,,,,,,f,,,l,,,,,,f,t,,,,f,f,,,,,f,t,f,,,,,won
,,,,,,,,,,,,,,,,f,t,,t,,,,,,,,,,,,,,,,,won
,,,,,,,,,,,f,l,,,,,,,,,f,,,,,f,,,,,,,,,,won
,,f,,t,,t,,,,,,,,,,,t,,,,,,,,t,,,,,,,f,t,,,won
,,,,,,,,,,,,,,,,,t,,,,,,f,f,,,,,,f,,,,t,,won
,,,,,,,f,,,t,f,,,,,,,,,,,f,,,,,,,,,f,,t,,,won
f,,,,,t,f,,,,t,f,,,,,f,t,f,,,,,,,,,,f,,t,f,,,t,,won
,,f,,f,t,f,,,,t,,,,,,,,,,f,f,,,f,,,,,,t,,,,,,won
,,,,f,,,f,t,f,,,,,,,f,,,,f,,,,,t,,,,,,,,,,,won
f,f,,f,f,,,,,,t,,l,f,,,,t,,f,,,,,,,,,,,,f,f,t,,,won
f,,,,,,,,,,,f,,,,,,,,f,,,,,,,,,,,,,,,,,won
f,,,,,,,,,,,f,,,,,f,t,f,,f,,,,,,,,,,,,,,,,won
,,,,t,,,,,,,,,,,,,t,,,,,,,,t,,f,,f,,,,,,,won
,,,f,t,,,,,,,,l,,,,f,,,f,,,,,,,,,,f,,,,,,,won
,,,,,,t,,,,,f,,,,,,,,f,,,,,,,,,,,,f,,t,,,won
f,,,,,,,,f,,,,,,,,,,f,,f,,,,f,t,,,,,,,,,f,,won
,,,,,,,,,f,,,,,,,,,,f,f,,f,f,,,,,,,,,,,,,won
,,,,,,,f,,,,,,f,,,,t,,f,,,,,f,,f,,,,,,,,,,won
,,,,,,,,,,,,,,,,f,t,,,,,,,,,f,,,,,f,,,,,won
,f,,,,,,f,,,,,,f,n,,f,,,,f,,f,,f,,f,f,,,f,f,,,,,won
,f,,f,,,,,,f,,,l,,n,,,,,,f,t,f,,,,,,,,,,,t,t,n,won
,,,,,t,,,,f,,,,,,,,,,,f,,,t,,,,,,,,,f,,,,won
t,,,,,,,,f,,,,,,,,,,,,,f,f,t,,,,f,f,,,,,,,,won
,,f,,t,,,,,,,,,,,,f,,,,,,,,,,,,,f,,,f,,,,won
,,,,f,,,,f,,t,,,f,,,,t,,,,,,,f,,,f,f,,,,,,f,,won
,,,,,,t,,,f,,f,,,,,,,,,,f,f,f,,,,,,,f,,f,,,,won
,,,,,,,,,,,,,,,f,f,,,,,,f,,,,,,,,t,,,t,,,won
,,,,,,,,,,,,,,,,,,f,,,,,,,,,,,,f,,f,,,,won
,f,f,f,,,f,,,,t,,,,,f,,,,,,,,,f,,f,,,f,,,,,,,won
,,,f,f,t,f,,,,,f,,,,,,t,,,,,,f,f,,,,f,,,,,,,,won
,f,,,,,,,f,,,,,,,f,,,,,,,f,,,,,,,,,,,,t,,won
,,,,,,t,,,,,f,,f,b,,f,,f,f,f,,,,,,,,,,f,f,,,t,n,won
,,,,,,f,f,f,,,,,,,,,,f,,,,,,,t,,,,,,f,,,,,won
,,f,,,,,,f,,,,,,,,,,,,,,,,f,t,f,,f,,,,,,,,won
,f,f,,,,,,,,,,l,f,,,,,f,,,,f,,,,,,,,,,,,,n,won
,,,,,t,t,,,,,,,f,,f,,,,,,,,,,,f,f,,,,,,,,n,won
,,,,,t,,,,,,,,f,,,,,,,,,,,,,,,,,,,f,t,,,won
,f,,f,,,,,,,,,,,w,,,t,,,,,,,,,,,f,,,,,,,,won
,,f,,,,,f,,,,f,,,,f,,,,f,,,,,,,,,,,f,f,,,,,won
f,,,f,,,,,f,,f,f,,,,,,f,,f,f,f,,,,,f,f,,,,,,f,,,won
,,,,,,,,,f,,,l,,,,,,,,,,,,f,,,,,,,,f,f,,,won
f,,,,,,f,,,,,,,,,,,,,,,f,,,,,,f,f,f,,,,,t,,won
,,f,,,,,,f,,,,,,,,,,f,,,,,,,,,,,,,,,,,,won
,,f,f,,t,,,f,,,,,f,,f,,,,,f,,f,,,,,,,f,,,,,,n,won
,,f,,,,t,,,,,,,,,f,,f,f,,,,f,,f,,,,,,,,,,,n,won
,,f,,t,,,f,,,,,,,,,,,,,f,f,,f,,,,,,,,,f,,t,,won
,f,,,,,,,,,,,,,,,,,,f,,,,,f,,,,,,f,,,,,,won
,,f,f,f,,,,,f,,,,,,,,,,f,,,,,,,,,,f,,,,,t,,won
,f,f,f,,,,f,,,,,,,,,,f,f,f,,,,t,,,,,f,,,,,,,n,won
,,,,,t,,,f,,,,,f,,,,,,,,,f,,,,,,,,,,,f,,,won
,,,,f,,f,,,,,,,f,,f,,,,,f,,f,,,t,f,,f,,,,f,,,,won
,,,t,,,,,,,,f,,,n,f,f,,,f,,,,,,,,,,,,,,,,,won
,,f,,,,,f,,,f,,,,,,,,,,,,,,,,,f,,,,,,,,,won
,f,,f,,t,,,,,,,,,,,,,f,f,,,,,,,f,,f,f,,,f,,,,won
,,,f,,,,,,,,,l,,,,f,f,,,,f,,,f,,,,,,,,t,,,n,won
f,,,f,,t,,,,,,,,,n,,,,,,,,,,,,,,,f,,,,,,,won
,,,,,,,,,,,,,f,,,,f,,,f,,,f,,,f,,,,,,,f,,n,won
,,,,,,,,,f,,,,,,,f,,,,f,,,,,,,,f,,,,f,,,,won
,,,,,,,,,,,f,,,,,,,,,,,,,f,,,,,,,,f,,,,won
,,f,,,,,,f,f,,f,l,,,,,,f,,,,,,f,t,,f,,,f,f,f,,t,n,won
f,,,,,,,,,,,,,,n,,,,,,,f,,,,t,,f,f,f,,,,,,,won
,,,,,,f,,,,t,,,,,,,,,,,,,t,,t,,f,,,,,,f,,,won
,,f,,,,,f,f,f,t,,,,,f,,,,,,,,,,,,,,,,,,,,,won
,,f,,,,,,,f,t,,,,,,,f,,,f,,,,,,,,,,f,f,,,,,won
,,,f,,,,,f,,,,,,n,,f,,f,f,f,,,f,,,,,,,,,,f,,,won
,,,,,,,,,,,,,,,,,,,,,,f,f,,,,f,,,,,,,,,won
,,,,,,,f,f,f,,,,,,,,,,,,,,t,f,,,,,,t,,,,,n,won
,,f,,,,,,,,,,,f,,,,,f,,,f,,t,,t,,,,f,f,,f,,,,won
,,,,,,,,,,,,,,n,,,,f,,,,,,,t,,f,,f,,,,,,,won
,,,,,,,,,f,,f,,,n,f,,,,,,,,,,,,,,,,f,,,f,,won
,,,f,,t,,,,,,,,f,,f,,,,,f,,,,,,f,,,,t,,f,f,t,,won
,,,,,,,,,,,,,,,,,,,,,,,,f,,,,f,,f,,,,t,,won
,f,,,t,,t,,,,,,,,w,,,,,,,,,,,t,,f,,,,,,,,,won
,,,f,,,t,,,,,,,,,,f,,,,,t,,f,,t,,,,,,f,,,,n,won
,,,,,t,,,,,,,,,,,,,,,f,,,,,,f,,,f,t,,f,,,,won
,f,,,,t,,,,,,,,,,,,,f,f,,,,,,,,,,,,,,,t,,won
,,,,,,,,,f,,,,,,,,f,,f,,f,,t,,,,,,,,f,,,,,won
,,,,,,,f,,,,f,,f,w,f,,,,,f,,,,f,t,,f,,,f,,,,,,won
,,f,,,,t,,,,,f,l,f,,,,,,,,,,,,,f,,,,,,,,,n,won
,,,f,,,,,,,,,,,,,f,,,,,,f,,,,,f,,,,,,,,,won
,,f,,f,,,,,,t,,l,,w,,,f,,,,,,,,t,,,,,,,,,,,won
,,,f,,,,,,,,,,,,,f,,,,f,,f,,f,,,,,,,f,,,,,won
,,,,,t,,,,f,,,,,,,,,f,,,,,,,,,,,f,,,,,,,won
,,,,,,t,t,,,,,,,,f,,,,,,,,,,,,,,,,,,,,,won
,f,,,t,t,,t,t,,,,,,,,,,,f,,,,,,t,,f,f,,f,,,t,,n,won
f,,,,,t,,,,,,,,,,,f,,,,,,,,,t,,,,f,,,f,,t,,won
,,,,f,t,,t,,,,f,,,,,f,,,,,,,,,,,,f,f,,,,t,,,won
,,,,t,t,t,,t,f,,,,,n,,f,t,,,,,,,,t,,,,,f,,,,t,n,won
,,,,,,,,,f,t,f,l,,,,,,,,f,,,,f,,,f,,f,f,,,,,,won
,,,,,,,t,,,,,,,n,,,,,f,,,,,,,f,,,,f,,,f,,,won
,,,,f,,,,t,,,,,f,,,,,,,f,,,,,,,f,,,,,,,,n,won
,,,,,,,,,,,,,,,,,,,f,,,,,,,,,,,,,,f,,,won
,,,,,t,,t,,f,,,,,,f,,,f,f,,,f,f,f,t,,,,f,,,,,f,,won
,f,f,,,t,,,,,,,l,f,,,,,,f,,,f,f,,t,,f,,f,,f,,,t,n,won
f,,,,,,,t,,,t,,,f,,,,,f,,,,,,f,,,,,,f,,,t,,,won
,,f,,,,,,,,,f,,,,,,,,,,,,,,t,,,,f,,f,f,,,n,won
,,f,,,t,,t,,,,f,,,,f,,t,,,,,,,,,f,,f,,,f,f,t,,n,won
,f,,f,,,,,,,f,,,,n,,,f,f,f,f,,,,,,,,,f,,,f,f,,,won
,,,,,t,,,,,,,,f,,f,,,,,,,,,,,f,,f,,,,,,t,,won
,,f,,f,,,,,,,,,,,f,f,,,,,,,f,,,,,f,,,,,,,,won
,,,,f,,,,,,,,,,,,f,,,,f,,,,,,,,,,f,,,,t,,won
f,f,,,,f,,,,,,,,,,,,,f,f,f,,,,,,,f,,,,f,,,t,,won
,,f,,,,,,,,,,,,n,,,t,,,,,,,,,f,f,,,,,,t,,,won
,,,,,,f,f,,,,,,,,f,,,,,,,,,,,,,,,,,,,,n,won
,,,,t,,,,,f,,f,,,,,,,f,,f,,,,,,f,f,,f,,,,,,n,won
,,,,f,,,,,,,,,,,,,,,,f,,f,t,,,f,,,,,,,,,n,won
,f,,,,,,,,,f,,,,,,,,,,,,f,t,,f,f,,,,,,,,,,won
f,,,,,,f,,,,,,,f,n,,f,,,f,,,,,,,f,,,t,,f,,t,,,won
,f,,,,,,,,,,f,,,,f,,,,,,,,,,,,f,,,,,,,t,,won
,,,f,,,,,,f,,,,,n,,,,,,,,,t,f,,,,,,,f,f,,,,won
,f,,f,,,,f,,f,,,,f,,,,,f,,,,f,t,,,,,f,,,,,,,,won
,,,,,,,,,,,,,f,n,f,,,,,,,,,,f,f,,,,,,f,,t,,won
,f,,,,,,,,,,,,,,,,,,,,f,,,,,,,f,,f,,f,,,,won
,f,,,,,f,,,,,,,,n,,,,,,f,f,,,,f,f,,f,,,,,,,,won
,,,,t,,,,,,f,,,,,f,,,f,f,,,,f,,,,,f,,,,f,t,,,won
f,,,,,,,,,,,,,,n,,,f,,,f,,,,,f,,,,,,f,,t,,,won
,,,,t,f,,,f,,,f,,f,,,,f,,,,,,,,,,,,,,,,f,,,won
,,f,,,f,f,,,,,,,f,n,,,,,f,f,f,,,,,,,,,,,,f,t,,won
f,,,,,f,,,,,,f,l,,n,,f,,,f,,,f,,,,,,,,f,,,,t,,won
,,,,,,,f,,f,,,,f,,,,f,,,,t,,,,,f,,f,,,,f,,,,won
,,f,,,f,,,t,,,f,,f,n,,,,,,,,,f,,,,,,,f,f,,,t,,won
f,f,,f,,f,f,f,,,,,,,n,,,,,,,f,f,,f,f,,,,,,,,,,,won
f,,f,,f,,f,,,,,,,,n,,,f,,f,,f,,,f,,,f,,,,,,f,,n,won
,,,,,,,f,,f,f,f,,,,,f,,,,,f,,,f,f,,,,,,,,,t,,won
f,,f,,,,,,,,,,,f,,,,f,f,,f,,,,,f,,,,,,f,,f,,,won
f,,,,,,t,,,,f,,,,,,,,,,,,,,,,,,,f,,,,,,,won
,,f,,,,,,,f,,f,,,,,,,,,,f,f,,,,f,f,,,,,,,t,,won
,,,,,,,,,,,,,,,,f,,,f,,,,t,,,,f,,,,,,,,,won
,,,f,f,,,,,,,,l,,,,,,,f,f,t,f,,,f,,,,,,,f,t,t,,won
,,f,,,f,,t,,,,,,,,f,,,,,,,,,,,f,,f,f,,f,,,,,won
,,,,,,,,,,,,,,,f,,t,,,f,,,,,f,,f,,,f,f,f,,,n,won
,,,,,,t,,,,f,,,,,,,,,,,,,t,,,f,f,f,,,f,,,,,won
f,,f,,,,,,,f,,f,,f,,f,f,,,,,f,,,,,,f,,,,,,t,,,won
,,,,,f,f,f,,,f,,,,,,,t,,f,f,,t,,,,f,f,,f,,,,t,,,won
,,,,,,f,,,,,f,,f,,,t,t,,,,,,t,,,,,,,,,,,,,won
,,f,,,,,,,,f,f,,,,,,,,,,,f,f,,,,,,,,f,f,,,n,won
,,,,,,,,,,f,,l,,n,,,,,,,,f,,,f,f,,,,,,f,,,,won
