COMPACTNESS,CIRCULARITY,DISTANCE_CIRCULARITY,RADIUS_RATIO,PR_AXIS_ASPECT_RATIO,MAX_LENGTH_ASPECT_RATIO,SCATTER_RATIO,ELONGATEDNESS,PR_AXIS_RECTANGULARITY,MAX_LENGTH_RECTANGULARITY,SCALED_VARIANCE_MAJOR,SCALED_VARIANCE_MINOR,SCALED_RADIUS_OF_GYRATION,SKEWNESS_ABOUT_MAJOR,SKEWNESS_ABOUT_MINOR,KURTOSIS_ABOUT_MAJOR,KURTOSIS_ABOUT_MINOR,HOLLOWS_RATIO,class
,47.0,,,,,,44.0,,,,,,,,,182.0,,van
107.0,,,,66.0,11.0,,,,,222.0,,,,,1.0,,201.0,opel
,,,119.0,,,,53.0,,,,241.0,,,,,182.0,,van
,,,212.0,,,,,22.0,,,,,,,,,,opel
,,,135.0,,5.0,,52.0,,,,,139.0,,,21.0,,,opel
,,70.0,,50.0,,,50.0,,,,,,,,,,,van
,,,,,,,,,,,,,,4.0,,,,bus
,45.0,,,69.0,,184.0,,,145.0,,,,,,,,,bus
,,,,,,,,,,,,,,,,184.0,,opel
,43.0,,125.0,,,,,,146.0,,323.0,,83.0,,18.0,,,bus
98.0,55.0,,,,,225.0,,25.0,178.0,,,,74.0,,,187.0,,opel
86.0,,,164.0,,,,46.0,,,,,,,,,,,van
,,,219.0,,,,,22.0,,208.0,,,74.0,4.0,7.0,195.0,,bus
,,,,,,215.0,31.0,24.0,,,,,,,,,,opel
97.0,,,,,,,,,,225.0,,,,,,,,opel
,,,,,,,,,,,,151.0,,,,,200.0,opel
,,,,,,,,,,135.0,,,,1.0,,,,opel
,42.0,89.0,,,,151.0,,,,,338.0,,72.0,,,,,van
,,103.0,,,,,,,,,,,,,5.0,,198.0,opel
,,,170.0,,8.0,,,,,,,,72.0,,,,194.0,saab
,,62.0,,,,,45.0,19.0,,,,173.0,82.0,2.0,,,,saab
,52.0,94.0,,,,,,,161.0,,666.0,,,11.0,,,191.0,bus
,,,,,,150.0,,,,,328.0,,,,,179.0,,bus
87.0,,,,,,,,,,175.0,,,73.0,,,186.0,,bus
,51.0,,203.0,,,,,,,,,214.0,,,,,,bus
,,,,,7.0,,52.0,,,,,116.0,66.0,,,195.0,,van
,40.0,,,,,,,,135.0,,311.0,,,,,,193.0,opel
89.0,,,,76.0,7.0,150.0,,,,,,,,,,,,bus
,,106.0,180.0,51.0,,,,,,,,,,,,,,bus
,,,141.0,,,,,19.0,,,,,,,,188.0,,van
86.0,,,115.0,,,,,,,,209.0,,,,,,190.0,van
,,,,,6.0,,,,,,,,,,,,,bus
,,,116.0,,6.0,,,,,,,,,,,,184.0,opel
,,,,,,,,,,,,,,,,,,saab
,,,,,,,,,,196.0,,,,,15.0,,195.0,opel
,,100.0,,,,,,,,,,,,,,,,saab
,,,162.0,64.0,,157.0,,20.0,,,,,,,,184.0,,van
,,,,,,,,,,,,,,2.0,,,,bus
,,,211.0,65.0,,,,,,,,,,7.0,29.0,188.0,,opel
,,,,,6.0,,,,,,,,,17.0,13.0,,,saab
,,68.0,,,,150.0,,,,,,,,,,,,bus
,,,,68.0,,,,,,,,,,,,191.0,,opel
,,,,,,,,,,,,,87.0,,,,,bus
82.0,45.0,,,,,,,19.0,144.0,,,,119.0,,1.0,181.0,,bus
,,,,,,,44.0,,144.0,,347.0,,,,,,,van
,,,,,,,,,,154.0,,159.0,,,,,,van
,,,130.0,62.0,,114.0,,,132.0,,,,,,,,194.0,van
,,,,65.0,5.0,,,,,,576.0,167.0,,,,,,bus
108.0,,,,,,220.0,,,168.0,224.0,,,,11.0,,188.0,,saab
,,105.0,209.0,64.0,11.0,,,,,,,,,,,194.0,,opel
85.0,39.0,,,,8.0,,,,134.0,,331.0,133.0,,0.0,,,,opel
,,68.0,,,,,,,,,,,,,,,185.0,bus
,,,199.0,,6.0,,,,,,,,74.0,5.0,,,195.0,bus
,,,,,,144.0,,,,,,,,,,,,van
,,,,64.0,10.0,,,,,,,,,,,185.0,,van
77.0,38.0,,,,6.0,,,,132.0,,,,,,,,,opel
,,,121.0,58.0,,,,,122.0,,192.0,,,,4.0,,,opel
,,,,54.0,,,,,153.0,,351.0,165.0,,,,,,van
,,,,,,,,20.0,,,371.0,,,,13.0,,,van
,,,,,8.0,201.0,,23.0,147.0,,,,,,,,,opel
,,,,,,221.0,,,,,712.0,,72.0,,28.0,,,saab
,,,,56.0,,,,,144.0,168.0,,,,,,,,bus
,,79.0,,,,173.0,,,,189.0,,,,,,,,bus
,,,,,,,,,,,,,79.0,,14.0,,,saab
,,,,,,,43.0,,,,,,,,,183.0,192.0,van
,,,,63.0,,,,,,,319.0,,,,0.0,199.0,,van
,,,130.0,57.0,,,,,,137.0,,,,,,,,saab
,,,,,,,,,,,307.0,,,,,,,van
90.0,,80.0,,,,,,20.0,156.0,,,,,,,,,van
,,70.0,148.0,,,,,,,,,,76.0,,,,,bus
,41.0,,,65.0,,,,19.0,,,,,,6.0,,,,bus
97.0,,88.0,,,,,,,,,,,,,12.0,192.0,,van
,48.0,,,,,,,,150.0,216.0,,,,,,192.0,,bus
100.0,,104.0,,,9.0,,,,,,578.0,,73.0,,,,197.0,saab
,,,,,,,,,,,,,66.0,0.0,32.0,,,saab
,42.0,,,59.0,9.0,186.0,,,138.0,,,,,7.0,,,,saab
98.0,,,,,7.0,,,,,,,,,,,,,van
,54.0,,,53.0,,,31.0,,173.0,,,,,,,,,opel
,,,,,,,,,,,,,,,,,,van
,,,,,,,,,,170.0,,,,3.0,,,,van
,,64.0,,,,,,,,,,,,,,,,van
88.0,,,,,,,,,,,,145.0,,,,,188.0,saab
,,,,,,148.0,44.0,,145.0,,331.0,,,,5.0,,,van
,,80.0,,,,,,,,,,,,,18.0,,,saab
,42.0,,,,,149.0,,,,,,,,,,,182.0,bus
106.0,,107.0,,,,,31.0,,,,,,,,39.0,,206.0,opel
80.0,,,,,,,,,,,,,,,,179.0,183.0,bus
,,,,,,,,,,188.0,,,,11.0,,,,opel
,,,218.0,,12.0,,,,,,,199.0,,,,189.0,,opel
,,85.0,,,,,,,163.0,,,,71.0,,,,,van
,40.0,,,,,149.0,,,135.0,,,144.0,,,,,,bus
,43.0,,,,,154.0,,19.0,,,,,61.0,,,,,saab
93.0,,64.0,,,,136.0,49.0,,,,,127.0,,,,,,van
104.0,,96.0,,65.0,10.0,,,,,,,195.0,65.0,,,,,saab
,,,,,,,,,145.0,,,,,,22.0,,,bus
,,,172.0,,,,,19.0,,,,125.0,,,,,,opel
,,106.0,,,,,,,,,,,,,,,,saab
89.0,,79.0,,64.0,,,,,139.0,168.0,,,71.0,,,,197.0,van
110.0,,,,,,,,27.0,169.0,,,239.0,85.0,4.0,6.0,184.0,,bus
,,,,55.0,,,,,,,,,,,,,,opel
,,70.0,,,7.0,,,,,156.0,,,74.0,,,,,van
,,74.0,,58.0,,151.0,44.0,,,,,,,1.0,,,,saab
,,,,,,,,,,,,,,,,193.0,,opel
,,,,,,133.0,,,,,,,87.0,,,,,opel
,52.0,,,,,,,23.0,,,,,,17.0,2.0,,,opel
,,,,,,,,,,,,,,,,,205.0,saab
,,72.0,,59.0,,,,18.0,,,,,,,,191.0,,saab
,,,,,,,,,172.0,,,,,,,,,opel
,54.0,,,57.0,,,,,,220.0,,198.0,,,,,,opel
,36.0,,,,,153.0,,19.0,,,,124.0,,,19.0,,,saab
,,,,,12.0,213.0,,,,,674.0,,,,2.0,,,saab
,,,139.0,,,,,,,169.0,,,,,1.0,,,bus
,,,,,,,,,,,,,,,,,,van
108.0,,,,,,,,,,,,,,,,,,opel
,,,,,,247.0,,,,,,,85.0,,,,183.0,bus
,,,,,,,,,,,,179.0,,,,194.0,,van
,,,,,6.0,,31.0,,,,,210.0,,,,,189.0,bus
,,,,63.0,,156.0,44.0,20.0,,,,,,,15.0,,195.0,van
,,,,73.0,,,,,134.0,,,,,,,,,bus
,,,,60.0,,177.0,,,,,,145.0,,,,,,opel
,44.0,,,,,,,19.0,,166.0,,,,11.0,1.0,,,bus
,,,,,,151.0,,,,,,135.0,,,,,,bus
,,,,,6.0,,,,,,,,,10.0,,,,van
,,,,,,,,,,228.0,638.0,,,,,,,saab
,,,,,,123.0,,,,141.0,,,,,,,,opel
,,,,,,,,,,,325.0,,,,0.0,,,bus
,,,,57.0,4.0,,59.0,17.0,,,,,,,,,,saab
,,,,,,203.0,33.0,,,,,210.0,,,,,,saab
100.0,41.0,,,,,,,,,,,,,,,,,bus
,42.0,81.0,,,,,,,137.0,184.0,434.0,,68.0,,,,,bus
,,,166.0,,,,,20.0,,,,,69.0,,,,196.0,opel
101.0,,,,,,,,,,,,,,,,,,opel
,,,,,,,,19.0,,,367.0,,,1.0,,,,opel
,,,,,9.0,,,,,,,,,,11.0,,,opel
,,,,,,,,,,,,,,0.0,13.0,,,van
,,76.0,,,,149.0,,,,,335.0,,,,,189.0,,saab
,,98.0,,,,240.0,,,,,866.0,,,,1.0,,,bus
,37.0,,,,,,,,,,373.0,,,,,190.0,,saab
,,66.0,,,7.0,,,,142.0,,,,,,14.0,,,bus
107.0,,,,,,,,25.0,,,,,71.0,,,189.0,,saab
,,,,,,,,19.0,,181.0,,,,,16.0,,,bus
,,,,,,,,,149.0,172.0,,,,,,,,bus
,,,,61.0,,,46.0,19.0,143.0,,,,,6.0,,,,bus
,,,,,,,,,,,355.0,178.0,,7.0,,,,van
,,,,60.0,,,,19.0,128.0,,,,,,,,204.0,saab
111.0,,103.0,171.0,,,221.0,,,,,,,,15.0,,,,opel
103.0,,,,,,,,,,,666.0,,,,14.0,,,opel
,,,137.0,,,,,,,,,,,,,,,van
,,,149.0,,,,,,,,,,,,,,,van
92.0,,79.0,,,,162.0,41.0,20.0,,,396.0,,,,10.0,,,opel
,,,,,7.0,,46.0,,,,,,,1.0,,,182.0,bus
,,,,,8.0,,45.0,,,,,,,,,183.0,,bus
101.0,56.0,,,,,,,,,,,,,,,185.0,,opel
,,,,,,172.0,38.0,,,,,,,,,,,opel
,,,,,,138.0,48.0,,,163.0,284.0,,,,,,,van
,,,,,,150.0,,,,175.0,,157.0,,,,192.0,197.0,bus
104.0,,,,,,,,24.0,,,,,,,23.0,,,bus
,36.0,,,,7.0,,,18.0,,,,,,1.0,,,,opel
,39.0,,,,,,,,,,,,,1.0,,,,opel
,,,,,5.0,,,,,,,,,,,,187.0,saab
,,,,,,,,,,,,,73.0,,,186.0,196.0,opel
,44.0,,,,,,,,,,,180.0,74.0,,,185.0,,bus
,,,,,,,,,,,,,,,,,,van
,,,,,13.0,,,,,225.0,,,,,,,,opel
,,,,56.0,,,,,155.0,,363.0,,,,,,195.0,van
,,,,67.0,,186.0,,22.0,,,531.0,,,,,,,bus
81.0,44.0,,,,,,,19.0,,,,,,,,,186.0,bus
,41.0,,,,,,,,,,274.0,,74.0,,,,,saab
,,,,,,,,,,,,134.0,67.0,,,,,van
,,,,,,,,,,,704.0,,,,,,,saab
,,,147.0,,,,,,127.0,,,,,,,,201.0,van
,,,215.0,68.0,,,,,,217.0,,,69.0,,,189.0,199.0,saab
,,,,,,,,,,,,,,,,182.0,,saab
85.0,,,,,,,,17.0,,,,,89.0,,9.0,,184.0,van
,,,,,,,61.0,,,,,127.0,,,,,,saab
,44.0,,,,6.0,151.0,,,,170.0,,,,4.0,,,183.0,bus
,,,,,,,,,,220.0,,197.0,,,22.0,,,saab
,,,,,,,,,,,268.0,,,7.0,,192.0,,van
,,,,,,160.0,43.0,,167.0,,366.0,,,,14.0,,,van
,,,199.0,,5.0,,,,,,,,,,,,,bus
85.0,,65.0,,,,,45.0,19.0,145.0,,,,81.0,,,,,bus
100.0,,,,,,222.0,30.0,,,,731.0,,,,,188.0,,opel
,,,,,,153.0,,,,,,,,,10.0,183.0,,bus
,,77.0,,,,,,,,,,126.0,63.0,5.0,,,205.0,opel
,,73.0,,,,159.0,,20.0,,,379.0,188.0,65.0,11.0,,195.0,201.0,opel
,,,,58.0,,,,,144.0,,320.0,,,,,,,bus
,,,,69.0,,,,,,229.0,684.0,,,2.0,,,,saab
,47.0,,,,,,,,,168.0,,,,,7.0,,,van
,41.0,,,,7.0,,,,141.0,164.0,,149.0,,,,184.0,,van
,,,,,,,,,,184.0,,,,,,,,bus
,,,,,,,,20.0,,,,142.0,,,,,,saab
,,,,,,,,,,,673.0,,,,,,,opel
,,53.0,,,,116.0,,,121.0,,,,,,,,,saab
,38.0,,,,,,,,,,,140.0,,,,184.0,,van
,,,230.0,,,,,25.0,,231.0,,,,,4.0,,,opel
,,,140.0,58.0,,156.0,,20.0,,,349.0,,,5.0,,,,van
94.0,,68.0,,67.0,,,,18.0,,,310.0,177.0,,,8.0,,203.0,bus
,,,,,12.0,,,,,,,,,,,184.0,,van
,,,,,11.0,214.0,,,,,676.0,,,,,191.0,,saab
,,77.0,,,7.0,155.0,,,,,,,,,,,,saab
,43.0,69.0,,,,,44.0,,,,,,,,,,203.0,opel
,,,,,10.0,201.0,,23.0,,,,,,,,,,saab
,,,208.0,,,,,,,,,,,,,,,opel
,,54.0,118.0,,,,,,127.0,,,,,,,,,saab
91.0,39.0,88.0,,63.0,,,,,,,,156.0,,,,191.0,,saab
,40.0,,,,,,,,,143.0,,,,,,,,van
,35.0,,,58.0,,,53.0,,,147.0,,,,,,199.0,207.0,van
,,,,,,,,,,202.0,,,,,,,,saab
,,,,,,,45.0,,,171.0,,,,,,,187.0,bus
,42.0,,,,,,,,,175.0,,,,5.0,4.0,,,bus
,,81.0,187.0,,9.0,,,,,,,,,,,,,saab
,,,,,,,,,,,212.0,,,,,200.0,,van
,,,,,,,,,,,,,,,,,,van
,,,,,,148.0,,,144.0,,,,,,0.0,,,bus
93.0,,,,,7.0,,,,151.0,197.0,,,,,,,,saab
,,,,61.0,9.0,,,,,,,,,,,,,van
96.0,,,,,,146.0,,19.0,,,,161.0,,,,,,van
,,,,,,,,,,275.0,,,,2.0,,,,bus
,,,,,,,,19.0,,,,,,,,,,bus
,,,,,,,45.0,,,,327.0,,,,,,,bus
,,,129.0,55.0,7.0,,,,,,,165.0,,3.0,,,187.0,opel
,,109.0,,,,,31.0,,,,,212.0,,,32.0,,,saab
,,73.0,,,,154.0,42.0,,127.0,,,,,,,,,bus
100.0,,,,,,,,,,202.0,521.0,,,,,,,opel
,,,,,7.0,,,19.0,143.0,,,,,,11.0,185.0,,bus
,,,125.0,,,151.0,,,,,,,82.0,,11.0,,184.0,bus
,,,,,,,31.0,,,231.0,692.0,,67.0,,,,,saab
89.0,,,125.0,,,,,,,,,,,7.0,,,,van
,,,,,,,,,,,,,64.0,,5.0,,,saab
,,,,65.0,,,46.0,19.0,,,309.0,147.0,71.0,,12.0,,,bus
,,,136.0,,,,,19.0,,,,164.0,73.0,6.0,,,,van
96.0,,,,69.0,10.0,,,,,,598.0,200.0,,,,,,opel
,37.0,,132.0,,,,,,,,265.0,144.0,83.0,16.0,,,184.0,saab
,,,,,,,,18.0,,160.0,,123.0,69.0,,12.0,,,van
,,,,,,155.0,,,,,,,,,17.0,,192.0,van
87.0,42.0,,,65.0,,,42.0,,138.0,184.0,362.0,,76.0,,,189.0,,bus
,36.0,,,,,,,18.0,,,,,,3.0,27.0,,,van
,55.0,,169.0,51.0,6.0,,,,165.0,265.0,,,,,,,183.0,bus
90.0,,,164.0,,,,43.0,19.0,,,,,,,,,204.0,bus
,,,,,,,,22.0,,212.0,570.0,221.0,,4.0,,194.0,,bus
,,,,54.0,,,,,,,,142.0,72.0,,,183.0,,saab
,,,,,9.0,,,,,,,,,,,195.0,,saab
,,,171.0,61.0,,,,21.0,,,,,,,,,,bus
,53.0,,193.0,,,,31.0,,169.0,,,,,,,,,saab
,,,,,7.0,,,,,,,,68.0,15.0,2.0,,,opel
,37.0,,,,,,,,133.0,,385.0,,70.0,,,200.0,,bus
89.0,,,,,,,50.0,18.0,,153.0,,,,6.0,,,,van
,,,,,,,45.0,,146.0,,,,,,,181.0,,bus
,,,152.0,63.0,,,,19.0,,,,,,,,,,bus
106.0,48.0,107.0,,61.0,10.0,207.0,,,,,,,,,28.0,,,saab
,52.0,,,,,,,,,,676.0,,,,,,,opel
,51.0,100.0,,,10.0,,,,,,,,,,,196.0,,opel
,,,,62.0,10.0,,,,158.0,,,,,,,195.0,,opel
,,,188.0,,,,,,,,,,,6.0,,,,saab
93.0,45.0,83.0,,,,,,,,,364.0,,,1.0,,,197.0,van
,,70.0,,64.0,,,,,,,328.0,152.0,72.0,,,,,bus
,,104.0,222.0,,,198.0,33.0,,,,589.0,,,,,192.0,201.0,opel
90.0,,,,,7.0,,,,142.0,,,,81.0,,,,,bus
93.0,40.0,,,,,,52.0,,,,,,,,,,184.0,van
,,,,,,126.0,,,,,,,,,,,194.0,van
,,,,,,,,,,202.0,,,,7.0,32.0,,,saab
,,,,,,120.0,,,,,,,,,,181.0,,van
,,,,,,220.0,30.0,,,,,,,,,188.0,,bus
,,,,,,221.0,30.0,25.0,,,,,,0.0,,,,saab
,57.0,,194.0,56.0,,,26.0,,,,,,,,,,,bus
87.0,,,,56.0,,149.0,,,,,,,,,,,,bus
98.0,51.0,,,66.0,,,,22.0,,,533.0,,,,,,,saab
,,,,,,,,21.0,,188.0,,,,2.0,,,204.0,saab
,44.0,,,,7.0,,,19.0,,,,,,,4.0,,,bus
,49.0,,201.0,,,,,,,,,,,19.0,,,209.0,opel
,,,136.0,,,,,,,,,,,,,,,opel
,,,,,,,,,,,,,,2.0,,,,van
,,80.0,169.0,,,,,,,,389.0,,,,,192.0,,saab
,,,160.0,63.0,,,,18.0,,160.0,300.0,,,19.0,,,,van
,,,,,,,35.0,,,,530.0,,67.0,,,193.0,,opel
,,,220.0,,,221.0,,25.0,,,,,,,,,,opel
,,65.0,,,7.0,,,19.0,,171.0,,172.0,85.0,,,,,bus
,,,,55.0,,,28.0,26.0,,,,,,,,,187.0,bus
,,,,,,222.0,,,,,,,71.0,,,,,saab
,,,,54.0,10.0,,,,,,,,,,,184.0,193.0,van
,51.0,,188.0,,5.0,,,,,,,,,,26.0,191.0,190.0,bus
,,,,,,,,,,,,,,,,,,van
,,,158.0,,,,,,,,,,,,8.0,,194.0,bus
89.0,,,,,7.0,,,,,,,,,,,,,bus
,,,146.0,,,,,,,,290.0,,,,,,,opel
,,,131.0,,,,,,,,,141.0,,3.0,6.0,,,saab
102.0,,,,,,,,25.0,171.0,,728.0,,,,6.0,189.0,,opel
,,101.0,,,,,,25.0,178.0,,,,74.0,,,,,opel
,,,,57.0,,,,,,,,,,,,185.0,,bus
,52.0,,,65.0,12.0,,,,163.0,,668.0,,,,,,,saab
,,,167.0,,,,,19.0,145.0,,,,,,,,208.0,opel
95.0,44.0,,,,,,,,,,,,64.0,,6.0,,,van
,,,,58.0,,132.0,50.0,,137.0,155.0,260.0,,61.0,,6.0,,,opel
,,,,,,,,,151.0,,,,66.0,,,,,opel
,,,,,,,,,,,,,,,0.0,180.0,,saab
,,,,,,,45.0,,152.0,168.0,,,,,,,,van
81.0,,,,64.0,,,44.0,,147.0,,,,75.0,,,,,bus
,,90.0,,63.0,9.0,177.0,,21.0,,,,,,,,,201.0,saab
,,,,62.0,10.0,,36.0,,141.0,,504.0,,70.0,,,,,opel
,,,,,,150.0,44.0,,,,340.0,,,,,,201.0,bus
,,109.0,193.0,,,,,,,,,,,13.0,,191.0,,saab
,,,,60.0,8.0,,,,,,,,,,2.0,,,opel
,,,206.0,,,186.0,35.0,22.0,156.0,,,176.0,,3.0,,,,opel
,,,,,,216.0,,,171.0,,687.0,,,,,,,saab
,,,,,,,,,150.0,213.0,578.0,,,,,,,saab
,,,,,7.0,,,,,,,,67.0,,,,,saab
,,,,,,,,,,,,,,,,186.0,,van
,,,153.0,,,,44.0,,,181.0,,,,,,,189.0,opel
108.0,54.0,,,,,,,,,,,,,,,190.0,,saab
,,,,,,,43.0,,,179.0,,,,1.0,5.0,,,van
,37.0,,134.0,,,,,,,,,,82.0,,,,,saab
,,68.0,,,,,,,,,,180.0,,5.0,,,,bus
89.0,,,156.0,57.0,8.0,,,,,,,,,9.0,15.0,,193.0,opel
96.0,,,,,5.0,177.0,36.0,,,,485.0,,,,,,,bus
97.0,,,,71.0,,,40.0,,144.0,178.0,,,,,,,,bus
,,87.0,,64.0,,,,20.0,,,,,,,,,,van
,47.0,77.0,,,6.0,167.0,38.0,,,,429.0,,,6.0,,199.0,,bus
,36.0,,,,,,,,,,205.0,,,9.0,,180.0,,van
,52.0,95.0,,,,,29.0,,,,,217.0,82.0,0.0,19.0,,186.0,bus
,,108.0,,59.0,,,31.0,,,,,,,,,,,saab
,,60.0,132.0,,,,,,,,243.0,,,1.0,,,192.0,saab
,,54.0,,53.0,,,,18.0,126.0,,229.0,,,1.0,,,,saab
,,,209.0,,,217.0,,,,,,,,,,,,opel
,,,,,,,49.0,,,,,,,,,179.0,,opel
106.0,,,,,,,,,,,,,88.0,,11.0,182.0,,bus
,,,,61.0,,,,19.0,,,,,,,,,187.0,bus
,,109.0,,,,,30.0,24.0,,,,,,,,,,opel
,,71.0,,,,,,,,,,,68.0,,,,,opel
,,,159.0,,,,,20.0,,,,,,,,,,van
99.0,,,,,,,,,,,,166.0,,,,,,saab
,47.0,,,,,,,19.0,,,,184.0,73.0,4.0,,,,van
94.0,,,,,,,43.0,,155.0,,,,,,,188.0,,van
100.0,,107.0,,,,227.0,30.0,,,,,205.0,,,,,,opel
,,,,,,152.0,,,,,,171.0,85.0,4.0,,179.0,183.0,bus
,,,160.0,,25.0,,,,,,,,,,,,,van
,,,,65.0,,153.0,,,,,,,,,,194.0,203.0,van
,,,,,,,,,,176.0,,,,,,188.0,194.0,bus
,,83.0,,,7.0,,,,,205.0,,,70.0,,2.0,189.0,,saab
,,,169.0,,,,,,,,,,,,,,,opel
108.0,,,,,,256.0,,,,,,261.0,,,2.0,,,bus
89.0,41.0,75.0,,,,,,,,,,,,,,,,bus
,38.0,,186.0,,,,,,136.0,,,,,3.0,,,,bus
,,,,,,,,,,,,,,7.0,,,,van
,53.0,,,,,,32.0,23.0,,,,202.0,,21.0,22.0,,,saab
,37.0,80.0,158.0,,,,,,,,,,,,,,,opel
,,,,53.0,10.0,,,,,,,,74.0,,,,,opel
,,,,,,,,,,161.0,,124.0,,,3.0,,208.0,van
,,,,62.0,,200.0,,23.0,,215.0,,164.0,,,,,202.0,opel
88.0,,,,,,,44.0,,,,,,69.0,,20.0,,,bus
80.0,,,,,,,,18.0,,,259.0,,,,,,,opel
,,,136.0,,,,,,,,,149.0,,,,186.0,,saab
,,,155.0,,,,,,,,,,,5.0,,,,bus
86.0,38.0,,,,,170.0,,,,191.0,,,,1.0,,,,saab
,,,188.0,64.0,,161.0,,,151.0,,,,,,,194.0,,saab
,,,116.0,,4.0,,57.0,,,,,,84.0,,12.0,,,opel
,43.0,71.0,,,,,,19.0,146.0,,,176.0,,,,,,bus
,,,,,,140.0,,18.0,,,,,,,,,,opel
,,,,,,159.0,43.0,20.0,,,,,,,,,,van
101.0,,,,,,216.0,,,,,685.0,,68.0,,,,,opel
,,,,,,,,,,,,,,,,,199.0,bus
,,,,,,,43.0,19.0,,,341.0,,,0.0,,,,bus
,,,,,,,,,145.0,,,,,6.0,,,,bus
,,,144.0,,,,50.0,,,,,125.0,,,20.0,,,saab
,,58.0,117.0,,6.0,,,,,,,,,,,,,van
,,,,,,,,,152.0,,,,,,,,,opel
90.0,,,158.0,,,,,,,,,117.0,,1.0,,,,saab
,45.0,,,,,,,,,,,,,,,,,bus
