checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
>=200,18.0,existing paid,new car,1961.0,<100,>=7,3.0,,none,2.0,car,,none,own,1.0,,1.0,none,yes,good
<0,36.0,critical/other existing credit,furniture/equipment,6229.0,<100,<1,4.0,female div/dep/mar,co applicant,4.0,no known property,23.0,,rent,2.0,unskilled resident,1.0,yes,,bad
0<=X<200,9.0,existing paid,,1391.0,,,2.0,,none,1.0,real estate,27.0,bank,own,1.0,skilled,1.0,yes,,good
0<=X<200,15.0,critical/other existing credit,,1537.0,,>=7,,male single,guarantor,4.0,real estate,50.0,none,own,2.0,,1.0,yes,yes,good
0<=X<200,,no credits/all paid,business,1953.0,<100,>=7,,male single,none,,,61.0,none,,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
0<=X<200,,no credits/all paid,business,14421.0,<100,1<=X<4,,male single,,2.0,car,,none,own,1.0,,1.0,yes,,bad
no checking,,existing paid,radio/tv,3181.0,,<1,4.0,female div/dep/mar,none,4.0,life insurance,,none,own,,skilled,1.0,yes,,good
no checking,27.0,existing paid,repairs,5190.0,no known savings,>=7,4.0,male single,none,4.0,life insurance,48.0,,,4.0,skilled,,yes,yes,good
no checking,12.0,existing paid,radio/tv,2171.0,<100,<1,2.0,female div/dep/mar,,,,29.0,bank,own,1.0,skilled,1.0,none,yes,good
,12.0,existing paid,new car,1007.0,,,4.0,,none,1.0,real estate,,none,own,,skilled,1.0,none,yes,good
no checking,36.0,,education,,<100,1<=X<4,4.0,male single,,4.0,no known property,37.0,stores,for free,1.0,skilled,1.0,yes,yes,bad
no checking,,existing paid,radio/tv,,no known savings,1<=X<4,4.0,,none,,car,25.0,none,own,1.0,skilled,1.0,none,yes,good
,36.0,existing paid,used car,,<100,1<=X<4,1.0,female div/dep/mar,none,2.0,life insurance,30.0,bank,own,1.0,skilled,1.0,none,yes,good
no checking,,,radio/tv,730.0,,,4.0,,none,2.0,life insurance,46.0,none,rent,2.0,unskilled resident,,yes,yes,good
<0,,,other,1164.0,<100,,3.0,,,4.0,no known property,51.0,bank,,2.0,,2.0,yes,,good
0<=X<200,42.0,critical/other existing credit,,5954.0,<100,4<=X<7,2.0,female div/dep/mar,none,1.0,real estate,41.0,bank,own,2.0,unskilled resident,1.0,none,yes,good
<0,,existing paid,education,,no known savings,>=7,4.0,male single,none,,no known property,40.0,none,own,1.0,high qualif/self emp/mgmt,,yes,yes,bad
<0,12.0,critical/other existing credit,used car,1526.0,<100,>=7,4.0,,none,4.0,no known property,66.0,,for free,,high qualif/self emp/mgmt,1.0,,yes,good
<0,,existing paid,,3965.0,,,4.0,male single,none,3.0,car,34.0,none,own,,skilled,1.0,,yes,bad
0<=X<200,11.0,delayed previously,radio/tv,,<100,4<=X<7,2.0,male single,none,4.0,,51.0,none,own,1.0,skilled,1.0,none,yes,good
,,,,9436.0,no known savings,1<=X<4,2.0,male single,none,2.0,life insurance,39.0,none,own,1.0,unskilled resident,2.0,none,yes,good
0<=X<200,,existing paid,,,,,2.0,male mar/wid,none,1.0,life insurance,22.0,none,own,1.0,skilled,1.0,none,yes,good
no checking,24.0,existing paid,radio/tv,,no known savings,,1.0,female div/dep/mar,none,,,44.0,,own,2.0,skilled,1.0,yes,,bad
no checking,15.0,existing paid,,1213.0,500<=X<1000,,4.0,male single,none,3.0,life insurance,47.0,stores,own,,skilled,1.0,yes,yes,good
no checking,18.0,,business,1568.0,100<=X<500,1<=X<4,,female div/dep/mar,none,4.0,life insurance,,none,rent,1.0,,1.0,none,yes,good
<0,24.0,,other,,<100,>=7,4.0,female div/dep/mar,,4.0,real estate,58.0,,own,,unskilled resident,1.0,,yes,good
,10.0,existing paid,radio/tv,2315.0,<100,>=7,3.0,male single,none,4.0,,52.0,none,own,,,1.0,none,yes,good
no checking,12.0,critical/other existing credit,business,1412.0,<100,1<=X<4,4.0,female div/dep/mar,guarantor,2.0,,29.0,none,own,2.0,high qualif/self emp/mgmt,1.0,yes,yes,good
0<=X<200,18.0,critical/other existing credit,,1295.0,<100,<1,4.0,female div/dep/mar,none,1.0,life insurance,,,own,,skilled,1.0,none,yes,good
0<=X<200,36.0,existing paid,education,12612.0,100<=X<500,1<=X<4,1.0,male single,none,4.0,no known property,47.0,none,for free,1.0,skilled,2.0,yes,yes,bad
<0,18.0,existing paid,new car,2249.0,100<=X<500,4<=X<7,4.0,,none,,car,30.0,none,own,1.0,high qualif/self emp/mgmt,,yes,yes,good
<0,12.0,,repairs,1108.0,<100,4<=X<7,4.0,male single,,3.0,,28.0,none,own,2.0,skilled,1.0,,yes,bad
no checking,12.0,critical/other existing credit,radio/tv,618.0,<100,>=7,4.0,male single,none,4.0,real estate,,none,own,,skilled,,none,,good
<0,12.0,critical/other existing credit,used car,1409.0,<100,>=7,4.0,male single,,3.0,real estate,54.0,none,own,1.0,skilled,1.0,none,yes,good
no checking,12.0,critical/other existing credit,,797.0,no known savings,>=7,4.0,female div/dep/mar,none,3.0,,33.0,,,,unskilled resident,2.0,none,yes,bad
>=200,24.0,critical/other existing credit,,3617.0,no known savings,,,male single,,4.0,no known property,20.0,,rent,2.0,skilled,1.0,none,yes,good
,,existing paid,new car,1318.0,,>=7,,male single,none,4.0,,54.0,none,own,1.0,,1.0,,yes,good
,54.0,no credits/all paid,business,15945.0,<100,,3.0,male single,none,4.0,no known property,,none,rent,,skilled,,yes,,bad
no checking,12.0,critical/other existing credit,education,2012.0,no known savings,4<=X<7,4.0,female div/dep/mar,none,2.0,car,61.0,none,own,1.0,skilled,1.0,,yes,good
,18.0,existing paid,business,2622.0,,1<=X<4,4.0,male single,,4.0,car,,,own,1.0,skilled,1.0,,,good
,,critical/other existing credit,radio/tv,2337.0,<100,>=7,4.0,male single,,4.0,real estate,36.0,none,,,,1.0,none,yes,good
0<=X<200,20.0,delayed previously,used car,7057.0,no known savings,4<=X<7,3.0,male single,none,4.0,life insurance,36.0,bank,rent,2.0,high qualif/self emp/mgmt,,,yes,good
,24.0,,new car,1469.0,100<=X<500,>=7,4.0,male mar/wid,none,4.0,real estate,41.0,,rent,1.0,unskilled resident,1.0,none,yes,good
0<=X<200,36.0,existing paid,,2323.0,,4<=X<7,,,none,4.0,car,,none,rent,1.0,skilled,,,yes,good
no checking,6.0,delayed previously,,932.0,<100,1<=X<4,3.0,female div/dep/mar,none,2.0,real estate,24.0,none,own,1.0,,1.0,,yes,good
0<=X<200,9.0,critical/other existing credit,,1919.0,<100,,,,none,,car,35.0,none,,1.0,,1.0,yes,yes,good
no checking,12.0,existing paid,used car,2445.0,,<1,2.0,male mar/wid,none,4.0,car,26.0,none,rent,1.0,skilled,1.0,yes,yes,good
0<=X<200,24.0,,,11938.0,,1<=X<4,2.0,male single,co applicant,3.0,car,39.0,none,own,2.0,high qualif/self emp/mgmt,2.0,yes,,bad
no checking,18.0,all paid,new car,6458.0,<100,>=7,2.0,male single,none,4.0,no known property,39.0,bank,own,,high qualif/self emp/mgmt,2.0,yes,yes,bad
0<=X<200,,existing paid,new car,6078.0,<100,4<=X<7,2.0,male single,none,,,32.0,none,own,,skilled,1.0,,yes,good
<0,,,,7721.0,no known savings,,,female div/dep/mar,none,2.0,,30.0,none,own,1.0,skilled,,yes,no,good
0<=X<200,,,business,1410.0,,>=7,,,none,2.0,real estate,35.0,none,own,1.0,skilled,,yes,,good
0<=X<200,6.0,delayed previously,,,,>=7,1.0,,none,,car,,bank,own,,skilled,2.0,none,yes,good
,15.0,existing paid,education,392.0,,,,female div/dep/mar,none,4.0,life insurance,23.0,none,rent,1.0,skilled,1.0,,yes,good
,18.0,existing paid,new car,6260.0,<100,,,male single,none,3.0,,28.0,none,rent,1.0,unskilled resident,,none,yes,good
,36.0,critical/other existing credit,,7855.0,<100,1<=X<4,4.0,female div/dep/mar,,2.0,real estate,25.0,stores,own,2.0,skilled,1.0,yes,yes,bad
<0,12.0,existing paid,radio/tv,1680.0,500<=X<1000,>=7,3.0,male mar/wid,none,1.0,real estate,35.0,none,own,,skilled,1.0,none,,good
no checking,48.0,critical/other existing credit,radio/tv,3578.0,no known savings,>=7,4.0,male single,none,1.0,real estate,47.0,none,,,,1.0,yes,,good
<0,,existing paid,radio/tv,,no known savings,4<=X<7,4.0,female div/dep/mar,none,3.0,car,30.0,none,own,1.0,,1.0,yes,yes,bad
,10.0,critical/other existing credit,furniture/equipment,2132.0,no known savings,<1,2.0,female div/dep/mar,co applicant,3.0,real estate,27.0,none,rent,,skilled,1.0,none,no,good
<0,33.0,,furniture/equipment,4281.0,500<=X<1000,1<=X<4,1.0,female div/dep/mar,none,,car,23.0,none,,2.0,,1.0,,yes,bad
0<=X<200,12.0,,new car,2366.0,,4<=X<7,3.0,male div/sep,none,,car,36.0,none,own,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
<0,21.0,existing paid,radio/tv,1835.0,<100,1<=X<4,3.0,,none,2.0,real estate,25.0,none,own,,,1.0,,yes,bad
,24.0,critical/other existing credit,used car,3868.0,<100,>=7,4.0,female div/dep/mar,none,,car,41.0,none,rent,,,,yes,yes,good
no checking,,existing paid,furniture/equipment,1768.0,,1<=X<4,3.0,male single,,2.0,,24.0,,,1.0,unskilled resident,1.0,none,yes,good
>=200,10.0,critical/other existing credit,new car,781.0,<100,>=7,4.0,male single,none,4.0,no known property,63.0,none,for free,2.0,skilled,1.0,yes,yes,good
0<=X<200,,existing paid,furniture/equipment,1924.0,no known savings,<1,4.0,,none,3.0,real estate,27.0,none,rent,1.0,skilled,1.0,none,yes,bad
<0,,critical/other existing credit,new car,,<100,1<=X<4,4.0,male single,none,2.0,life insurance,30.0,none,own,,skilled,1.0,none,yes,good
<0,12.0,existing paid,,701.0,,1<=X<4,4.0,male mar/wid,none,2.0,real estate,40.0,none,,1.0,unskilled resident,1.0,,yes,good
0<=X<200,12.0,existing paid,,639.0,<100,1<=X<4,4.0,male single,none,2.0,car,30.0,,own,1.0,,1.0,,yes,bad
0<=X<200,,critical/other existing credit,used car,1860.0,,unemployed,,male single,none,2.0,car,34.0,,own,,high qualif/self emp/mgmt,1.0,,yes,good
<0,12.0,critical/other existing credit,new car,,<100,1<=X<4,3.0,female div/dep/mar,co applicant,2.0,,29.0,none,own,2.0,skilled,1.0,,,bad
0<=X<200,,existing paid,new car,8487.0,no known savings,4<=X<7,1.0,female div/dep/mar,,,car,,none,own,1.0,skilled,1.0,none,yes,good
<0,,,education,6887.0,<100,,4.0,male single,none,3.0,life insurance,29.0,stores,own,,,1.0,yes,yes,bad
no checking,15.0,existing paid,,2708.0,<100,<1,2.0,male single,none,3.0,life insurance,27.0,bank,,2.0,unskilled resident,1.0,none,,good
no checking,18.0,,furniture/equipment,1984.0,<100,1<=X<4,4.0,male single,none,4.0,no known property,47.0,bank,for free,2.0,skilled,,,,good
no checking,60.0,existing paid,radio/tv,10144.0,100<=X<500,4<=X<7,2.0,female div/dep/mar,none,4.0,real estate,21.0,none,own,1.0,,1.0,yes,,good
,12.0,critical/other existing credit,radio/tv,1240.0,no known savings,>=7,4.0,female div/dep/mar,,,real estate,,none,own,2.0,skilled,1.0,yes,,good
no checking,27.0,delayed previously,,8613.0,>=1000,1<=X<4,2.0,male single,none,,car,27.0,none,own,,,1.0,none,yes,good
0<=X<200,,existing paid,radio/tv,,500<=X<1000,1<=X<4,,male single,none,,real estate,66.0,none,own,1.0,unskilled resident,1.0,none,yes,bad
0<=X<200,15.0,critical/other existing credit,radio/tv,2728.0,,4<=X<7,4.0,male single,guarantor,2.0,real estate,35.0,,,3.0,skilled,1.0,yes,yes,good
>=200,12.0,,radio/tv,,<100,1<=X<4,2.0,female div/dep/mar,,2.0,,44.0,none,rent,1.0,unskilled resident,1.0,yes,yes,good
>=200,6.0,existing paid,new car,709.0,>=1000,<1,2.0,male mar/wid,none,2.0,,27.0,none,own,1.0,unemp/unskilled non res,1.0,none,,good
0<=X<200,36.0,existing paid,radio/tv,4795.0,<100,,4.0,female div/dep/mar,none,,no known property,30.0,none,,1.0,high qualif/self emp/mgmt,,yes,yes,good
,27.0,existing paid,radio/tv,3416.0,<100,1<=X<4,3.0,male single,,2.0,car,,none,own,1.0,,1.0,none,,good
<0,18.0,,furniture/equipment,2462.0,<100,1<=X<4,2.0,male single,,2.0,car,22.0,none,own,1.0,skilled,1.0,,yes,bad
,21.0,critical/other existing credit,furniture/equipment,2288.0,<100,<1,4.0,female div/dep/mar,none,4.0,life insurance,23.0,,own,1.0,skilled,1.0,yes,yes,good
0<=X<200,48.0,all paid,business,3566.0,100<=X<500,4<=X<7,4.0,male single,none,2.0,car,30.0,none,,1.0,skilled,1.0,none,yes,good
<0,6.0,critical/other existing credit,new car,860.0,<100,>=7,1.0,female div/dep/mar,none,4.0,no known property,39.0,,own,2.0,skilled,1.0,,yes,good
,12.0,critical/other existing credit,new car,682.0,100<=X<500,4<=X<7,4.0,female div/dep/mar,none,,car,51.0,none,own,2.0,skilled,1.0,yes,,good
<0,36.0,critical/other existing credit,furniture/equipment,5371.0,<100,1<=X<4,3.0,male single,guarantor,2.0,life insurance,28.0,,own,,skilled,1.0,none,yes,good
no checking,18.0,critical/other existing credit,,,>=1000,>=7,4.0,male single,none,4.0,car,,none,own,2.0,skilled,1.0,none,yes,good
no checking,6.0,,radio/tv,1346.0,,>=7,,,none,,no known property,42.0,bank,for free,1.0,skilled,,,yes,good
no checking,10.0,,radio/tv,,<100,1<=X<4,,male single,none,4.0,life insurance,38.0,,,1.0,skilled,1.0,yes,,good
>=200,,existing paid,radio/tv,5848.0,,,,male single,,1.0,car,24.0,none,own,1.0,skilled,,none,yes,good
,24.0,critical/other existing credit,used car,7758.0,>=1000,>=7,2.0,female div/dep/mar,none,4.0,no known property,29.0,,rent,1.0,skilled,1.0,,yes,good
0<=X<200,24.0,delayed previously,business,6967.0,100<=X<500,4<=X<7,,male single,none,,car,,none,rent,1.0,,1.0,,yes,good
<0,,,furniture/equipment,,<100,1<=X<4,2.0,,none,4.0,,20.0,none,rent,1.0,skilled,1.0,,yes,bad
<0,9.0,critical/other existing credit,repairs,1288.0,100<=X<500,>=7,3.0,male single,guarantor,4.0,real estate,,none,own,2.0,skilled,2.0,none,no,good
<0,12.0,all paid,retraining,,<100,>=7,,,none,1.0,car,45.0,bank,,1.0,unskilled resident,,none,yes,good
,,existing paid,,,100<=X<500,,2.0,male single,none,3.0,,38.0,bank,own,2.0,skilled,1.0,yes,yes,good
no checking,6.0,critical/other existing credit,radio/tv,,no known savings,1<=X<4,1.0,male single,,2.0,real estate,,none,own,2.0,,2.0,none,,good
no checking,24.0,critical/other existing credit,radio/tv,2872.0,,>=7,,,none,,real estate,36.0,,,1.0,skilled,2.0,yes,,good
no checking,18.0,critical/other existing credit,new car,1055.0,<100,,4.0,female div/dep/mar,none,1.0,life insurance,30.0,,own,2.0,skilled,1.0,,yes,good
no checking,15.0,existing paid,domestic appliance,1262.0,500<=X<1000,4<=X<7,4.0,,none,3.0,life insurance,36.0,none,,,skilled,1.0,yes,yes,good
,10.0,existing paid,new car,7308.0,,unemployed,2.0,male single,,4.0,no known property,70.0,,for free,1.0,high qualif/self emp/mgmt,1.0,,yes,good
no checking,,,new car,909.0,500<=X<1000,>=7,4.0,male single,none,4.0,life insurance,36.0,none,own,1.0,skilled,,none,yes,good
no checking,,existing paid,furniture/equipment,2978.0,500<=X<1000,1<=X<4,1.0,male single,none,,,32.0,none,,1.0,skilled,1.0,,yes,good
<0,18.0,existing paid,furniture/equipment,,<100,unemployed,4.0,female div/dep/mar,none,2.0,car,33.0,none,own,1.0,skilled,1.0,none,yes,bad
,11.0,existing paid,furniture/equipment,1577.0,>=1000,,4.0,female div/dep/mar,none,1.0,real estate,20.0,none,own,1.0,skilled,1.0,none,yes,good
no checking,24.0,,furniture/equipment,3972.0,<100,4<=X<7,2.0,,none,4.0,,25.0,,rent,,skilled,1.0,yes,yes,good
0<=X<200,24.0,critical/other existing credit,business,1935.0,<100,>=7,4.0,male div/sep,,4.0,,31.0,,own,,,1.0,yes,yes,bad
<0,15.0,,,950.0,<100,>=7,4.0,male single,none,3.0,,33.0,none,rent,2.0,skilled,2.0,none,yes,bad
no checking,12.0,existing paid,furniture/equipment,763.0,<100,,4.0,female div/dep/mar,none,1.0,real estate,26.0,none,own,1.0,skilled,1.0,yes,,good
0<=X<200,24.0,delayed previously,furniture/equipment,2064.0,<100,unemployed,3.0,female div/dep/mar,none,2.0,life insurance,34.0,,own,1.0,high qualif/self emp/mgmt,,,yes,bad
0<=X<200,,existing paid,radio/tv,,<100,1<=X<4,4.0,,,,real estate,33.0,none,own,,skilled,,none,no,good
<0,,delayed previously,,,<100,<1,2.0,male single,none,1.0,,,none,own,2.0,skilled,1.0,,yes,bad
no checking,30.0,,,7485.0,,unemployed,4.0,female div/dep/mar,none,1.0,,,bank,own,1.0,,,yes,yes,bad
<0,12.0,existing paid,furniture/equipment,2577.0,<100,1<=X<4,2.0,male div/sep,,1.0,car,,none,,1.0,skilled,1.0,none,yes,good
,6.0,,radio/tv,338.0,500<=X<1000,>=7,,male single,,4.0,,52.0,none,own,2.0,skilled,1.0,none,yes,good
,,existing paid,radio/tv,1963.0,<100,,4.0,male single,,2.0,car,31.0,none,rent,2.0,high qualif/self emp/mgmt,2.0,yes,,good
<0,21.0,,new car,571.0,<100,>=7,4.0,male single,none,4.0,real estate,65.0,none,own,2.0,skilled,1.0,none,,good
no checking,36.0,,business,9572.0,,<1,1.0,male div/sep,,1.0,car,28.0,none,,2.0,skilled,1.0,none,yes,bad
0<=X<200,36.0,delayed previously,business,4455.0,<100,,,male div/sep,none,2.0,real estate,30.0,,,2.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
,21.0,,,,,,4.0,male single,none,2.0,life insurance,40.0,none,,2.0,unskilled resident,2.0,none,,bad
no checking,,critical/other existing credit,furniture/equipment,3777.0,>=1000,1<=X<4,4.0,male single,none,4.0,real estate,50.0,none,own,,skilled,1.0,yes,yes,good
0<=X<200,18.0,critical/other existing credit,,,<100,>=7,4.0,male single,none,,car,36.0,bank,own,,skilled,2.0,yes,yes,bad
no checking,15.0,critical/other existing credit,radio/tv,1360.0,<100,,4.0,male single,,2.0,life insurance,31.0,none,,2.0,,1.0,none,,good
,,all paid,used car,5129.0,<100,>=7,2.0,female div/dep/mar,none,4.0,,74.0,bank,for free,,high qualif/self emp/mgmt,2.0,yes,yes,bad
0<=X<200,16.0,critical/other existing credit,new car,1175.0,<100,unemployed,2.0,,none,,car,68.0,none,for free,,,1.0,yes,yes,good
<0,12.0,existing paid,radio/tv,674.0,100<=X<500,4<=X<7,,male mar/wid,none,1.0,life insurance,20.0,none,own,1.0,skilled,1.0,none,,bad
0<=X<200,18.0,,furniture/equipment,,<100,1<=X<4,,female div/dep/mar,none,4.0,car,33.0,bank,own,2.0,skilled,1.0,,yes,good
no checking,,existing paid,business,4591.0,>=1000,1<=X<4,2.0,male single,none,,,54.0,none,own,3.0,high qualif/self emp/mgmt,1.0,,yes,bad
0<=X<200,48.0,no credits/all paid,business,,100<=X<500,4<=X<7,4.0,,none,4.0,no known property,34.0,none,for free,,,2.0,none,yes,bad
0<=X<200,27.0,existing paid,,,<100,1<=X<4,4.0,male single,none,,car,36.0,none,,1.0,,2.0,yes,yes,bad
